name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,116,319489548,,,,,primary,0,80.2520856,12.987914,,,
,117,1183401926,,,,,primary,0,80.2518527,12.987871,,,
,118,1183401857,,,,,primary,0,80.2477253,13.0067588,,,
,119,1183401887,,,,,primary,0,80.248075,13.0067609,,,
,120,1183401855,,,,,secondary,0,80.2536582,12.981938,,,
,121,1183401894,,,,,secondary,0,80.2532672,12.9817673,,,
,122,1183430695,,122,,,secondary,-1,80.2527649,12.9814265,,,
,123,1183401849,,,,,primary,0,80.251803,12.9879862,,,
,124,310535896,,,,,primary,0,80.252071,12.9880483,,,
,125,1183401843,,,,,primary,0,80.2477357,13.0066639,,,
,126,1676204892,,,,,primary,0,80.2516888,12.9878387,,,
,128,249493615,,,,,primary,0,80.2483802,13.0067672,,,
,129,249493599,,129,,,primary,-1,80.2547091,13.0066685,,,
,130,6816790401,,,,,primary,0,80.2476619,13.0066597,,,
,131,268789822,,,,,primary,0,80.24615,13.0066442,,,
,132,1183430655,,132,,,footway,1,80.2497231,12.9952267,,,
,133,1183430842,,,,,footway,0,80.2493745,12.9951378,,,
,134,246867074,,,,,tertiary,0,80.2432971,12.9863017,,,
,135,6450947190,,,,,tertiary,0,80.2498899,12.9862867,,,
,136,1945715643,,136,,,footway,1,80.2476382,13.0037554,,,
,137,1945715635,,137,,,footway,-1,80.2473163,13.0040272,,,
,138,5458023327,,,,,primary,0,80.2533327,12.9879629,,,
,139,2166973529,,139,,,primary,1,80.2535429,12.9878162,,,
,140,313774904,,,,,tertiary,0,80.2499077,12.9943856,,,
,141,1454664548,,141,,,secondary,-1,80.2432739,12.9811246,,,
,142,251296646,,,,,primary,0,80.2401055,12.9812829,,,
,143,338470509,,143,,,primary,-1,80.2456076,12.981116,,,
,144,1515242052,,144,,,cycleway,1,80.2389299,12.9842503,,,
,145,1515242053,,145,,,cycleway,-1,80.2389113,12.9843211,,,
,146,330653536,,,,,tertiary,0,80.2411166,12.9862239,,,
Taramani,147,7424295245,,,,,tertiary,0,80.2406319,12.9854059,,,
,148,277911188,,,,,tertiary,0,80.2395844,12.9822405,,,
,149,277911182,,,,,tertiary,0,80.2396549,12.9813419,,,
,150,338461507,,,,,tertiary,0,80.2396535,12.9812629,,,
,151,1645199856,,151,,,footway,1,80.2366351,13.0095319,,,
,152,1645199819,,152,,,footway,-1,80.2368171,13.0089479,,,
,153,1645199798,,153,,,footway,1,80.2350748,13.0088786,,,
,154,1645199863,,,,,footway,0,80.2345857,13.0089847,,,
,155,1653964999,,155,,,footway,-1,80.2342772,13.0090516,,,
,156,1645199769,,156,,,footway,1,80.2349932,13.0083539,,,
,157,1945605794,,157,,,footway,-1,80.2345226,13.0094883,,,
,158,1645179337,,158,,,footway,1,80.2350702,13.0083357,,,
,159,1645199885,,,,,footway,0,80.2358734,13.0087513,,,
,160,1645199912,,160,,,footway,-1,80.2360731,13.0087274,,,
,161,1645199851,,161,,,footway,-1,80.2351519,13.0088687,,,
,162,1676204874,,,,,primary,0,80.251625,12.9872076,,,
,163,1971877227,,,,,primary,0,80.2368208,13.0074334,,,
,164,2198054401,,,,,primary,0,80.2283395,13.0091482,,,
,165,9370418225,,,,,primary,0,80.2194581,12.9913407,,,
,166,338406779,traffic_signals,,signal,,primary,0,80.2195683,12.9916263,,,
,167,7111954111,,,,,primary,0,80.2195964,12.9915892,,,
,168,7111954112,traffic_signals,,signal,,primary,0,80.2196615,12.9915116,,,
,169,2142536482,traffic_signals,,signal,,secondary,0,80.2196466,12.991402,,,
