name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
Altschul Hall,0,274985931,,yes,,,"POLYGON ((-73.96313720000001 40.8101666, -73.963159 40.8101363, -73.9631682 40.8101401, -73.9631803 40.8101233, -73.9631603 40.810115, -73.963166 40.810107, -73.96315060000001 40.8101006, -73.9632589 40.80995, -73.96327580000001 40.809957, -73.96328080000001 40.8099501, -73.96330039999999 40.8099583, -73.96331290000001 40.8099409, -73.9633034 40.8099369, -73.96332529999999 40.8099064, -73.963544 40.8099973, -73.96352210000001 40.8100278, -73.9635104 40.810023, -73.96349789999999 40.8100403, -73.96351559999999 40.8100477, -73.9635107 40.8100546, -73.9635273 40.8100615, -73.96341769999999 40.8102105, -73.9634015 40.8102036, -73.9633951 40.8102125, -73.9633838 40.8102078, -73.9633498 40.8102549, -73.96313720000001 40.8101666))",POINT (-73.9633389 40.8100809),774.0,8331.2
,1,271585114,,yes,,,"POLYGON ((-73.963825 40.8055652, -73.96384500000001 40.8055657, -73.9638983 40.8055883, -73.9639054 40.8055981, -73.96391730000001 40.8055964, -73.9639866 40.8056257, -73.96394189999999 40.8056867, -73.96392040000001 40.8056776, -73.9638175 40.8058179, -73.9637075 40.8057713, -73.9638016 40.8056429, -73.9637759 40.8056321, -73.963825 40.8055652))",POINT (-73.96384070000001 40.8056853),310.2,3339.3
,2,274985940,,yes,,,"POLYGON ((-73.9640589 40.80981, -73.9641572 40.8096743, -73.9642752 40.8097237, -73.9642583 40.809747, -73.9643938 40.8098037, -73.9643263 40.8098967, -73.96419090000001 40.80984, -73.9641768 40.8098594, -73.9640589 40.80981))",POINT (-73.96422219999999 40.8097911),347.7,3742.5
,3,274985948,,yes,,,"POLYGON ((-73.96457270000001 40.8100275, -73.96458269999999 40.8100136, -73.96457650000001 40.8099988, -73.96444339999999 40.8099431, -73.96451 40.8098511, -73.96466599999999 40.8099164, -73.9646826 40.8098935, -73.96478740000001 40.8099374, -73.9646874 40.8100754, -73.9645807 40.8100308, -73.96457270000001 40.8100275))",POINT (-73.96461979999999 40.8099578),355.5,3826.7
,4,274982909,,yes,,,"POLYGON ((-73.9650608 40.8082618, -73.9651202 40.8082865, -73.9651361 40.8082645, -73.9651234 40.8082592, -73.9651602 40.8082082, -73.9651135 40.8081888, -73.9651581 40.808127, -73.96539439999999 40.8082255, -73.9653491 40.8082882, -73.9652988 40.8082673, -73.9652627 40.8083173, -73.9652498 40.8083119, -73.9652339 40.8083339, -73.96529700000001 40.8083603, -73.96525250000001 40.8084219, -73.9650163 40.8083234, -73.9650608 40.8082618))",POINT (-73.96520529999999 40.8082739),472.4,5084.4
,5,271585141,,yes,,,"POLYGON ((-73.96370469999999 40.8055064, -73.9637682 40.8055333, -73.9636675 40.8056706, -73.9636362 40.8056573, -73.9636082 40.8056955, -73.963576 40.8056819, -73.96370469999999 40.8055064))",POINT (-73.96367619999999 40.8055985),122.9,1322.8
,6,274995744,,yes,,,"POLYGON ((-73.9604985 40.8059761, -73.960562 40.8060027, -73.96057500000001 40.8059848, -73.9605617 40.8059793, -73.9606005 40.8059258, -73.9605504 40.8059048, -73.96059889999999 40.8058379, -73.9608097 40.8059264, -73.96076239999999 40.8059915, -73.9607092 40.8059692, -73.960667 40.8060272, -73.9606517 40.8060208, -73.96064079999999 40.8060358, -73.9607093 40.8060645, -73.96066190000001 40.8061297, -73.9604511 40.8060413, -73.9604985 40.8059761))",POINT (-73.9606302 40.8059832),426.6,4591.8
Plimpton Hall,7,271921521,,dormitory,,,"POLYGON ((-73.958456 40.8095782, -73.9586427 40.8096561, -73.95871099999999 40.8096846, -73.95869449999999 40.8097074, -73.95866530000001 40.8097473, -73.9586393 40.8097831, -73.9586114 40.8098214, -73.9583564 40.8097149, -73.958456 40.8095782))",POINT (-73.9585337 40.8096998),426.4,4589.9
,8,608956236,,,fountain,,"POLYGON ((-73.9606933 40.8081737, -73.9606946 40.8081775, -73.96069749999999 40.8081807, -73.9607017 40.8081831, -73.9607067 40.8081842, -73.96071190000001 40.808184, -73.96071670000001 40.8081825, -73.9607206 40.8081799, -73.960723 40.8081766, -73.9607238 40.808173, -73.9607232 40.8081694, -73.96072100000001 40.808166, -73.9607176 40.8081634, -73.96071329999999 40.8081617, -73.9607085 40.8081612, -73.9607037 40.8081618, -73.9606994 40.8081635, -73.960696 40.8081662, -73.9606938 40.8081697, -73.9606933 40.8081737))",POINT (-73.9607086 40.8081727),5.2,55.8
,9,271585129,,yes,,,"POLYGON ((-73.9642128 40.8061276, -73.9642704 40.8061519, -73.9641482 40.8063186, -73.96409060000001 40.8062942, -73.964189 40.80616, -73.9642128 40.8061276))",POINT (-73.9641805 40.8062231),118.8,1278.6
Chandler Hall,10,274995724,,yes,,,"POLYGON ((-73.9622948 40.8094604, -73.9624714 40.8095321, -73.9624665 40.8095391, -73.9624748 40.8095425, -73.9622978 40.8097921, -73.9622509 40.809773, -73.9621353 40.8097252, -73.9620894 40.8097064, -73.9622474 40.8094841, -73.9622711 40.8094937, -73.9622948 40.8094604))",POINT (-73.9622845 40.8096236),635.5,6840.6
,11,274985952,,yes,,,"POLYGON ((-73.9643592 40.8103289, -73.9643751 40.810307, -73.96422920000001 40.810246, -73.96430429999999 40.8101424, -73.96445009999999 40.8102034, -73.96446640000001 40.810181, -73.96457719999999 40.8102274, -73.9644701 40.8103752, -73.9643702 40.8103335, -73.9643592 40.8103289))",POINT (-73.9644066 40.8102525),385.0,4143.8
