name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,0,225011551,,yes,,,"POLYGON ((-72.9222978 41.3104451, -72.9224384 41.3105048, -72.9224507 41.3105286, -72.9223835 41.3107857, -72.9221386 41.3106848, -72.9222661 41.3105083, -72.9222553 41.3105031, -72.9222978 41.3104451))",POINT (-72.9223155 41.3106168),561.5,6043.9
,1,292822319,,yes,,,"POLYGON ((-72.9274836 41.3189631, -72.927604 41.3189856, -72.92758360000001 41.3190469, -72.9274614 41.319024, -72.9274666 41.3190083, -72.9274234 41.3190002, -72.927435 41.3189653, -72.9274801 41.3189738, -72.9274836 41.3189631))",POINT (-72.9275191 41.3190019),88.2,949.2
,2,218534064,,yes,,,"POLYGON ((-72.92738009999999 41.306249, -72.92750359999999 41.3060771, -72.92770400000001 41.3061584, -72.9275805 41.3063303, -72.92754530000001 41.306316, -72.92738009999999 41.306249))",POINT (-72.9275421 41.3062037),413.3,4448.5
,3,250054325,,yes,,,"POLYGON ((-72.9181894 41.3061822, -72.9181877 41.306221, -72.91811250000001 41.3062191, -72.91811420000001 41.3061804, -72.9181894 41.3061822))",POINT (-72.91815099999999 41.3062007),27.1,291.8
Crown Towers,4,77226662,,apartments,,,"POLYGON ((-72.931923 41.3060664, -72.93191779999999 41.3060735, -72.9318639 41.3061495, -72.93179139999999 41.3062518, -72.9322494 41.3064411, -72.93237259999999 41.3062687, -72.9323826 41.3062549, -72.931923 41.3060664))",POINT (-72.93208679999999 41.3062536),1024.4,11026.9
,5,293257337,,yes,,,"POLYGON ((-72.9280615 41.3205935, -72.9282675 41.3205825, -72.92827269999999 41.3206377, -72.92825929999999 41.3206385, -72.92825999999999 41.3206459, -72.9281008 41.3206544, -72.92809920000001 41.3206379, -72.92806590000001 41.3206396, -72.9280615 41.3205935))",POINT (-72.9281704 41.3206179),113.8,1225.0
,6,266958265,,yes,,,"POLYGON ((-72.9342461 41.3085036, -72.9341015 41.3084438, -72.9341167 41.3084231, -72.93414249999999 41.3083879, -72.9341604 41.3083635, -72.9343049 41.3084232, -72.9342461 41.3085036))",POINT (-72.9342032 41.3084335),140.0,1506.6
,7,267314278,,yes,,,"POLYGON ((-72.9352884 41.3079455, -72.9350637 41.3078516, -72.9351557 41.3077327, -72.93537739999999 41.3078254, -72.9352884 41.3079455))",POINT (-72.9352212 41.3078389),326.6,3515.1
,8,338680410,,yes,,,"POLYGON ((-72.9399966 41.3129626, -72.9399208 41.3131082, -72.93980759999999 41.3130749, -72.9398834 41.3129294, -72.9399966 41.3129626))",POINT (-72.9399021 41.3130188),176.3,1897.2
Dixwell Avenue Congregational Church,9,336118329,,church,place_of_worship,,"POLYGON ((-72.93357659999999 41.31896, -72.9335725 41.3189193, -72.9335909 41.3189062, -72.93357659999999 41.318897, -72.933593 41.3188836, -72.9335832 41.3188781, -72.9335962 41.3188684, -72.933581 41.3188651, -72.9336172 41.3188458, -72.9335705 41.3188244, -72.9335633 41.318839, -72.93355029999999 41.3188382, -72.9335488 41.3188458, -72.933513 41.3188428, -72.933513 41.3188349, -72.93349929999999 41.3188347, -72.9334989 41.3188113, -72.93343849999999 41.3188127, -72.93344140000001 41.3188415, -72.9334281 41.3188445, -72.9333546 41.318877, -72.9333474 41.31887, -72.9333369 41.3188749, -72.9333221 41.3188575, -72.93328200000001 41.3188868, -72.93329749999999 41.3188996, -72.9333055 41.3188931, -72.9333304 41.3189038, -72.933351 41.3189126, -72.9333467 41.31892, -72.93334419999999 41.3189257, -72.9333626 41.3189316, -72.93335930000001 41.3189452, -72.9333839 41.3189526, -72.9333894 41.3189751, -72.9333984 41.3189797, -72.9333941 41.3189879, -72.9333977 41.3189979, -72.93337959999999 41.3189971, -72.93337959999999 41.3190101, -72.9333883 41.3190099, -72.9333894 41.319049, -72.9334111 41.3190419, -72.9334143 41.3190465, -72.9334302 41.3190408, -72.9334418 41.3190617, -72.9334447 41.3190941, -72.9334353 41.3190935, -72.9334303 41.3191214, -72.9334259 41.3191454, -72.9334613 41.3191454, -72.93346099999999 41.3191837, -72.933483 41.3191813, -72.9334838 41.3191707, -72.9335098 41.3191677, -72.9335116 41.3191772, -72.9335554 41.3191709, -72.9335554 41.3191598, -72.9335901 41.3191544, -72.9335937 41.3191644, -72.9336194 41.3191552, -72.93365439999999 41.3191324, -72.9336642 41.3191397, -72.9336837 41.3191234, -72.9336758 41.3191182, -72.9336921 41.3191014, -72.9337029 41.3191055, -72.93371380000001 41.3190835, -72.9336631 41.3190672, -72.9336696 41.3190569, -72.93359150000001 41.319033, -72.93359220000001 41.3190232, -72.93360819999999 41.3190226, -72.93360819999999 41.3190172, -72.9336364 41.319018, -72.9336371 41.3190115, -72.933657 41.3190107, -72.93365230000001 41.3189754, -72.933627 41.3189528, -72.9336125 41.3189593, -72.9336071 41.318955, -72.9335789 41.318971, -72.9335724 41.318965, -72.93357659999999 41.31896))",POINT (-72.93351 41.3189974),731.1,7869.9
