name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,0,178509095,,,,,,,-72.9187535,41.3089061,,,
,1,178510090,,,,,,,-72.9206806,41.3111054,,,
,2,178510421,,,,,,,-72.9307276,41.3041364,,,
,3,178511810,traffic_signals,,signal,,,,-72.9185244,41.3099187,,,
,4,178513529,,,,,,,-72.9324844,41.3125237,,,
,5,178516005,traffic_signals,,signal,,,,-72.9192607,41.3121209,,,
,6,178516557,traffic_signals,,signal,,,,-72.9282385,41.3027714,,,
,7,178522011,crossing,,,,,,-72.9313354,41.3035467,,,
,8,178526189,,,,,,,-72.92992,41.3027855,,,
,9,178527604,,,,,,,-72.9285684,41.3186494,,,
,10,178527606,,,,,,,-72.9297694,41.31846,,,
,11,178527607,,,,,,,-72.9310391,41.3182731,,,
,12,178527609,,,,,,,-72.9323285,41.3180819,,,
,13,178527611,,,,,,,-72.9336082,41.317875,,,
,15,178536505,traffic_signals,,signal,,,,-72.9286041,41.3126212,,,
,16,178537986,,,,,,,-72.9204138,41.3198533,,,
,17,178537988,,,,,,,-72.9200676,41.3208714,,,
,18,178539430,traffic_signals,,signal,,,,-72.9375756,41.3060721,,,
,19,178539432,traffic_signals,,signal,,,,-72.9391732,41.3061596,,,
,20,178539434,,,,,,,-72.9395395,41.30615,,,
,21,178541790,,,,,,,-72.928905,41.3152162,,,
,22,178541793,,,,,,,-72.9324891,41.3138078,,,
,23,178542710,traffic_signals,,signal,,,,-72.9388842,41.3070455,,,
,24,178542712,traffic_signals,,signal,,,,-72.937996,41.3082642,,,
,25,178542714,traffic_signals,,signal,,,,-72.9369732,41.3096521,,,
,26,178542715,traffic_signals,,signal,,,,-72.9358761,41.3111591,,,
,27,178542717,,,,,,,-72.9349499,41.3124259,,,
,28,178542719,traffic_signals,,signal,,,,-72.9341592,41.3135283,,,
,29,178542785,,,,,,,-72.918969,41.3081642,,,
,30,178544941,,,,,,,-72.9184794,41.3038389,,,
,31,178544943,traffic_signals,,signal,,,,-72.9202713,41.3039243,,,
