link_id,from_node_id,to_node_id,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,geometry,macro_node_id,macro_link_id,mvmt_txt_id,allowed_uses
11,15200,1600,1,766.79,2,1200,40,tertiary,5,"LINESTRING (80.2516397 13.0065513, 80.2516334 13.0061241, 80.2516288 13.0058080, 80.2516179 13.0050260, 80.2516234 13.0042514, 80.2516974 13.0036518, 80.2518010 13.0032186, 80.2518186 13.0031449, 80.2519021 13.0026026, 80.2519616 13.0019346, 80.2519722 13.0013211, 80.2519869 13.0008313, 80.2519768 13.0004096, 80.2519762 13.0003012, 80.2519750 13.0000774, 80.2519725 12.9996448)",,14,,auto
12,1601,15201,1,766.69,2,1200,40,tertiary,5,"LINESTRING (80.2520693 12.9996443, 80.2520718 13.0000769, 80.2520730 13.0003007, 80.2520736 13.0004082, 80.2520837 13.0008315, 80.2520690 13.0013233, 80.2520584 13.0019396, 80.2519983 13.0026138, 80.2519138 13.0031629, 80.2518971 13.0032325, 80.2517928 13.0036684, 80.2517202 13.0042574, 80.2517147 13.0050256, 80.2517256 13.0058067, 80.2517302 13.0061227, 80.2517365 13.0065499)",,15,,auto
13,1700,1800,1,326.56,1,1200,40,tertiary,5,"LINESTRING (80.2548001 12.9968508, 80.2544040 12.9966318, 80.2541104 12.9963316, 80.2537688 12.9959824, 80.2529478 12.9952458, 80.2524565 12.9950610)",,16,,auto
14,1801,1701,1,327.61,1,1200,40,tertiary,5,"LINESTRING (80.2524796 12.9950019, 80.2529824 12.9951910, 80.2538140 12.9959370, 80.2541591 12.9962899, 80.2544440 12.9965812, 80.2548319 12.9967957)",,17,,auto
15,1802,1900,1,202.12,1,1200,40,tertiary,5,"LINESTRING (80.2523197 12.9950183, 80.2520290 12.9949458, 80.2513396 12.9947736, 80.2512617 12.9947542, 80.2509092 12.9946661, 80.2506703 12.9946049, 80.2505137 12.9945669)",,18,,auto
16,1901,1803,1,202.17,1,1200,40,tertiary,5,"LINESTRING (80.2505292 12.9945054, 80.2506863 12.9945435, 80.2509254 12.9946049, 80.2512777 12.9946928, 80.2513759 12.9947174, 80.2520450 12.9948844, 80.2523357 12.9949570)",,19,,auto
17,2000,15300,1,3.57,2,1600,60,secondary,4,"LINESTRING (80.2431678 12.9811727, 80.2431658 12.9812049)",,20,,auto
18,2300,2400,1,2.9,2,1600,60,secondary,4,"LINESTRING (80.2549773 12.9836297, 80.2549595 12.9836493)",,22,,auto
19,2401,2301,1,5.86,2,1600,60,secondary,4,"LINESTRING (80.2548690 12.9836063, 80.2549049 12.9835666)",,23,,auto
20,2500,2602,1,11.82,3,1800,30,primary,3,"LINESTRING (80.2428390 13.0066849, 80.2429440 13.0067136)",,24,,auto
21,100,2700,1,288.95,3,1800,80,primary,3,"LINESTRING (80.2374700 13.0074525, 80.2387016 13.0072210, 80.2400863 13.0069570)",,25,,auto
22,2701,501,1,8.27,3,1800,80,primary,3,"LINESTRING (80.2402311 13.0069293, 80.2403060 13.0069151)",,26,,auto
23,2800,2900,1,174.12,2,1200,40,tertiary,5,"LINESTRING (80.2308569 12.9839403, 80.2308861 12.9844284, 80.2309069 12.9846369, 80.2310349 12.9849581, 80.2310618 12.9851896, 80.2309367 12.9854615)",,27,,auto
24,2901,2801,1,168.92,2,1200,40,tertiary,5,"LINESTRING (80.2308485 12.9854225, 80.2309626 12.9851744, 80.2309401 12.9849811, 80.2308119 12.9846593, 80.2307895 12.9844358, 80.2307602 12.9839459)",,28,,auto
25,3000,1804,1,543.57,2,1200,40,tertiary,5,"LINESTRING (80.2544758 12.9908436, 80.2540697 12.9909061, 80.2538150 12.9910182, 80.2535022 12.9912372, 80.2534133 12.9913081, 80.2532949 12.9914830, 80.2532236 12.9916438, 80.2532006 12.9917130, 80.2530796 12.9920445, 80.2530560 12.9921880, 80.2530121 12.9924558, 80.2529880 12.9927580, 80.2529721 12.9930931, 80.2529371 12.9932194, 80.2528346 12.9935895, 80.2527320 12.9939528, 80.2526279 12.9943351, 80.2524740 12.9949125)",,29,,auto
26,1805,3001,1,555.8,2,1200,40,tertiary,5,"LINESTRING (80.2523803 12.9948885, 80.2525343 12.9943109, 80.2526386 12.9939278, 80.2527412 12.9935643, 80.2528437 12.9931946, 80.2528759 12.9930783, 80.2528914 12.9927520, 80.2529159 12.9924446, 80.2529604 12.9921729, 80.2529854 12.9920207, 80.2531090 12.9916822, 80.2531330 12.9916100, 80.2532095 12.9914374, 80.2533407 12.9912435, 80.2534434 12.9911616, 80.2537666 12.9909354, 80.2540419 12.9908143, 80.2544608 12.9907498)",,30,,auto
27,1806,3100,1,394.3,2,1200,40,tertiary,5,"LINESTRING (80.2524144 12.9951230, 80.2523949 12.9951880, 80.2522452 12.9957566, 80.2522437 12.9957622, 80.2521393 12.9961465, 80.2521073 12.9962642, 80.2520509 12.9964719, 80.2519682 12.9967763, 80.2518869 12.9970752, 80.2518287 12.9972896, 80.2517086 12.9977316, 80.2514811 12.9985690)",,31,,auto
28,3101,1807,1,394.58,2,1200,40,tertiary,5,"LINESTRING (80.2513875 12.9985446, 80.2516150 12.9977072, 80.2517351 12.9972652, 80.2518567 12.9968178, 80.2518746 12.9967519, 80.2518887 12.9967000, 80.2520137 12.9962398, 80.2521002 12.9959217, 80.2521501 12.9957382, 80.2521507 12.9957356, 80.2523015 12.9951628, 80.2523215 12.9950961)",,32,,auto
29,3200,3300,1,182.5,1,1600,60,secondary,4,"LINESTRING (80.2210551 12.9810609, 80.2211830 12.9812381, 80.2215313 12.9818165, 80.2218078 12.9822276, 80.2218688 12.9824898)",,33,,auto
30,3301,3201,1,179.73,1,1600,60,secondary,4,"LINESTRING (80.2218059 12.9825039, 80.2217474 12.9822528, 80.2214765 12.9818501, 80.2211288 12.9812725, 80.2210024 12.9810975)",,34,,auto
31,3302,3400,1,169.96,1,1600,60,secondary,4,"LINESTRING (80.2219015 12.9826310, 80.2219062 12.9826511, 80.2219295 12.9827519, 80.2221380 12.9831459, 80.2226530 12.9839729)",,35,,auto
32,3401,3303,1,172.25,1,1600,60,secondary,4,"LINESTRING (80.2225979 12.9840059, 80.2220818 12.9831771, 80.2218683 12.9827739, 80.2218432 12.9826651, 80.2218386 12.9826449)",,36,,auto
33,3402,3500,1,351.65,1,1600,60,secondary,4,"LINESTRING (80.2227304 12.9840956, 80.2229050 12.9843689, 80.2231544 12.9847527, 80.2232792 12.9850690, 80.2232931 12.9851042, 80.2233378 12.9853570, 80.2233476 12.9854741, 80.2230607 12.9857368, 80.2230118 12.9859751, 80.2230055 12.9861774, 80.2230036 12.9864165, 80.2230033 12.9864628, 80.2230548 12.9868259, 80.2230785 12.9869932)",,37,,auto
34,3501,3403,1,348.38,1,1600,60,secondary,4,"LINESTRING (80.2230146 12.9870019, 80.2229908 12.9868347, 80.2229387 12.9864670, 80.2229391 12.9864108, 80.2229409 12.9861762, 80.2229474 12.9859679, 80.2230015 12.9857044, 80.2232808 12.9854487, 80.2232738 12.9853650, 80.2232305 12.9851212, 80.2232190 12.9850918, 80.2230966 12.9847815, 80.2228504 12.9844027, 80.2226757 12.9841292)",,38,,auto
35,3502,3600,1,553.79,1,1600,60,secondary,4,"LINESTRING (80.2230967 12.9871378, 80.2231143 12.9872992, 80.2231298 12.9876341, 80.2231146 12.9877441, 80.2231061 12.9878053, 80.2230845 12.9878592, 80.2229506 12.9880537, 80.2227657 12.9882916, 80.2224214 12.9886877, 80.2214952 12.9894432, 80.2213470 12.9895656, 80.2208666 12.9899626, 80.2206985 12.9901542, 80.2206432 12.9902172, 80.2203939 12.9905164, 80.2202208 12.9907557, 80.2200898 12.9909368)",,39,,auto
36,3601,3503,1,548.7,1,1600,60,secondary,4,"LINESTRING (80.2200372 12.9909002, 80.2201682 12.9907191, 80.2203425 12.9904780, 80.2205938 12.9901766, 80.2206918 12.9900648, 80.2208210 12.9899174, 80.2213054 12.9895172, 80.2214538 12.9893946, 80.2223758 12.9886425, 80.2227155 12.9882518, 80.2228982 12.9880167, 80.2230271 12.9878296, 80.2230431 12.9877893, 80.2230506 12.9877355, 80.2230650 12.9876313, 80.2230499 12.9873040, 80.2230325 12.9871445)",,40,,auto
37,3700,15202,1,298.68,3,1800,80,primary,3,"LINESTRING (80.2545411 13.0065124, 80.2543698 13.0064935, 80.2529333 13.0064591, 80.2526244 13.0064318, 80.2522387 13.0065039, 80.2518138 13.0066240)",,41,,auto
38,15203,3800,1,382.3,3,1800,80,primary,3,"LINESTRING (80.2515634 13.0066855, 80.2513622 13.0067275, 80.2505079 13.0067707, 80.2490348 13.0067255, 80.2484282 13.0066773, 80.2481815 13.0066650, 80.2480467 13.0066601)",,42,,auto
39,3900,2501,1,356.77,3,1800,40,primary,3,"LINESTRING (80.2393280 13.0069663, 80.2400458 13.0068349, 80.2408610 13.0066857, 80.2413272 13.0066152, 80.2416181 13.0065941, 80.2425852 13.0065882)",,43,,auto
40,2502,3901,1,354.27,3,1800,40,primary,3,"LINESTRING (80.2425860 13.0067148, 80.2416233 13.0067207, 80.2413418 13.0067410, 80.2408826 13.0068105, 80.2400694 13.0069593, 80.2393516 13.0070908)",,44,,auto
41,15400,4201,1,11.16,3,1800,80,primary,3,"LINESTRING (80.2474530 13.0065211, 80.2474526 13.0064202)",,46,,auto
42,4201,4300,1,1347.99,3,1800,80,primary,3,"LINESTRING (80.2474526 13.0064202, 80.2474516 13.0062878, 80.2474505 13.0058100, 80.2474475 13.0049027, 80.2474878 13.0042823, 80.2476296 13.0034070, 80.2477934 13.0023912, 80.2480228 13.0014652, 80.2485790 12.9992002, 80.2488385 12.9981705, 80.2497663 12.9944890)",,47,,auto
43,4301,15500,1,706.34,3,1800,80,primary,3,"LINESTRING (80.2498283 12.9942432, 80.2504728 12.9916856, 80.2507287 12.9906700, 80.2507505 12.9905835, 80.2511922 12.9888237, 80.2513170 12.9883249, 80.2513878 12.9880418)",,48,,auto
44,4600,4700,1,488.27,2,1200,40,tertiary,5,"LINESTRING (80.2176359 13.0087273, 80.2176673 13.0087127, 80.2177182 13.0086713, 80.2179306 13.0084985, 80.2181631 13.0081170, 80.2183422 13.0076960, 80.2186440 13.0069869, 80.2188350 13.0065380, 80.2189256 13.0064105, 80.2190842 13.0063719, 80.2198429 13.0063044, 80.2201197 13.0063221, 80.2206083 13.0066037)",,50,,auto
45,4701,4601,1,482.85,2,1200,40,tertiary,5,"LINESTRING (80.2206008 13.0067095, 80.2200905 13.0064153, 80.2198441 13.0063996, 80.2191004 13.0064659, 80.2189842 13.0064941, 80.2189204 13.0065840, 80.2187334 13.0070235, 80.2184316 13.0077326, 80.2182497 13.0081598, 80.2180052 13.0085611, 80.2177943 13.0087327, 80.2177199 13.0087933, 80.2176776 13.0088131)",,51,,auto
46,4702,4800,1,7.91,2,1200,40,tertiary,5,"LINESTRING (80.2207296 13.0066413, 80.2208023 13.0066470)",,52,,auto
47,4801,4703,1,7.91,2,1200,40,tertiary,5,"LINESTRING (80.2207945 13.0067417, 80.2207218 13.0067360)",,53,,auto
48,4900,3304,1,358.37,2,1200,40,tertiary,5,"LINESTRING (80.2252715 12.9826198, 80.2247671 12.9826010, 80.2243819 12.9826004, 80.2240862 12.9825965, 80.2236548 12.9825928, 80.2231788 12.9825873, 80.2229777 12.9825816, 80.2222260 12.9825714, 80.2219695 12.9826016)",,54,,auto
49,3305,4901,1,360.03,2,1200,40,tertiary,5,"LINESTRING (80.2219579 12.9825073, 80.2222208 12.9824764, 80.2229797 12.9824866, 80.2231808 12.9824923, 80.2236558 12.9824978, 80.2240872 12.9825015, 80.2243827 12.9825054, 80.2247691 12.9825060, 80.2252752 12.9825249)",,55,,auto
50,5000,5100,1,689.87,2,1800,50,primary,3,"LINESTRING (80.2180519 12.9811580, 80.2179619 12.9814316, 80.2179227 12.9816543, 80.2178685 12.9823669, 80.2178647 12.9829530, 80.2178630 12.9832196, 80.2178582 12.9839501, 80.2178563 12.9842430, 80.2178633 12.9844608, 80.2178628 12.9851729, 80.2178894 12.9856224, 80.2179781 12.9862003, 80.2180759 12.9866152, 80.2182325 12.9873427)",,56,,auto
51,5200,5300,1,310.19,2,1800,30,primary,3,"LINESTRING (80.2194307 12.9916912, 80.2185834 12.9928654, 80.2179780 12.9936970, 80.2177737 12.9939777)",,57,,auto
52,5401,5500,1,177.47,2,1800,50,primary,3,"LINESTRING (80.2359505 12.9811703, 80.2349331 12.9811428, 80.2348137 12.9811376, 80.2346260 12.9811480, 80.2344905 12.9811559, 80.2344275 12.9811677, 80.2343192 12.9811927)",,58,,auto
53,5601,15301,1,176.23,3,1800,80,primary,3,"LINESTRING (80.2414000 12.9813659, 80.2418673 12.9813606, 80.2420517 12.9813615, 80.2425433 12.9813769, 80.2427113 12.9813758, 80.2428792 12.9813746, 80.2430247 12.9813709)",,59,,auto
54,5800,1002,1,194.63,3,1800,80,primary,3,"LINESTRING (80.2453229 12.9810595, 80.2435404 12.9812645)",,61,,auto
55,1003,15302,1,11.71,3,1800,80,primary,3,"LINESTRING (80.2433938 12.9812793, 80.2432858 12.9812801)",,62,,auto
56,6001,6100,1,106.14,2,1600,60,secondary,4,"LINESTRING (80.2526657 12.9827557, 80.2527288 12.9826468, 80.2527602 12.9825514, 80.2527558 12.9819682, 80.2527526 12.9818172)",,64,,auto
57,6100,6200,1,53.59,2,1600,60,secondary,4,"LINESTRING (80.2527526 12.9818172, 80.2529109 12.9818117, 80.2532436 12.9818559)",,65,,auto
58,3102,1602,1,96.45,2,1200,40,tertiary,5,"LINESTRING (80.2515124 12.9987174, 80.2517550 12.9990185, 80.2520221 12.9993722, 80.2520358 12.9994186)",,66,,auto
59,1603,3103,1,92.37,2,1200,40,tertiary,5,"LINESTRING (80.2519429 12.9994452, 80.2519339 12.9994150, 80.2516780 12.9990761, 80.2514364 12.9987763)",,67,,auto
60,1604,6300,1,165.5,2,1200,40,tertiary,5,"LINESTRING (80.2521301 12.9994867, 80.2536560 12.9994607)",,68,,auto
61,6301,1605,1,165.5,2,1200,40,tertiary,5,"LINESTRING (80.2536577 12.9995557, 80.2521318 12.9995817)",,69,,auto
62,2301,6400,1,253.97,2,1600,60,secondary,4,"LINESTRING (80.2549049 12.9835666, 80.2546924 12.9826965, 80.2546106 12.9825285, 80.2544650 12.9822295, 80.2543562 12.9821309, 80.2541628 12.9820162, 80.2538630 12.9818985, 80.2536672 12.9818399)",,70,,auto
63,2402,6500,1,9.94,2,1600,60,secondary,4,"LINESTRING (80.2549107 12.9837215, 80.2549328 12.9838088)",,71,,auto
64,6601,6700,1,187.64,3,1800,80,primary,3,"LINESTRING (80.2473019 13.0048241, 80.2472732 13.0063514, 80.2472764 13.0065206)",,72,,auto
65,6701,6802,1,6.09,3,1800,80,primary,3,"LINESTRING (80.2472814 13.0067195, 80.2472843 13.0067745)",,73,,auto
66,6901,7000,1,77.93,3,1800,50,primary,3,"LINESTRING (80.2436384 13.0066045, 80.2429198 13.0065948)",,74,,auto
67,7000,7100,1,35.35,3,1800,50,primary,3,"LINESTRING (80.2429198 13.0065948, 80.2425938 13.0065953)",,75,,auto
68,7200,15101,1,457.48,3,1800,80,primary,3,"LINESTRING (80.2525846 12.9821194, 80.2525749 12.9827478, 80.2525253 12.9831713, 80.2525171 12.9832409, 80.2521171 12.9848027, 80.2517808 12.9861651)",,76,,auto
69,7401,7500,1,25.7,3,1800,80,primary,3,"LINESTRING (80.2520865 12.9879141, 80.2518536 12.9878712)",,78,,auto
70,7601,7700,1,37.91,3,1800,30,primary,3,"LINESTRING (80.2477244 13.0067589, 80.2480741 13.0067609)",,79,,auto
71,6200,7800,1,45.76,2,1600,60,secondary,4,"LINESTRING (80.2532436 12.9818559, 80.2535665 12.9819198, 80.2536573 12.9819378)",,80,,auto
72,7901,8000,1,59.43,2,1600,60,secondary,4,"LINESTRING (80.2532681 12.9817675, 80.2531641 12.9817468, 80.2530209 12.9817204, 80.2529338 12.9816771, 80.2528502 12.9815895, 80.2528154 12.9815230)",,81,,auto
73,8101,8200,1,29.86,3,1800,80,primary,3,"LINESTRING (80.2518021 12.9879860, 80.2520701 12.9880481)",,82,,auto
74,3800,8300,1,33.63,3,1800,80,primary,3,"LINESTRING (80.2480467 13.0066601, 80.2477366 13.0066639)",,83,,auto
75,8402,15501,1,13.29,3,1800,80,primary,3,"LINESTRING (80.2516897 12.9878389, 80.2515673 12.9878344)",,84,,auto
76,7700,8600,1,21.2,2,1800,80,primary,3,"LINESTRING (80.2480741 13.0067609, 80.2482695 13.0067649)",,86,,auto
77,8601,15204,1,329.77,2,1800,80,primary,3,"LINESTRING (80.2484906 13.0067744, 80.2489070 13.0068017, 80.2496828 13.0068255, 80.2504419 13.0068491, 80.2513237 13.0068564, 80.2515262 13.0068177)",,87,,auto
78,15205,8700,1,312.35,2,1800,80,primary,3,"LINESTRING (80.2517424 13.0067716, 80.2524608 13.0066017, 80.2529249 13.0066058, 80.2543639 13.0066185, 80.2545996 13.0066526)",,88,,auto
79,7800,2403,1,240.49,2,1600,60,secondary,4,"LINESTRING (80.2536573 12.9819378, 80.2538394 12.9819836, 80.2541170 12.9820827, 80.2543197 12.9821938, 80.2544442 12.9823189, 80.2546245 12.9827105, 80.2548632 12.9835468)",,89,,auto
80,8300,8800,1,8.02,3,1800,30,primary,3,"LINESTRING (80.2477366 13.0066639, 80.2476628 13.0066598)",,90,,auto
81,8800,15401,1,8.75,3,1800,30,primary,3,"LINESTRING (80.2476628 13.0066598, 80.2475823 13.0066551)",,91,,auto
82,15402,6702,1,2.93,3,1800,30,primary,3,"LINESTRING (80.2473796 13.0066475, 80.2473526 13.0066474)",,92,,auto
83,6703,8901,1,108.51,3,1800,30,primary,3,"LINESTRING (80.2471497 13.0066443, 80.2465363 13.0066462, 80.2461491 13.0066442)",,93,,auto
84,6400,7901,1,44.01,2,1600,60,secondary,4,"LINESTRING (80.2536672 12.9818399, 80.2532681 12.9817675)",,94,,auto
85,9000,9100,1,690.98,2,1200,35,tertiary,5,"LINESTRING (80.2434078 12.9863017, 80.2446112 12.9863015, 80.2467349 12.9863012, 80.2475035 12.9862977, 80.2487748 12.9862919, 80.2497793 12.9862872)",,95,,auto
86,9101,15102,1,175.37,2,1200,35,tertiary,5,"LINESTRING (80.2500006 12.9862862, 80.2500460 12.9862860, 80.2513053 12.9862802, 80.2516112 12.9863316, 80.2516131 12.9863321)",,96,,auto
87,8200,9200,1,137.46,3,1800,80,primary,3,"LINESTRING (80.2520701 12.9880481, 80.2523102 12.9880639, 80.2524511 12.9880545, 80.2529208 12.9880035, 80.2533318 12.9879630)",,97,,auto
88,9300,7401,1,144.52,3,1800,80,primary,3,"LINESTRING (80.2534144 12.9878284, 80.2533347 12.9878360, 80.2524414 12.9879174, 80.2522548 12.9879251, 80.2520865 12.9879141)",,98,,auto
89,8901,6901,1,272.32,3,1800,30,primary,3,"LINESTRING (80.2461491 13.0066442, 80.2453744 13.0066331, 80.2449289 13.0066267, 80.2445230 13.0066106, 80.2440014 13.0066145, 80.2436384 13.0066045)",,99,,auto
90,1902,9400,1,48.5,2,1200,40,tertiary,5,"LINESTRING (80.2503307 12.9945385, 80.2498969 12.9944319)",,100,,auto
91,9401,1903,1,48.5,2,1200,40,tertiary,5,"LINESTRING (80.2499204 12.9943398, 80.2503542 12.9944464)",,101,,auto
92,15303,9500,1,13.22,2,1600,60,secondary,4,"LINESTRING (80.2432681 12.9812621, 80.2432731 12.9811427)",,103,,auto
93,15304,9600,1,317.49,3,1800,80,primary,3,"LINESTRING (80.2430324 12.9812848, 80.2429342 12.9812907, 80.2427155 12.9812981, 80.2426215 12.9813087, 80.2423995 12.9813077, 80.2420833 12.9813039, 80.2418523 12.9813041, 80.2415703 12.9812881, 80.2412488 12.9812850, 80.2409298 12.9812853, 80.2407077 12.9812897, 80.2404333 12.9812866, 80.2401064 12.9812829)",,104,,auto
94,15305,1104,1,11.83,3,1800,80,primary,3,"LINESTRING (80.2432837 12.9813698, 80.2433928 12.9813674)",,105,,auto
95,1105,9700,1,211.89,3,1800,80,primary,3,"LINESTRING (80.2435401 12.9813597, 80.2437880 12.9813457, 80.2444482 12.9812617, 80.2454633 12.9811336, 80.2454795 12.9811316)",,106,,auto
96,9800,9900,1,82.74,2,1200,40,tertiary,5,"LINESTRING (80.2410438 12.9861405, 80.2410434 12.9861368, 80.2410230 12.9859987, 80.2409968 12.9858982, 80.2409489 12.9858023, 80.2407691 12.9856263, 80.2406699 12.9855183)",,107,,auto
97,9901,9801,1,85.89,2,1200,40,tertiary,5,"LINESTRING (80.2407419 12.9854548, 80.2408393 12.9855609, 80.2410287 12.9857463, 80.2410882 12.9858652, 80.2411180 12.9859801, 80.2411357 12.9860993)",,108,,auto
98,10000,10100,1,81.5,2,1200,40,tertiary,5,"LINESTRING (80.2396543 12.9821439, 80.2396800 12.9821287, 80.2397231 12.9820973, 80.2396453 12.9817650, 80.2396136 12.9814526)",,109,,auto
99,10101,10001,1,94.42,2,1200,40,tertiary,5,"LINESTRING (80.2397104 12.9814477, 80.2397411 12.9817496, 80.2398317 12.9821365, 80.2397340 12.9822077, 80.2397042 12.9822252)",,110,,auto
100,10102,10200,1,4.74,2,1200,40,tertiary,5,"LINESTRING (80.2396062 12.9813246, 80.2396054 12.9812818)",,111,,auto
101,10201,10103,1,4.74,2,1200,40,tertiary,5,"LINESTRING (80.2397022 12.9812802, 80.2397030 12.9813230)",,112,,auto
102,8402,10302,1,73.87,3,1800,80,primary,3,"LINESTRING (80.2516897 12.9878389, 80.2516168 12.9877231, 80.2516084 12.9875805, 80.2516421 12.9873981, 80.2516649 12.9872749, 80.2516252 12.9872067)",,113,,auto
103,10401,10500,1,939.09,2,1800,80,primary,3,"LINESTRING (80.2368217 13.0074332, 80.2367210 13.0074498, 80.2366119 13.0074692, 80.2363772 13.0075114, 80.2357205 13.0076438, 80.2286761 13.0090654, 80.2284250 13.0091270, 80.2283404 13.0091480)",,114,,auto
104,5101,10600,1,438.35,2,1800,50,primary,3,"LINESTRING (80.2182798 12.9875547, 80.2183455 12.9878390, 80.2184392 12.9883032, 80.2185080 12.9886250, 80.2186611 12.9890705, 80.2188246 12.9895466, 80.2190157 12.9900785, 80.2191780 12.9905761, 80.2194578 12.9913398)",,115,,auto
105,10700,10801,1,3.21,2,1800,10,primary,3,"LINESTRING (80.2195793 12.9916118, 80.2195970 12.9915885)",,116,,auto
106,10801,10900,1,2.9,2,1800,10,primary,3,"LINESTRING (80.2195970 12.9915885, 80.2196140 12.9915682)",,117,,auto
107,3602,11000,1,38.36,2,1600,60,secondary,4,"LINESTRING (80.2199358 12.9910458, 80.2197135 12.9913156)",,118,,auto
108,11001,201,1,4.76,2,1600,60,secondary,4,"LINESTRING (80.2196349 12.9914160, 80.2196072 12.9914494)",,119,,auto
109,202,11100,1,6.66,2,1600,60,secondary,4,"LINESTRING (80.2195838 12.9914774, 80.2195447 12.9915238)",,120,,auto
110,11201,11300,1,8.7,2,1800,30,primary,3,"LINESTRING (80.2171876 12.9947726, 80.2171409 12.9948365)",,121,,auto
111,11101,11400,1,4.99,3,1800,10,primary,3,"LINESTRING (80.2195232 12.9915531, 80.2194988 12.9915914)",,122,,auto
112,11500,11600,1,139.79,2,1800,80,primary,3,"LINESTRING (80.2177841 13.0004314, 80.2181808 13.0010184, 80.2184962 13.0014851)",,123,,auto
113,11601,4704,1,606.04,2,1800,80,primary,3,"LINESTRING (80.2186285 13.0016587, 80.2187497 13.0018000, 80.2195637 13.0025382, 80.2199043 13.0031946, 80.2202761 13.0048645, 80.2203519 13.0052050, 80.2206820 13.0065816)",,124,,auto
114,4705,11700,1,275.67,2,1800,80,primary,3,"LINESTRING (80.2207454 13.0067891, 80.2207474 13.0067945, 80.2209915 13.0072628, 80.2216630 13.0085507, 80.2219019 13.0090089)",,125,,auto
115,11701,11800,1,71.29,2,1800,80,primary,3,"LINESTRING (80.2220018 13.0092026, 80.2221936 13.0095694, 80.2223018 13.0097763)",,126,,auto
116,5300,11201,1,108.48,1,1800,20,primary,3,"LINESTRING (80.2177737 12.9939777, 80.2171876 12.9947726)",,127,,auto
117,2902,11900,1,667.27,2,1200,40,tertiary,5,"LINESTRING (80.2307643 12.9856217, 80.2306709 12.9856501, 80.2305527 12.9856759, 80.2303998 12.9857059, 80.2299083 12.9857502, 80.2298527 12.9857588, 80.2296970 12.9857807, 80.2296226 12.9857837, 80.2290826 12.9858049, 80.2288638 12.9858196, 80.2286838 12.9858368, 80.2281562 12.9859294, 80.2277629 12.9860466, 80.2276649 12.9860664, 80.2275273 12.9861007, 80.2272549 12.9861427, 80.2271203 12.9861676, 80.2262997 12.9862761, 80.2255569 12.9863677, 80.2254085 12.9864009, 80.2247029 12.9865653)",,128,,auto
