link_id,from_node_id,to_node_id,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,geometry,macro_node_id,macro_link_id,mvmt_txt_id,allowed_uses
0,0,100,1,979.94,2,1800,80,primary,3,"LINESTRING (80.2286101 13.0091941, 80.2290373 13.0090938, 80.2302027 13.0088616, 80.2311110 13.0086807, 80.2327932 13.0083611, 80.2334763 13.0082459, 80.2348091 13.0079679, 80.2350883 13.0079133, 80.2351425 13.0079027, 80.2374700 13.0074525)",,0,,auto
1,200,300,1,443.56,2,1800,50,primary,3,"LINESTRING (80.2195594 12.9913608, 80.2192702 12.9905377, 80.2191108 12.9900326, 80.2189376 12.9895098, 80.2187500 12.9890198, 80.2186028 12.9885780, 80.2185376 12.9882962, 80.2183762 12.9875275)",,1,,auto
2,400,500,1,284.23,2,1600,60,secondary,4,"LINESTRING (80.2405375 13.0095780, 80.2404892 13.0080398, 80.2403398 13.0070190)",,2,,auto
3,15100,800,1,179.46,2,1200,35,tertiary,5,"LINESTRING (80.2516460 12.9862522, 80.2515745 12.9862277, 80.2513032 12.9861915, 80.2505239 12.9861924, 80.2499979 12.9861931)",,4,,auto
4,801,900,1,690.05,2,1200,35,tertiary,5,"LINESTRING (80.2497766 12.9861933, 80.2494916 12.9861937, 80.2486521 12.9861946, 80.2473271 12.9861962, 80.2468177 12.9861968, 80.2467363 12.9861969, 80.2452672 12.9862171, 80.2451048 12.9862133, 80.2438456 12.9862113, 80.2434138 12.9862107)",,5,,auto
5,1000,1100,1,5.71,2,1200,40,tertiary,5,"LINESTRING (80.2434604 12.9812978, 80.2434598 12.9813494)",,6,,auto
6,1101,1001,1,5.71,2,1200,40,tertiary,5,"LINESTRING (80.2433630 12.9813484, 80.2433636 12.9812968)",,7,,auto
7,1102,901,1,511.73,2,1200,40,tertiary,5,"LINESTRING (80.2434570 12.9814766, 80.2433866 12.9843717, 80.2433537 12.9861029)",,8,,auto
8,902,1103,1,511.78,2,1200,40,tertiary,5,"LINESTRING (80.2432569 12.9861011, 80.2432898 12.9843697, 80.2433602 12.9814744)",,9,,auto
9,1200,1300,1,203.86,1,1200,40,tertiary,5,"LINESTRING (80.2186563 12.9842828, 80.2190971 12.9843345, 80.2191967 12.9843455, 80.2199424 12.9844056, 80.2203991 12.9843872, 80.2205270 12.9843627)",,10,,auto
10,1301,1201,1,206.05,1,1200,40,tertiary,5,"LINESTRING (80.2205394 12.9844248, 80.2204067 12.9844502, 80.2199410 12.9844690, 80.2191905 12.9844085, 80.2190897 12.9843973, 80.2186486 12.9843456)",,11,,auto
