node_id,zone_id,x_coord,y_coord,macro_node_id,macro_link_id,activity_type,is_boundary
0,,80.2286101,13.0091941,0,,primary,0
100,,80.23747,13.0074525,1,,primary,0
200,,80.2195594,12.9913608,2,,primary,0
300,,80.2183762,12.9875275,3,,primary,0
400,4,80.2405375,13.009578,4,,secondary,1
500,,80.2403398,13.007019,5,,secondary,0
15100,,80.251646,12.9862522,151,,primary,0
800,,80.2499979,12.9861931,8,,tertiary,0
801,,80.2497766,12.9861933,8,,tertiary,0
900,,80.2434138,12.9862107,9,,tertiary,0
1000,,80.2434604,12.9812978,10,,tertiary,0
1100,,80.2434598,12.9813494,11,,tertiary,0
1101,,80.243363,12.9813484,11,,tertiary,0
1001,,80.2433636,12.9812968,10,,tertiary,0
1102,,80.243457,12.9814766,11,,tertiary,0
901,,80.2433537,12.9861029,9,,tertiary,0
902,,80.2432569,12.9861011,9,,tertiary,0
1103,,80.2433602,12.9814744,11,,tertiary,0
1200,,80.2186563,12.9842828,12,,tertiary,0
1300,,80.220527,12.9843627,13,,tertiary,0
1301,,80.2205394,12.9844248,13,,tertiary,0
1201,,80.2186486,12.9843456,12,,tertiary,0
15200,,80.2516397,13.0065513,152,,primary,0
1600,,80.2519725,12.9996448,16,,tertiary,0
1601,,80.2520693,12.9996443,16,,tertiary,0
15201,,80.2517365,13.0065499,152,,primary,0
1700,17,80.2548001,12.9968508,17,,tertiary,1
1800,,80.2524565,12.995061,18,,tertiary,0
1801,,80.2524796,12.9950019,18,,tertiary,0
1701,17,80.2548319,12.9967957,17,,tertiary,-1
1802,,80.2523197,12.9950183,18,,tertiary,0
1900,,80.2505137,12.9945669,19,,tertiary,0
1901,,80.2505292,12.9945054,19,,tertiary,0
1803,,80.2523357,12.994957,18,,tertiary,0
2000,20,80.2431678,12.9811727,20,,secondary,1
15300,,80.2431658,12.9812049,153,,primary,0
2300,,80.2549773,12.9836297,23,,secondary,0
2400,,80.2549595,12.9836493,24,,secondary,0
2401,,80.254869,12.9836063,24,,secondary,0
2301,,80.2549049,12.9835666,23,,secondary,0
2500,,80.242839,13.0066849,25,,primary,0
2700,,80.2400863,13.006957,27,,primary,0
2701,,80.2402311,13.0069293,27,,primary,0
501,,80.240306,13.0069151,5,,secondary,0
2800,,80.2308569,12.9839403,28,,tertiary,0
2900,,80.2309367,12.9854615,29,,tertiary,0
2901,,80.2308485,12.9854225,29,,tertiary,0
2801,,80.2307602,12.9839459,28,,tertiary,0
3000,30,80.2544758,12.9908436,30,,tertiary,1
1804,,80.252474,12.9949125,18,,tertiary,0
1805,,80.2523803,12.9948885,18,,tertiary,0
3001,30,80.2544608,12.9907498,30,,tertiary,-1
1806,,80.2524144,12.995123,18,,tertiary,0
3100,,80.2514811,12.998569,31,,tertiary,0
3101,,80.2513875,12.9985446,31,,tertiary,0
1807,,80.2523215,12.9950961,18,,tertiary,0
3200,32,80.2210551,12.9810609,32,,secondary,1
3300,,80.2218688,12.9824898,33,,secondary,0
3301,,80.2218059,12.9825039,33,,secondary,0
3201,32,80.2210024,12.9810975,32,,secondary,-1
3302,,80.2219015,12.982631,33,,secondary,0
3400,,80.222653,12.9839729,34,,secondary,0
3401,,80.2225979,12.9840059,34,,secondary,0
3303,,80.2218386,12.9826449,33,,secondary,0
3402,,80.2227304,12.9840956,34,,secondary,0
3500,,80.2230785,12.9869932,35,,secondary,0
3501,,80.2230146,12.9870019,35,,secondary,0
3403,,80.2226757,12.9841292,34,,secondary,0
3502,,80.2230967,12.9871378,35,,secondary,0
3600,,80.2200898,12.9909368,36,,secondary,0
3601,,80.2200372,12.9909002,36,,secondary,0
3503,,80.2230325,12.9871445,35,,secondary,0
3700,37,80.2545411,13.0065124,37,,primary,1
15202,,80.2518138,13.006624,152,,primary,0
15203,,80.2515634,13.0066855,152,,primary,0
3800,,80.2480467,13.0066601,38,,primary,0
3900,,80.239328,13.0069663,39,,primary,0
2501,,80.2425852,13.0065882,25,,primary,0
