name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
Beta Theta Pi Fraternity,0,42708330,,dormitory,,,"POLYGON ((-87.67625750000001 42.0611994, -87.67626009999999 42.0609947, -87.6761073 42.0609937, -87.67610639999999 42.0610636, -87.6761047 42.0611984, -87.67625750000001 42.0611994))",POINT (-87.6761824 42.0610965),287.0,3089.6
Roycemore,1,182668876,,university,,,"POLYGON ((-87.67933499999999 42.0614461, -87.6792078 42.0614449, -87.67920820000001 42.0614226, -87.6791789 42.0614224, -87.67918 42.0613599, -87.6791509 42.0613596, -87.679154 42.0611842, -87.6791295 42.0611839, -87.67912889999999 42.0612193, -87.6789825 42.0612179, -87.678983 42.0611919, -87.6789548 42.0611916, -87.6789534 42.0612753, -87.6789747 42.0612755, -87.67897360000001 42.0613429, -87.67894920000001 42.0613427, -87.6789479 42.0614135, -87.67889630000001 42.061413, -87.6788959 42.0614346, -87.67879929999999 42.0614336, -87.6788044 42.0611472, -87.6787645 42.0611468, -87.6787666 42.0610296, -87.6791276 42.0610332, -87.6791321 42.0607785, -87.6790816 42.060778, -87.67908319999999 42.0606892, -87.67926540000001 42.060691, -87.679261 42.0609373, -87.6792878 42.0609376, -87.6792859 42.0610384, -87.6793174 42.0610387, -87.6793153 42.0611585, -87.67926370000001 42.061158, -87.67926319999999 42.0611828, -87.6793614 42.0611838, -87.6793593 42.0613029, -87.6793376 42.0613027, -87.67933499999999 42.0614461))",POINT (-87.67909450000001 42.0611265),2061.2,22186.7
Castle Apartments,2,530071183,,apartments,,,"POLYGON ((-87.6825449 42.0583372, -87.68254760000001 42.0582286, -87.6825006 42.0582276, -87.68250740000001 42.057907, -87.6818609 42.057902, -87.6818609 42.0580255, -87.6822713 42.0580265, -87.682282 42.0579827, -87.68239199999999 42.0579927, -87.68237860000001 42.0580544, -87.6823062 42.0580544, -87.6823089 42.0581958, -87.6823773 42.0581958, -87.6823732 42.0582565, -87.6822914 42.0582595, -87.6822901 42.0582197, -87.6818636 42.0582117, -87.68186230000001 42.0583312, -87.6825449 42.0583372))",POINT (-87.6822267 42.0581227),1694.6,18240.9
,3,150181451,,apartments,,,"POLYGON ((-87.68218539999999 42.0542696, -87.68212130000001 42.0542699, -87.68212149999999 42.0542844, -87.68206669999999 42.0542847, -87.6820664 42.0542703, -87.6819955 42.0542709, -87.6819933 42.0541878, -87.6820654 42.0541873, -87.68206499999999 42.0541737, -87.682119 42.0541734, -87.6821192 42.0541874, -87.6821848 42.0541869, -87.68218539999999 42.0542696))",POINT (-87.68208989999999 42.0542289),159.3,1714.2
,4,42706553,,university,,,"POLYGON ((-87.6778571 42.0540551, -87.67785809999999 42.0539742, -87.6777824 42.0539737, -87.6777822 42.0539857, -87.67765319999999 42.0539849, -87.67765300000001 42.054006, -87.6776314 42.0540058, -87.6776309 42.0540447, -87.6777629 42.0540456, -87.6777627 42.0540545, -87.6778571 42.0540551))",POINT (-87.67775589999999 42.0540159),137.3,1477.6
Ford Design Center,5,42702286,,university,,,"POLYGON ((-87.67677999999999 42.0567611, -87.6766116 42.0567599, -87.6766114 42.0567798, -87.6765551 42.0567794, -87.6765553 42.0567607, -87.67635559999999 42.0567592, -87.6763517 42.0570648, -87.67654349999999 42.0570662, -87.6765436 42.0570539, -87.6766027 42.0570543, -87.6766025 42.0570668, -87.676776 42.057068, -87.6767766 42.0570237, -87.6767771 42.0569852, -87.67677999999999 42.0567611))",POINT (-87.6765659 42.0569137),1177.3,12672.8
Lambda Chi Alpha Fraternity,6,42708326,,dormitory,,,"POLYGON ((-87.6765099 42.060561, -87.6765113 42.0604399, -87.6762549 42.0604382, -87.6762544 42.0604769, -87.6762226 42.0604767, -87.6762217 42.0605512, -87.676379 42.0605522, -87.6763789 42.0605601, -87.6765099 42.060561))",POINT (-87.6763739 42.0604989),299.6,3224.5
,7,220730643,,yes,,,"POLYGON ((-87.6814547 42.0535687, -87.68145320000001 42.0536362, -87.68128350000001 42.053634, -87.681285 42.0535665, -87.6814547 42.0535687))",POINT (-87.6813691 42.0536014),105.4,1134.6
,8,220730641,,yes,,,"POLYGON ((-87.6794008 42.0535223, -87.6794008 42.0536127, -87.67926799999999 42.0536127, -87.67926799999999 42.0535859, -87.67930610000001 42.0535859, -87.67930610000001 42.0535223, -87.6794008 42.0535223))",POINT (-87.6793464 42.0535709),87.6,942.9
Pick-Staiger Concert Hall,9,33908912,,university,,,"POLYGON ((-87.6725488 42.0527867, -87.67255 42.0527346, -87.6725503 42.0527212, -87.6724687 42.0525707, -87.67241180000001 42.0525228, -87.6721944 42.0525184, -87.6721423 42.0525173, -87.67210969999999 42.0524583, -87.6719128 42.0524567, -87.67177940000001 42.0525396, -87.67186340000001 42.0527124, -87.6718996 42.0527124, -87.6719562 42.0527123, -87.671977 42.052754, -87.67202519999999 42.0528508, -87.6722103 42.052853, -87.672252 42.0529362, -87.67230669999999 42.0529368, -87.6725488 42.0527867))",POINT (-87.6721842 42.052674),2134.9,22979.9
