mvmt_id,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,lanes,mvmt_txt_id,geometry,node_id,osm_node_id,name,ib_osm_node_id,ob_osm_node_id,type,penalty,capacity,ctrl_type,volume,free_speed,allowed_uses,,
0,1,1,1,167,1,1,1,SBL,"LINESTRING (-111.930408 33.423197, -111.930341 33.423116)",0,41529691,,41529697,5201685470,left,,,,,,auto;walk;bike,,
1,1,1,1,171,1,1,1,SBR,"LINESTRING (-111.930408 33.423197, -111.930489 33.423176)",0,41529691,,41529697,330693678,right,,,,,,auto;walk;bike,,
2,168,1,1,0,1,1,1,WBR,"LINESTRING (-111.930341 33.423116, -111.930408 33.423197)",0,41529691,,5201685470,41529697,right,,,,,,auto;walk;bike,,
3,168,1,1,171,1,1,1,WBT,"LINESTRING (-111.930341 33.423116, -111.930489 33.423176)",0,41529691,,5201685470,330693678,thru,,,,,,auto;walk;bike,,
4,533,2,2,0,1,1,1,EBL,"LINESTRING (-111.930511 33.423138, -111.930408 33.423197)",0,41529691,,330693619,41529697,left,,,,,,auto;walk;bike,,
5,533,2,2,167,1,1,1,EBT,"LINESTRING (-111.930511 33.423138, -111.930341 33.423116)",0,41529691,,330693619,5201685470,thru,,,,,,auto;walk;bike,,
6,533,1,1,171,1,1,1,EBU,"LINESTRING (-111.930511 33.423138, -111.930489 33.423176)",0,41529691,,330693619,330693678,uturn,,,,,,auto;walk;bike,,
7,0,1,1,542,1,1,1,NBT,"LINESTRING (-111.929161 33.424275, -111.928998 33.424321)",1,41529697,,41529691,41529701_2704829968,thru,,,,,,auto;walk;bike,,
8,543,1,1,1,1,1,1,WBT,"LINESTRING (-111.928998 33.424321, -111.929161 33.424275)",1,41529697,,41529701_2704829968,41529691,thru,,,,,,auto;walk;bike,,
9,3,1,1,539,1,1,1,WBL,"LINESTRING (-111.941180 33.424339, -111.941268 33.424266)",2,3101265641,,41529740_2625359015,5080816830,left,,,,,,auto;walk;bike,,
10,3,1,1,540,1,1,1,WBT,"LINESTRING (-111.941180 33.424339, -111.941353 33.424338)",2,3101265641,,41529740_2625359015,5258562214,thru,,,,,,auto;walk;bike,,
11,538,1,1,2,1,1,1,NBR,"LINESTRING (-111.941268 33.424266, -111.941180 33.424339)",2,3101265641,,5080816830,41529740_2625359015,right,,,,,,auto;walk;bike,,
12,538,1,1,540,1,1,1,NBL,"LINESTRING (-111.941268 33.424266, -111.941353 33.424338)",2,3101265641,,5080816830,5258562214,left,,,,,,auto;walk;bike,,
13,541,1,1,2,1,1,1,EBT,"LINESTRING (-111.941353 33.424338, -111.941180 33.424339)",2,3101265641,,5258562214,41529740_2625359015,thru,,,,,,auto;walk;bike,,
14,541,1,1,539,1,1,1,EBR,"LINESTRING (-111.941353 33.424338, -111.941268 33.424266)",2,3101265641,,5258562214,5080816830,right,,,,,,auto;walk;bike,,
15,5,1,1,598,1,1,1,WBT,"LINESTRING (-111.937547 33.424358, -111.937655 33.424424)",4,2626664037,,41529813,6796038632,thru,,,,,,auto;walk;bike,,
16,597,1,1,4,1,1,1,EBT,"LINESTRING (-111.937682 33.424300, -111.937547 33.424358)",4,2626664037,,6796038632,41529813,thru,,,,,,auto;walk;bike,,
17,4,1,1,6,1,1,1,EBT,"LINESTRING (-111.936752 33.424359, -111.936580 33.424360)",5,41529813,,2626664037,316007232,thru,,,,,,auto;walk;bike,,
18,4,1,1,191,1,1,1,EBL,"LINESTRING (-111.936752 33.424359, -111.936667 33.424431)",5,41529813,,2626664037,41746580,left,,,,,,auto;walk;bike,,
19,4,1,1,192,1,1,1,EBR,"LINESTRING (-111.936752 33.424359, -111.936667 33.424287)",5,41529813,,2626664037,41957870,right,,,,,,auto;walk;bike,,
20,7,1,1,5,1,1,1,WBT,"LINESTRING (-111.936580 33.424360, -111.936752 33.424359)",5,41529813,,316007232,2626664037,thru,,,,,,auto;walk;bike,,
21,7,1,1,191,1,1,1,WBR,"LINESTRING (-111.936580 33.424360, -111.936667 33.424431)",5,41529813,,316007232,41746580,right,,,,,,auto;walk;bike,,
22,7,1,1,192,1,1,1,WBL,"LINESTRING (-111.936580 33.424360, -111.936667 33.424287)",5,41529813,,316007232,41957870,left,,,,,,auto;walk;bike,,
23,190,1,1,5,1,1,1,SBR,"LINESTRING (-111.936667 33.424431, -111.936752 33.424359)",5,41529813,,41746580,2626664037,right,,,,,,auto;walk;bike,,
24,190,1,1,6,1,1,1,SBL,"LINESTRING (-111.936667 33.424431, -111.936580 33.424360)",5,41529813,,41746580,316007232,left,,,,,,auto;walk;bike,,
25,190,1,1,192,1,1,1,SBT,"LINESTRING (-111.936667 33.424431, -111.936667 33.424287)",5,41529813,,41746580,41957870,thru,,,,,,auto;walk;bike,,
26,193,1,1,5,1,1,1,NBL,"LINESTRING (-111.936667 33.424287, -111.936752 33.424359)",5,41529813,,41957870,2626664037,left,,,,,,auto;walk;bike,,
27,193,1,1,6,1,1,1,NBR,"LINESTRING (-111.936667 33.424287, -111.936580 33.424360)",5,41529813,,41957870,316007232,right,,,,,,auto;walk;bike,,
28,193,1,1,191,1,1,1,NBT,"LINESTRING (-111.936667 33.424287, -111.936667 33.424431)",5,41529813,,41957870,41746580,thru,,,,,,auto;walk;bike,,
29,6,1,1,95,1,1,1,EBL,"LINESTRING (-111.935067 33.424336, -111.934981 33.424407)",6,316007232,,41529813,41746582,left,,,,,,auto;walk;bike,,
30,6,1,1,96,1,1,1,EBR,"LINESTRING (-111.935067 33.424336, -111.934983 33.424262)",6,316007232,,41529813,42304472,right,,,,,,auto;walk;bike,,
31,94,1,1,7,1,1,1,SBR,"LINESTRING (-111.934981 33.424407, -111.935067 33.424336)",6,316007232,,41746582,41529813,right,,,,,,auto;walk;bike,,
32,94,1,1,96,1,1,1,SBT,"LINESTRING (-111.934981 33.424407, -111.934983 33.424262)",6,316007232,,41746582,42304472,thru,,,,,,auto;walk;bike,,
33,97,1,1,7,1,1,1,NBL,"LINESTRING (-111.934983 33.424262, -111.935067 33.424336)",6,316007232,,42304472,41529813,left,,,,,,auto;walk;bike,,
34,97,1,1,95,1,1,1,NBT,"LINESTRING (-111.934983 33.424262, -111.934981 33.424407)",6,316007232,,42304472,41746582,thru,,,,,,auto;walk;bike,,
35,9,1,1,373,2,2,1,NBR,"LINESTRING (-111.941259 33.421858, -111.941175 33.421931)",7,41533533,,7265020288,4346605155,right,,,,,,auto;walk;bike,,
36,9,1,1,374,1,1,1,NBL,"LINESTRING (-111.941259 33.421858, -111.941347 33.421930)",7,41533533,,7265020288,4346605154,left,,,,,,auto;walk;bike,,
37,372,1,1,8,1,1,1,WBL,"LINESTRING (-111.941175 33.421931, -111.941259 33.421858)",7,41533533,,4346605155,7265020288,left,,,,,,auto;walk;bike,,
38,372,2,2,374,2,2,1,WBT,"LINESTRING (-111.941175 33.421931, -111.941347 33.421930)",7,41533533,,4346605155,4346605154,thru,,,,,,auto;walk;bike,,
39,375,2,2,8,1,1,1,EBR,"LINESTRING (-111.941347 33.421930, -111.941259 33.421858)",7,41533533,,4346605154,7265020288,right,,,,,,auto;walk;bike,,
40,375,1,1,373,1,1,1,EBT,"LINESTRING (-111.941347 33.421930, -111.941175 33.421931)",7,41533533,,4346605154,4346605155,thru,,,,,,auto;walk;bike,,
41,8,1,1,614,1,1,1,SBR,"LINESTRING (-111.941231 33.420594, -111.941265 33.420512)",8,7265020288,,41533533,7265020285,right,,,,,,auto;walk;bike,,
42,613,1,1,9,1,1,1,WBR,"LINESTRING (-111.941202 33.420512, -111.941231 33.420594)",8,7265020288,,7264975968,41533533,right,,,,,,auto;walk;bike,,
43,613,1,1,614,1,1,1,WBL,"LINESTRING (-111.941202 33.420512, -111.941265 33.420512)",8,7265020288,,7264975968,7265020285,left,,,,,,auto;walk;bike,,
44,11,1,1,37,1,1,1,SBL,"LINESTRING (-111.942341 33.413687, -111.942254 33.413615)",9,41563455,,41563456,41662601,left,,,,,,auto;walk;bike,,
45,11,1,1,38,1,1,1,SBR,"LINESTRING (-111.942341 33.413687, -111.942426 33.413613)",9,41563455,,41563456,41695219,right,,,,,,auto;walk;bike,,
46,36,1,1,10,1,1,1,WBR,"LINESTRING (-111.942254 33.413615, -111.942341 33.413687)",9,41563455,,41662601,41563456,right,,,,,,auto;walk;bike,,
47,36,1,1,38,1,1,1,WBT,"LINESTRING (-111.942254 33.413615, -111.942426 33.413613)",9,41563455,,41662601,41695219,thru,,,,,,auto;walk;bike,,
48,39,1,1,10,1,1,1,EBL,"LINESTRING (-111.942426 33.413613, -111.942341 33.413687)",9,41563455,,41695219,41563456,left,,,,,,auto;walk;bike,,
49,39,1,1,37,1,1,1,EBT,"LINESTRING (-111.942426 33.413613, -111.942254 33.413615)",9,41563455,,41695219,41662601,thru,,,,,,auto;walk;bike,,
50,10,1,1,12,1,1,1,NBT,"LINESTRING (-111.942380 33.414665, -111.942442 33.414797)",10,41563456,,41563455,41563458,thru,,,,,,auto;walk;bike,,
51,10,1,1,186,1,1,1,NBR,"LINESTRING (-111.942380 33.414665, -111.942333 33.414729)",10,41563456,,41563455,41533545,right,,,,,,auto;walk;bike,,
52,10,1,1,187,1,1,1,NBL,"LINESTRING (-111.942380 33.414665, -111.942505 33.414728)",10,41563456,,41563455,,left,,,,,,auto;walk;bike,,
53,13,1,1,11,1,1,1,SBT,"LINESTRING (-111.942442 33.414797, -111.942380 33.414665)",10,41563456,,41563458,41563455,thru,,,,,,auto;walk;bike,,
54,13,1,1,186,1,1,1,SBL,"LINESTRING (-111.942442 33.414797, -111.942333 33.414729)",10,41563456,,41563458,41533545,left,,,,,,auto;walk;bike,,
55,13,1,1,187,1,1,1,SBR,"LINESTRING (-111.942442 33.414797, -111.942505 33.414728)",10,41563456,,41563458,,right,,,,,,auto;walk;bike,,
56,185,1,1,11,1,1,1,WBL,"LINESTRING (-111.942333 33.414729, -111.942380 33.414665)",10,41563456,,41533545,41563455,left,,,,,,auto;walk;bike,,
57,185,1,1,12,1,1,1,WBR,"LINESTRING (-111.942333 33.414729, -111.942442 33.414797)",10,41563456,,41533545,41563458,right,,,,,,auto;walk;bike,,
58,185,1,1,187,1,1,1,WBT,"LINESTRING (-111.942333 33.414729, -111.942505 33.414728)",10,41563456,,41533545,,thru,,,,,,auto;walk;bike,,
59,188,1,1,11,1,1,1,EBR,"LINESTRING (-111.942505 33.414728, -111.942380 33.414665)",10,41563456,,,41563455,right,,,,,,auto;walk;bike,,
60,188,1,1,12,1,1,1,EBL,"LINESTRING (-111.942505 33.414728, -111.942442 33.414797)",10,41563456,,,41563458,left,,,,,,auto;walk;bike,,
61,188,1,1,186,1,1,1,EBT,"LINESTRING (-111.942505 33.414728, -111.942333 33.414729)",10,41563456,,,41533545,thru,,,,,,auto;walk;bike,,
62,12,1,1,14,1,1,1,NBT,"LINESTRING (-111.942453 33.416118, -111.942453 33.416263)",11,41563458,,41563456,41563460,thru,,,,,,auto;walk;bike,,
63,12,1,1,103,1,1,1,NBR,"LINESTRING (-111.942453 33.416118, -111.942367 33.416191)",11,41563458,,41563456,41533544,right,,,,,,auto;walk;bike,,
64,15,1,1,13,1,1,1,SBT,"LINESTRING (-111.942453 33.416263, -111.942453 33.416118)",11,41563458,,41563460,41563456,thru,,,,,,auto;walk;bike,,
65,15,1,1,103,1,1,1,SBL,"LINESTRING (-111.942453 33.416263, -111.942367 33.416191)",11,41563458,,41563460,41533544,left,,,,,,auto;walk;bike,,
66,102,1,1,13,1,1,1,WBL,"LINESTRING (-111.942367 33.416191, -111.942453 33.416118)",11,41563458,,41533544,41563456,left,,,,,,auto;walk;bike,,
67,102,1,1,14,1,1,1,WBR,"LINESTRING (-111.942367 33.416191, -111.942453 33.416263)",11,41563458,,41533544,41563460,right,,,,,,auto;walk;bike,,
68,14,1,1,16,1,1,1,NBT,"LINESTRING (-111.942452 33.417546, -111.942452 33.417690)",12,41563460,,41563458,41563464,thru,,,,,,auto;walk;bike,,
69,14,1,1,126,1,1,1,NBR,"LINESTRING (-111.942452 33.417546, -111.942367 33.417618)",12,41563460,,41563458,41533540,right,,,,,,auto;walk;bike,,
70,17,1,1,15,1,1,1,SBT,"LINESTRING (-111.942452 33.417690, -111.942452 33.417546)",12,41563460,,41563464,41563458,thru,,,,,,auto;walk;bike,,
71,17,1,1,126,1,1,1,SBL,"LINESTRING (-111.942452 33.417690, -111.942367 33.417618)",12,41563460,,41563464,41533540,left,,,,,,auto;walk;bike,,
72,125,1,1,15,1,1,1,WBL,"LINESTRING (-111.942367 33.417618, -111.942452 33.417546)",12,41563460,,41533540,41563458,left,,,,,,auto;walk;bike,,
73,125,1,1,16,1,1,1,WBR,"LINESTRING (-111.942367 33.417618, -111.942452 33.417690)",12,41563460,,41533540,41563464,right,,,,,,auto;walk;bike,,
74,16,1,1,18,1,1,1,NBT,"LINESTRING (-111.942443 33.418989, -111.942364 33.419115)",13,41563464,,41563460,7265020297,thru,,,,,,auto;walk;bike,,
75,16,1,1,33,1,1,1,NBR,"LINESTRING (-111.942443 33.418989, -111.942308 33.419049)",13,41563464,,41563460,41533538,right,,,,,,auto;walk;bike,,
76,16,1,1,34,1,1,1,NBL,"LINESTRING (-111.942443 33.418989, -111.942481 33.419047)",13,41563464,,41563460,,left,,,,,,auto;walk;bike,,
77,19,1,1,17,1,1,1,SBT,"LINESTRING (-111.942364 33.419115, -111.942443 33.418989)",13,41563464,,7265020297,41563460,thru,,,,,,auto;walk;bike,,
78,19,1,1,33,1,1,1,SBL,"LINESTRING (-111.942364 33.419115, -111.942308 33.419049)",13,41563464,,7265020297,41533538,left,,,,,,auto;walk;bike,,
79,19,1,1,34,1,1,1,SBR,"LINESTRING (-111.942364 33.419115, -111.942481 33.419047)",13,41563464,,7265020297,,right,,,,,,auto;walk;bike,,
80,32,1,1,17,1,1,1,WBL,"LINESTRING (-111.942308 33.419049, -111.942443 33.418989)",13,41563464,,41533538,41563460,left,,,,,,auto;walk;bike,,
81,32,1,1,18,1,1,1,WBR,"LINESTRING (-111.942308 33.419049, -111.942364 33.419115)",13,41563464,,41533538,7265020297,right,,,,,,auto;walk;bike,,
82,32,1,1,34,1,1,1,WBT,"LINESTRING (-111.942308 33.419049, -111.942481 33.419047)",13,41563464,,41533538,,thru,,,,,,auto;walk;bike,,
83,35,1,1,17,1,1,1,EBR,"LINESTRING (-111.942481 33.419047, -111.942443 33.418989)",13,41563464,,,41563460,right,,,,,,auto;walk;bike,,
84,35,1,1,18,1,1,1,EBL,"LINESTRING (-111.942481 33.419047, -111.942364 33.419115)",13,41563464,,,7265020297,left,,,,,,auto;walk;bike,,
85,35,1,1,33,1,1,1,EBT,"LINESTRING (-111.942481 33.419047, -111.942308 33.419049)",13,41563464,,,41533538,thru,,,,,,auto;walk;bike,,
86,18,1,1,609,1,1,1,NBT,"LINESTRING (-111.942373 33.420359, -111.942342 33.420444)",14,7265020297,,41563464,7264975984,thru,,,,,,auto;walk;bike,,
87,608,1,1,19,1,1,1,EBR,"LINESTRING (-111.942407 33.420442, -111.942373 33.420359)",14,7265020297,,7264975967,41563464,right,,,,,,auto;walk;bike,,
88,608,1,1,609,1,1,1,EBL,"LINESTRING (-111.942407 33.420442, -111.942342 33.420444)",14,7265020297,,7264975967,7264975984,left,,,,,,auto;walk;bike,,
89,21,1,1,75,1,1,1,NBL,"LINESTRING (-111.920963 33.412805, -111.921051 33.412879)",15,41606207,,,5665542312,left,,,,,,auto;walk;bike,,
90,21,1,1,76,1,1,1,NBR,"LINESTRING (-111.920963 33.412805, -111.920879 33.412878)",15,41606207,,,41606183,right,,,,,,auto;walk;bike,,
91,74,1,1,20,1,1,1,EBR,"LINESTRING (-111.921051 33.412879, -111.920963 33.412805)",15,41606207,,5665542312,,right,,,,,,auto;walk;bike,,
92,74,1,1,76,1,1,1,EBT,"LINESTRING (-111.921051 33.412879, -111.920879 33.412878)",15,41606207,,5665542312,41606183,thru,,,,,,auto;walk;bike,,
93,77,1,1,20,1,1,1,WBL,"LINESTRING (-111.920879 33.412878, -111.920963 33.412805)",15,41606207,,41606183,,left,,,,,,auto;walk;bike,,
94,77,1,1,75,1,1,1,WBT,"LINESTRING (-111.920879 33.412878, -111.921051 33.412879)",15,41606207,,41606183,5665542312,thru,,,,,,auto;walk;bike,,
95,22,1,1,23,1,1,1,EBT,"LINESTRING (-111.938374 33.414963, -111.938223 33.414893)",18,316870046,,316870186_2625358994,41624258,thru,,,,,,auto;walk;bike,,
