name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,0,80294795,motorway_junction,,,,motorway,0,-96.7859412,43.4926499,,,
,1,80219498,,,,,motorway,0,-96.7972108,43.4812239,,,
,2,80227342,motorway_junction,,,,motorway,0,-96.762597,43.4983598,,,
,3,2445411692,,,,,motorway,0,-96.7684085,43.4970702,,,
,4,80237504,,,,,tertiary,0,-96.7474488,43.494125,,,
,5,80237525,,,,,tertiary,0,-96.7574773,43.4942892,,,
,6,80240485,motorway_junction,,,,motorway,0,-96.7775785,43.4936768,,,
,7,2445411741,,,,,motorway,0,-96.7702666,43.4928965,,,
,8,80247699,,,,,motorway,0,-96.7907936,43.4957493,,,
,9,80230284,,,,,secondary,0,-96.7208609,43.4896348,,,
,12,1876439613,,,,,tertiary,2,-96.7871809,43.4790063,,,
,13,7726891829,,,,,tertiary,0,-96.7871864,43.4844493,,,
,14,1028818489,traffic_signals,,signal,,secondary,0,-96.7908254,43.5002771,,,
,15,2440975668,,,,,secondary,0,-96.7925897,43.5002806,,,
,16,481801171,,,,,secondary,0,-96.7578032,43.500347,,,
,17,80728342,,,,,secondary,0,-96.7658602,43.5003384,,,
,18,5488961694,traffic_signals,,signal,,secondary,0,-96.7707887,43.500342,,,
,19,2440996579,,,,,secondary,0,-96.7709314,43.500342,,,
,20,498701010,,,,,secondary,0,-96.7711299,43.5003376,,,
,21,80710643,traffic_signals,,signal,,secondary,0,-96.7311006,43.5002926,,,
,22,80283811,traffic_signals,,signal,,secondary,0,-96.7480082,43.500364,,,
,23,1351702575,,,,,secondary,0,-96.7597852,43.489783,,,
,24,1351593860,,,,,tertiary,0,-96.7638934,43.4898236,,,
,27,80281191,,,,,tertiary,0,-96.826311,43.490064,,,
,28,80289347,,,,,tertiary,2,-96.8380687,43.4900543,,,
,29,80289385,,,,,secondary,0,-96.6089348,43.48944,,,
,30,2459022398,,,,,secondary,0,-96.6476031,43.4894633,,,
,31,80289913,,,,,primary,0,-96.7294066,43.4980715,,,
,32,80289915,,,,,primary,0,-96.7292752,43.4979403,,,
,33,80289917,,,,,primary,0,-96.7286317,43.497345,,,
,34,481801168,,,,,motorway,0,-96.7567405,43.5005856,,,
,35,80216348,,,,,motorway,0,-96.7864288,43.4920751,,,
,36,8454812884,,,,,motorway,0,-96.7842949,43.4925177,,,
,37,80279234,,,,,motorway,0,-96.7695799,43.4954132,,,
,39,80230929,,,,,primary,0,-96.7275957,43.4862043,,,
,40,498701014,,,,,secondary,0,-96.7077012,43.4912296,,,
,41,80303943,,,,,secondary,0,-96.707688,43.496051,,,
,42,80263458,,,,,secondary,2,-96.707702,43.479962,,,
,43,2459064883,,,,,secondary,0,-96.7076972,43.4806719,,,
,44,80263982,,,,,tertiary,2,-96.6877834,43.4800835,,,
,45,2459064903,,,,,tertiary,0,-96.6877732,43.4821097,,,
,46,1351593850,,,,,tertiary,0,-96.7638957,43.4897098,,,
,47,2462403743,,,,,tertiary,0,-96.7306095,43.4967428,,,
,48,80639233,motorway_junction,,,,motorway,0,-96.7802392,43.5375947,,,
,49,1350913400,,,,,motorway,0,-96.7798656,43.540865,,,
,50,80639699,,,,,secondary,0,-96.6207929,43.5301444,,,
,51,80639726,,,,,primary,0,-96.6194386,43.5302007,,,
,52,80640296,,,,,secondary,0,-96.7114625,43.5157653,,,
,53,80640295,,,,,motorway,0,-96.7118392,43.5158,,,
,54,80640685,motorway_junction,,,,motorway,0,-96.7266613,43.5119483,,,
,55,80640687,,,,,motorway,0,-96.7295768,43.5113069,,,
,56,80640782,motorway_junction,,,,motorway,0,-96.7808691,43.5115013,,,
,57,80640779,,,,,motorway,0,-96.7795274,43.5144566,,,
,58,80640861,motorway_junction,,,,motorway,0,-96.7782266,43.5661176,,,
,59,80640872,,,,,motorway,0,-96.7742921,43.5704152,,,
,60,1331643600,,,,,primary,0,-96.7696296,43.5690352,,,
,61,80640916,,,,,motorway,0,-96.7721489,43.5755574,,,
,62,80640974,motorway_junction,,,,motorway,0,-96.7709762,43.5972274,,,
,63,2449984662,,,,,motorway,0,-96.7697327,43.6007043,,,
,64,80641200,motorway_junction,,,,motorway,0,-96.7707108,43.6124231,,,
,65,616070037,,,,,motorway,0,-96.7710173,43.6126185,,,
,66,80641222,motorway_junction,,,,motorway,0,-96.6931456,43.5815276,,,
,67,80641212,traffic_signals,,signal,,secondary,0,-96.6901626,43.5872114,,,
,68,80641201,,,,,motorway,0,-96.6908998,43.5919144,,,
,69,80641241,motorway_junction,,,,motorway,0,-96.7806783,43.5488234,,,
,70,1860609878,,,,,motorway,0,-96.7807328,43.5477998,,,
,71,80641312,motorway_junction,,,,motorway,0,-96.6910729,43.5930424,,,
,72,80641324,,,,,secondary,0,-96.6941618,43.5872274,,,
,73,80641333,,,,,motorway,0,-96.6933394,43.5827452,,,
,74,80641409,motorway_junction,,,,motorway,0,-96.7712362,43.6023053,,,
,75,80641433,,,,,motorway,0,-96.7737595,43.6005808,,,
,76,80641582,motorway_junction,,,,motorway,0,-96.6939481,43.5437938,,,
,77,2458750888,,,,,motorway,0,-96.6936644,43.5458983,,,
,78,80641583,motorway_junction,,,,motorway,0,-96.6936179,43.5676932,,,
,79,7843948547,traffic_signals,,signal,,motorway,0,-96.6950388,43.5632887,,,
,80,1924976149,,,,,secondary,0,-96.6950097,43.5631113,,,
,81,80641631,motorway_junction,,,,motorway,0,-96.7802597,43.5231438,,,
,82,2446584775,,,,,motorway,0,-96.779246,43.5262538,,,
,83,80641722,motorway_junction,,,,motorway,0,-96.6939633,43.5507201,,,
,84,2458750911,,,,,motorway,0,-96.6945283,43.5475725,,,
,85,80641729,,,,,motorway,0,-96.6945123,43.5471606,,,
,86,2458750889,traffic_signals,,signal,,motorway,0,-96.6943271,43.5468588,,,
,87,2458750784,,,,,motorway,0,-96.6941832,43.5467522,,,
,88,2458750811,,,,,motorway,0,-96.6940845,43.546721,,,
,89,2986769591,,,,,motorway,0,-96.694024,43.5466926,,,
,90,2458750793,,,,,primary,0,-96.6937255,43.5466277,,,
,91,80641897,motorway_junction,,,,motorway,0,-96.6932682,43.5645776,,,
,92,2456582568,traffic_signals,,signal,,motorway,0,-96.6916241,43.5646252,,,
,93,80641914,motorway_junction,,,,motorway,0,-96.7358699,43.5082177,,,
,94,80641916,,,,,motorway,0,-96.7325824,43.5089845,,,
,95,80641941,motorway_junction,,,,motorway,0,-96.7166185,43.5139681,,,
,96,2451195066,,,,,motorway,0,-96.713277,43.5142535,,,
,97,80641970,motorway_junction,,,,motorway,0,-96.7062171,43.5187379,,,
,98,2451211142,,,,,motorway,0,-96.7095929,43.5167961,,,
,99,2447759605,motorway_junction,,,,motorway,0,-96.7711049,43.5805917,,,
,100,80641988,,,,,motorway,0,-96.7768366,43.5743522,,,
,101,1360596320,motorway_junction,,,,motorway,0,-96.776633,43.6125682,,,
,102,504669441,,,,,motorway,0,-96.7710387,43.6086224,,,
,103,80673149,motorway_junction,,,,motorway,0,-96.7704151,43.6086607,,,
,104,504669387,,,,,motorway,0,-96.7636555,43.612653,,,
,105,80642646,,,,,tertiary,0,-96.770567,43.572891,,,
,106,80673106,,,,,motorway,0,-96.7706565,43.5789204,,,
