o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,volume,geometry
15,B7,7,A7,0.6046096482597645,14,"LINESTRING (80.2486953 13.0024382,80.2486263 13.00787)"
15,B7,8,A8,0.7099831753326111,34,"LINESTRING (80.2486953 13.0024382,80.2525708 13.007505)"
15,B7,9,B1,3.326510978823453,3,"LINESTRING (80.2486953 13.0024382,80.2188233 13.0014666)"
15,B7,10,B2,3.1559657755721697,2,"LINESTRING (80.2486953 13.0024382,80.2203519 13.0032662)"
15,B7,11,B3,2.3562616344557723,0,"LINESTRING (80.2486953 13.0024382,80.227525 13.002485)"
15,B7,12,B4,1.7986504189630264,0,"LINESTRING (80.2486953 13.0024382,80.232535 13.002485)"
15,B7,13,B5,1.10171443779075,5,"LINESTRING (80.2486953 13.0024382,80.238808 13.0029102)"
15,B7,14,B6,0.5594992894477021,18,"LINESTRING (80.2486953 13.0024382,80.2437209 13.0031631)"
15,B7,15,B7,0.0,0,"LINESTRING (80.2486953 13.0024382,80.2486953 13.0024382)"
15,B7,16,B8,0.4159989663445449,46,"LINESTRING (80.2486953 13.0024382,80.2524279 13.0022445)"
15,B7,17,C1,3.557636901064681,2,"LINESTRING (80.2486953 13.0024382,80.2172471 12.9967168)"
15,B7,18,C2,2.9657685073819877,0,"LINESTRING (80.2486953 13.0024382,80.222515 12.997475)"
15,B7,19,C3,2.4201431287154915,0,"LINESTRING (80.2486953 13.0024382,80.227525 12.997475)"
15,B7,20,C4,1.7657697040346223,2,"LINESTRING (80.2486953 13.0024382,80.234407 12.9955431)"
15,B7,21,C5,1.384946190682258,10,"LINESTRING (80.2486953 13.0024382,80.2375025 12.9970014)"
15,B7,22,C6,0.9272412324830791,19,"LINESTRING (80.2486953 13.0024382,80.2425184 12.9968479)"
15,B7,23,C7,0.49118760502949466,22,"LINESTRING (80.2486953 13.0024382,80.2484785 12.9980304)"
15,B7,24,C8,0.6558516224858278,36,"LINESTRING (80.2486953 13.0024382,80.2521682 12.9976777)"
15,B7,25,D1,3.590206739452951,11,"LINESTRING (80.2486953 13.0024382,80.2179686 12.9926206)"
15,B7,26,D2,3.200248480342456,8,"LINESTRING (80.2486953 13.0024382,80.221827 12.9921985)"
15,B7,27,D3,2.5631301413558045,3,"LINESTRING (80.2486953 13.0024382,80.2280912 12.9921521)"
15,B7,28,D4,2.0304973923501244,14,"LINESTRING (80.2486953 13.0024382,80.2330937 12.9929823)"
15,B7,29,D5,1.6956648161842378,5,"LINESTRING (80.2486953 13.0024382,80.236316 12.9935578)"
15,B7,30,D6,1.2437361033551118,26,"LINESTRING (80.2486953 13.0024382,80.2426818 12.9930196)"
15,B7,31,D7,1.1248607859923152,27,"LINESTRING (80.2486953 13.0024382,80.2477428 12.9923766)"
15,B7,32,D8,1.2094980558291568,19,"LINESTRING (80.2486953 13.0024382,80.2529345 12.9924322)"
15,B7,33,E1,3.7638631059214998,12,"LINESTRING (80.2486953 13.0024382,80.2185331 12.9871461)"
15,B7,34,E2,3.449858537201834,11,"LINESTRING (80.2486953 13.0024382,80.2217603 12.9871001)"
15,B7,35,E3,2.9009503780231625,10,"LINESTRING (80.2486953 13.0024382,80.2281253 12.9864314)"
15,B7,36,E4,2.5896881668983696,18,"LINESTRING (80.2486953 13.0024382,80.2315353 12.9867247)"
15,B7,37,E5,2.14088551666261,16,"LINESTRING (80.2486953 13.0024382,80.2373465 12.9869076)"
15,B7,38,E6,1.7986918493778379,12,"LINESTRING (80.2486953 13.0024382,80.2425903 12.987475)"
15,B7,39,E7,1.7071922742075292,12,"LINESTRING (80.2486953 13.0024382,80.2477649 12.9871278)"
15,B7,40,E8,1.760877745495604,22,"LINESTRING (80.2486953 13.0024382,80.253365 12.987322)"
15,B7,41,F1,3.979132127933997,14,"LINESTRING (80.2486953 13.0024382,80.2187606 12.9828914)"
15,B7,42,F2,3.6376113977701703,19,"LINESTRING (80.2486953 13.0024382,80.2224538 12.982956)"
15,B7,43,F3,3.2049616892442216,20,"LINESTRING (80.2486953 13.0024382,80.2275732 12.9828666)"
15,B7,44,F4,2.8748643294066984,13,"LINESTRING (80.2486953 13.0024382,80.2318972 12.9828166)"
15,B7,45,F5,2.520989471771791,18,"LINESTRING (80.2486953 13.0024382,80.2374336 12.9827859)"
15,B7,46,F6,2.3063546715979184,13,"LINESTRING (80.2486953 13.0024382,80.241869 12.9828729)"
15,B7,47,F7,2.185425628513658,15,"LINESTRING (80.2486953 13.0024382,80.2472723 12.9828544)"
15,B7,48,F8,2.199107998308217,17,"LINESTRING (80.2486953 13.0024382,80.2530957 12.9831761)"
16,B8,1,A1,3.8456617980993295,15,"LINESTRING (80.2524279 13.0022445,80.2183666 13.008048)"
16,B8,2,A2,3.4660498757482667,17,"LINESTRING (80.2524279 13.0022445,80.2218667 13.0082284)"
16,B8,3,A3,2.94799070044934,12,"LINESTRING (80.2524279 13.0022445,80.2266388 13.0082839)"
16,B8,4,A4,2.306905033364651,9,"LINESTRING (80.2524279 13.0022445,80.2329612 13.0093613)"
16,B8,5,A5,1.7277959899704478,42,"LINESTRING (80.2524279 13.0022445,80.2380551 13.0081105)"
16,B8,6,A6,1.1130439274185404,27,"LINESTRING (80.2524279 13.0022445,80.2433261 13.0063874)"
16,B8,7,A7,0.7556855380141525,26,"LINESTRING (80.2524279 13.0022445,80.2486263 13.00787)"
16,B8,8,A8,0.5857132666335276,64,"LINESTRING (80.2524279 13.0022445,80.2525708 13.007505)"
16,B8,9,B1,3.741194367833462,6,"LINESTRING (80.2524279 13.0022445,80.2188233 13.0014666)"
16,B8,10,B2,3.5718704117241327,3,"LINESTRING (80.2524279 13.0022445,80.2203519 13.0032662)"
16,B8,11,B3,2.771824855892702,0,"LINESTRING (80.2524279 13.0022445,80.227525 13.002485)"
16,B8,12,B4,2.214244417002209,0,"LINESTRING (80.2524279 13.0022445,80.232535 13.002485)"
16,B8,13,B5,1.5177107888228902,8,"LINESTRING (80.2524279 13.0022445,80.238808 13.0029102)"
16,B8,14,B6,0.9744698841285375,32,"LINESTRING (80.2524279 13.0022445,80.2437209 13.0031631)"
16,B8,15,B7,0.4159989663445449,45,"LINESTRING (80.2524279 13.0022445,80.2486953 13.0024382)"
16,B8,16,B8,0.0,0,"LINESTRING (80.2524279 13.0022445,80.2524279 13.0022445)"
