agent_id,o_zone_id,d_zone_id,path_id,agent_type,demand_period,volume,toll,travel_time,distance,node_sequence,link_sequence,geometry
741,3,8,0,N/A,N/A,N/A,N/A,N/A,2824.4650000000006,distance: infinity | path: ,distance: infinity | path: ,"LINESTRING (80.2286092 13.0091943, 80.2290373 13.0090938, 80.2302027 13.0088616, 80.231111 13.0086807, 80.2327932 13.0083611, 80.2348091 13.0079679, 80.2350883 13.0079133, 80.2374709 13.0074523, 80.2387016 13.007221, 80.240213 13.0069328, 80.2403241 13.0069116, 80.2406323 13.0068528, 80.2413433 13.0067707, 80.2429431 13.0067136, 80.2441123 13.0067335, 80.2454226 13.0067495, 80.2472834 13.0067745, 80.2474589 13.0067073, 80.2476214 13.0067745, 80.2477253 13.0067588, 80.248075 13.0067609, 80.2483802 13.0067672, 80.248907 13.0068017, 80.2516623 13.006728, 80.2516772 13.0058074, 80.2516663 13.0050258)"
940,3,42,0,N/A,N/A,N/A,N/A,N/A,10010.711000000001,distance: infinity | path: ,distance: infinity | path: ,"LINESTRING (80.2290373 13.0090938, 80.2302027 13.0088616, 80.231111 13.0086807, 80.2327932 13.0083611, 80.2348091 13.0079679, 80.2350883 13.0079133, 80.2374709 13.0074523, 80.2387016 13.007221, 80.240213 13.0069328, 80.2403241 13.0069116, 80.2406323 13.0068528, 80.2413433 13.0067707, 80.2429431 13.0067136, 80.2441123 13.0067335, 80.2454226 13.0067495, 80.2472834 13.0067745, 80.2474589 13.0067073, 80.2472788 13.0066472, 80.24615 13.0066442, 80.2453744 13.0066331, 80.2449289 13.0066267, 80.244523 13.0066106, 80.2436375 13.0066045, 80.2429189 13.0065948, 80.2425929 13.0065953, 80.2424639 13.0058457, 80.2423589 13.0057521, 80.2418528 13.0053015, 80.2418659 13.0043549, 80.2417213 13.0040416, 80.2415448 13.003953, 80.2409408 13.0037233, 80.2405253 13.0035653, 80.2394581 13.0032674, 80.2393207 13.0028997, 80.2391436 13.00245, 80.2382721 13.0003477, 80.2379388 12.9994873, 80.2381183 12.9991311, 80.2384308 12.9986506, 80.238148 12.9983462, 80.2377285 12.9978603, 80.2375665 12.9976485, 80.2373086 12.9973735, 80.2364566 12.9967562, 80.2361341 12.9965265, 80.2358518 12.9962873, 80.2357154 12.9961728, 80.2355025 12.9960098, 80.2349714 12.9955792, 80.2346133 12.9952587, 80.2338868 12.9950001, 80.2336652 12.9947992, 80.2336029 12.9946737, 80.2334573 12.9940954, 80.2334529 12.9938187, 80.2334535 12.9935683, 80.2332972 12.9935973, 80.2324414 12.9937691, 80.2315604 12.9921294, 80.2316124 12.9919622, 80.2318373 12.9912396, 80.23192 12.9909738, 80.2312292 12.990898, 80.2301902 12.9908171, 80.2301374 12.9908177, 80.2299694 12.9908197, 80.2296392 12.9907352, 80.2290229 12.9905675, 80.2276133 12.9902102, 80.2273303 12.9901615, 80.2261963 12.9901153, 80.2250158 12.9897009, 80.2233061 12.9887255, 80.2233006 12.9886631, 80.2232463 12.9879765, 80.2231321 12.9879031, 80.2230558 12.9878444, 80.2230567 12.9870692, 80.2229732 12.9861768, 80.2229796 12.9859715, 80.2233142 12.9854614, 80.2232491 12.9850804, 80.2226639 12.9840511, 80.2221196 12.9841279, 80.2218285 12.9842286)"
1090,4,30,0,N/A,N/A,N/A,N/A,N/A,5434.460000000001,distance: infinity | path: ,distance: infinity | path: ,"LINESTRING (80.2302027 13.0088616, 80.231111 13.0086807, 80.2327932 13.0083611, 80.2348091 13.0079679, 80.2350883 13.0079133, 80.2374709 13.0074523, 80.2387016 13.007221, 80.240213 13.0069328, 80.2403241 13.0069116, 80.2406323 13.0068528, 80.2413433 13.0067707, 80.2429431 13.0067136, 80.2441123 13.0067335, 80.2454226 13.0067495, 80.2472834 13.0067745, 80.2474589 13.0067073, 80.2474526 13.0064211, 80.2474516 13.0062878, 80.2474505 13.00581, 80.2474878 13.0042823, 80.2497973 12.9943661, 80.2504728 12.9916856, 80.2507287 12.99067, 80.2511922 12.9888237, 80.251317 12.9883249, 80.2513935 12.9878632, 80.2503318 12.9919255, 80.2502551 12.9919208, 80.2497036 12.9919212, 80.2480339 12.9919184, 80.247079 12.9919171, 80.2452992 12.9919272, 80.2450553 12.9919288, 80.244146 12.9919346, 80.2435938 12.9919382)"
1048,4,17,0,N/A,N/A,N/A,N/A,N/A,4760.8904999999995,distance: infinity | path: ,distance: infinity | path: ,"LINESTRING (80.231111 13.0086807, 80.2327932 13.0083611, 80.2348091 13.0079679, 80.2350883 13.0079133, 80.2374709 13.0074523, 80.2387016 13.007221, 80.240213 13.0069328, 80.2403241 13.0069116, 80.2402074 13.0067417, 80.2399135 13.0068, 80.2396681 13.0068425, 80.2392464 13.0069289, 80.2375811 13.0072701, 80.2368208 13.0074334, 80.2363772 13.0075114, 80.2357205 13.0076438, 80.2283395 13.0091482, 80.2282417 13.0091714, 80.2284043 13.0088312, 80.2274406 13.007109, 80.2269394 13.0063917, 80.2250597 13.006559, 80.2236702 13.006513, 80.2204815 13.0052516, 80.2186228 13.0015303, 80.2177932 13.0002991, 80.2170049 12.9989304)"
1147,4,42,0,N/A,N/A,N/A,N/A,N/A,9699.251000000002,distance: infinity | path: ,distance: infinity | path: ,"LINESTRING (80.231111 13.0086807, 80.2327932 13.0083611, 80.2348091 13.0079679, 80.2350883 13.0079133, 80.2374709 13.0074523, 80.2387016 13.007221, 80.240213 13.0069328, 80.2403241 13.0069116, 80.2406323 13.0068528, 80.2413433 13.0067707, 80.2429431 13.0067136, 80.2441123 13.0067335, 80.2454226 13.0067495, 80.2472834 13.0067745, 80.2474589 13.0067073, 80.2472788 13.0066472, 80.24615 13.0066442, 80.2453744 13.0066331, 80.2449289 13.0066267, 80.244523 13.0066106, 80.2436375 13.0066045, 80.2429189 13.0065948, 80.2425929 13.0065953, 80.2424639 13.0058457, 80.2423589 13.0057521, 80.2418528 13.0053015, 80.2418659 13.0043549, 80.2417213 13.0040416, 80.2415448 13.003953, 80.2409408 13.0037233, 80.2405253 13.0035653, 80.2394581 13.0032674, 80.2393207 13.0028997, 80.2391436 13.00245, 80.2382721 13.0003477, 80.2379388 12.9994873, 80.2381183 12.9991311, 80.2384308 12.9986506, 80.238148 12.9983462, 80.2377285 12.9978603, 80.2375665 12.9976485, 80.2373086 12.9973735, 80.2364566 12.9967562, 80.2361341 12.9965265, 80.2358518 12.9962873, 80.2357154 12.9961728, 80.2355025 12.9960098, 80.2349714 12.9955792, 80.2346133 12.9952587, 80.2338868 12.9950001, 80.2336652 12.9947992, 80.2336029 12.9946737, 80.2334573 12.9940954, 80.2334529 12.9938187, 80.2334535 12.9935683, 80.2332972 12.9935973, 80.2324414 12.9937691, 80.2315604 12.9921294, 80.2316124 12.9919622, 80.2318373 12.9912396, 80.23192 12.9909738, 80.2312292 12.990898, 80.2301902 12.9908171, 80.2301374 12.9908177, 80.2299694 12.9908197, 80.2296392 12.9907352, 80.2290229 12.9905675, 80.2276133 12.9902102, 80.2273303 12.9901615, 80.2261963 12.9901153, 80.2250158 12.9897009, 80.2233061 12.9887255, 80.2233006 12.9886631, 80.2232463 12.9879765, 80.2231321 12.9879031, 80.2230558 12.9878444, 80.2230567 12.9870692, 80.2229732 12.9861768, 80.2229796 12.9859715, 80.2233142 12.9854614, 80.2232491 12.9850804, 80.2226639 12.9840511)"
1125,4,37,0,N/A,N/A,N/A,N/A,N/A,6709.08892857143,distance: infinity | path: ,distance: infinity | path: ,"LINESTRING (80.2327932 13.0083611, 80.2348091 13.0079679, 80.2350883 13.0079133, 80.2374709 13.0074523, 80.2387016 13.007221, 80.240213 13.0069328, 80.2403241 13.0069116, 80.2406323 13.0068528, 80.2413433 13.0067707, 80.2429431 13.0067136, 80.2441123 13.0067335, 80.2454226 13.0067495, 80.2472834 13.0067745, 80.2474589 13.0067073, 80.2474526 13.0064211, 80.2474516 13.0062878, 80.2474505 13.00581, 80.2474878 13.0042823, 80.2497973 12.9943661, 80.2504728 12.9916856, 80.2507287 12.99067, 80.2511922 12.9888237, 80.251317 12.9883249, 80.2513935 12.9878632, 80.251625 12.9872076, 80.251756 12.9863676, 80.2515745 12.9862277, 80.2505239 12.9861924, 80.2498873 12.9861932, 80.2494916 12.9861937, 80.2486521 12.9861946, 80.2473271 12.9861962, 80.2467363 12.9861969, 80.2452672 12.9862171, 80.2451048 12.9862133, 80.2438456 12.9862113, 80.2433032 12.9862105, 80.2411166 12.9862239, 80.2410705 12.9859894, 80.2409888 12.9857743, 80.2406319 12.9854059, 80.2402229 12.9848101, 80.2389309 12.9842461, 80.2389299 12.9842503, 80.2389113 12.9843211, 80.2383677 12.9850884, 80.2383377 12.9857644, 80.2390003 12.9857855)"
1117,4,36,0,N/A,N/A,N/A,N/A,N/A,7712.168928571427,distance: infinity | path: ,distance: infinity | path: ,"LINESTRING (80.2348091 13.0079679, 80.2350883 13.0079133, 80.2374709 13.0074523, 80.2387016 13.007221, 80.240213 13.0069328, 80.2403241 13.0069116, 80.2406323 13.0068528, 80.2413433 13.0067707, 80.2429431 13.0067136, 80.2441123 13.0067335, 80.2454226 13.0067495, 80.2472834 13.0067745, 80.2474589 13.0067073, 80.2474526 13.0064211, 80.2474516 13.0062878, 80.2474505 13.00581, 80.2474878 13.0042823, 80.2497973 12.9943661, 80.2504728 12.9916856, 80.2507287 12.99067, 80.2511922 12.9888237, 80.251317 12.9883249, 80.2513935 12.9878632, 80.251625 12.9872076, 80.251756 12.9863676, 80.2515745 12.9862277, 80.2505239 12.9861924, 80.2498873 12.9861932, 80.2494916 12.9861937, 80.2486521 12.9861946, 80.2473271 12.9861962, 80.2467363 12.9861969, 80.2452672 12.9862171, 80.2451048 12.9862133, 80.2438456 12.9862113, 80.2433032 12.9862105, 80.2411166 12.9862239, 80.2407551 12.9865969, 80.2406712 12.9866076, 80.2393762 12.9866723, 80.2387016 12.9866807, 80.2382944 12.9866685, 80.2379734 12.9866588, 80.2372461 12.9866584, 80.2362718 12.9866208, 80.2361443 12.9866075, 80.2357989 12.9866029, 80.2353765 12.9865366, 80.2350509 12.9864193, 80.2347762 12.9862772, 80.2344008 12.9861767, 80.2333754 12.9861703, 80.2333071 12.9867414, 80.2333072 12.9871773, 80.233301 12.9873055, 80.2332816 12.987477, 80.2321552 12.9875628)"
1165,4,46,0,N/A,N/A,N/A,N/A,N/A,5904.966785714285,distance: infinity | path: ,distance: infinity | path: ,"LINESTRING (80.2348091 13.0079679, 80.2350883 13.0079133, 80.2374709 13.0074523, 80.2387016 13.007221, 80.240213 13.0069328, 80.2403241 13.0069116, 80.2406323 13.0068528, 80.2413433 13.0067707, 80.2429431 13.0067136, 80.2441123 13.0067335, 80.2454226 13.0067495, 80.2472834 13.0067745, 80.2474589 13.0067073, 80.2474526 13.0064211, 80.2474516 13.0062878, 80.2474505 13.00581, 80.2474878 13.0042823, 80.2497973 12.9943661, 80.2504728 12.9916856, 80.2507287 12.99067, 80.2511922 12.9888237, 80.251317 12.9883249, 80.2513935 12.9878632, 80.251625 12.9872076, 80.251756 12.9863676, 80.2515745 12.9862277, 80.2505239 12.9861924, 80.2498873 12.9861932, 80.2494916 12.9861937, 80.2486521 12.9861946, 80.2473271 12.9861962, 80.2467363 12.9861969, 80.2452672 12.9862171, 80.2451048 12.9862133, 80.2438456 12.9862113, 80.2433032 12.9862105, 80.2433382 12.9843707, 80.2430845 12.9843604, 80.2431182 12.9833363, 80.2431507 12.9820898, 80.242928 12.982087, 80.2426508 12.9821095)"
1547,5,26,0,N/A,N/A,N/A,N/A,N/A,10048.931000000004,481;139;140;1546;1745;1219;1929;1218;1242;1292;1293;1294;477;1220;153;1613;1204;1550;1599;543;544;545;546,824;234;4397;4398;4399;4400;2501;2502;2598;2599;2600;2601;2467;2468;3573;4500;4501;3416;3417;913;915;917,"LINESTRING (80.2350883 13.0079133, 80.2374709 13.0074523, 80.2387016 13.007221, 80.240213 13.0069328, 80.2403241 13.0069116, 80.2406323 13.0068528, 80.2413433 13.0067707, 80.2429431 13.0067136, 80.2441123 13.0067335, 80.2454226 13.0067495, 80.2472834 13.0067745, 80.2474589 13.0067073, 80.2472788 13.0066472, 80.24615 13.0066442, 80.2453744 13.0066331, 80.2449289 13.0066267, 80.244523 13.0066106, 80.2436375 13.0066045, 80.2429189 13.0065948, 80.2425929 13.0065953, 80.2424639 13.0058457, 80.2423589 13.0057521, 80.2418528 13.0053015, 80.2418659 13.0043549, 80.2417213 13.0040416, 80.2415448 13.003953, 80.2409408 13.0037233, 80.2405253 13.0035653, 80.2394581 13.0032674, 80.2393207 13.0028997, 80.2391436 13.00245, 80.2382721 13.0003477, 80.2379388 12.9994873, 80.2381183 12.9991311, 80.2384308 12.9986506, 80.238148 12.9983462, 80.2377285 12.9978603, 80.2375665 12.9976485, 80.2373086 12.9973735, 80.2364566 12.9967562, 80.2361341 12.9965265, 80.2358518 12.9962873, 80.2357154 12.9961728, 80.2355025 12.9960098, 80.2349714 12.9955792, 80.2346133 12.9952587, 80.2338868 12.9950001, 80.2336652 12.9947992, 80.2336029 12.9946737, 80.2334573 12.9940954, 80.2334529 12.9938187, 80.2334535 12.9935683, 80.2332972 12.9935973, 80.2324414 12.9937691, 80.2315604 12.9921294, 80.2316124 12.9919622, 80.2318373 12.9912396, 80.23192 12.9909738, 80.2312292 12.990898, 80.2301902 12.9908171, 80.2301374 12.9908177, 80.2299694 12.9908197, 80.2296392 12.9907352, 80.2290229 12.9905675, 80.2276133 12.9902102, 80.2273303 12.9901615, 80.2261963 12.9901153, 80.2250158 12.9897009, 80.2233061 12.9887255, 80.2233006 12.9886631, 80.2232463 12.9879765, 80.2231321 12.9879031, 80.2230558 12.9878444, 80.2223986 12.9886651, 80.2214745 12.9894189, 80.2213262 12.9895414, 80.2206185 12.9901969, 80.2200208 12.9909775, 80.2204406 12.9914255, 80.2219855 12.9911579, 80.2225891 12.9911009)"
1771,5,39,0,N/A,N/A,N/A,N/A,N/A,6232.19,distance: infinity | path: ,distance: infinity | path: ,"LINESTRING (80.2350883 13.0079133, 80.2374709 13.0074523, 80.2387016 13.007221, 80.240213 13.0069328, 80.2403241 13.0069116, 80.2406323 13.0068528, 80.2413433 13.0067707, 80.2429431 13.0067136, 80.2441123 13.0067335, 80.2454226 13.0067495, 80.2472834 13.0067745, 80.2474589 13.0067073, 80.2474526 13.0064211, 80.2474516 13.0062878, 80.2474505 13.00581, 80.2474878 13.0042823, 80.2497973 12.9943661, 80.2504728 12.9916856, 80.2507287 12.99067, 80.2511922 12.9888237, 80.251317 12.9883249, 80.2513935 12.9878632, 80.251625 12.9872076, 80.251756 12.9863676, 80.2515745 12.9862277, 80.2505239 12.9861924, 80.2498873 12.9861932, 80.2494916 12.9861937, 80.2486521 12.9861946, 80.2473271 12.9861962, 80.2467363 12.9861969, 80.2452672 12.9862171, 80.2451048 12.9862133, 80.2438456 12.9862113, 80.2433032 12.9862105, 80.2432971 12.9863017, 80.2446112 12.9863015, 80.2475035 12.9862977, 80.2475062 12.9865799, 80.2475236 12.9880149, 80.2475317 12.9886688)"
