name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2,activity_zone_id,production,attraction
Indian Institute of Technology Madras,0,24730814.0,,,university,,,"POLYGON ((80.2404107 13.0066617, 80.2408983 13.0065342, 80.2418763 13.0064788, 80.2426172 13.0064961, 80.24348380000001 13.0065508, 80.2435315 13.0065187, 80.24294329999999 13.0043495, 80.2428329 13.0036789, 80.2429392 13.0032414, 80.2430415 13.0021088, 80.2433608 13.0012108, 80.24342780000001 13.0009516, 80.2436005 13.0001406, 80.2434179 12.9988459, 80.2431773 12.9977188, 80.2431184 12.9974254, 80.2429747 12.9968488, 80.2420252 12.9967995, 80.24175889999999 12.9964959, 80.2415778 12.9957646, 80.2413753 12.9951284, 80.2413615 12.9949348, 80.2417116 12.9929881, 80.2415113 12.9923439, 80.24147499999999 12.9915567, 80.24161909999999 12.9902489, 80.24161789999999 12.9901389, 80.24158850000001 12.9898515, 80.2415146 12.9894125, 80.24138739999999 12.9889763, 80.2411453 12.9881015, 80.24110349999999 12.9874469, 80.2406855 12.9864699, 80.2405481 12.9856772, 80.2401962 12.9848742, 80.2393324 12.9843348, 80.2389209 12.9842886, 80.2374906 12.9839456, 80.23711520000001 12.9840004, 80.23643680000001 12.9843473, 80.2358617 12.9831346, 80.2356557 12.9832099, 80.2353811 12.9826663, 80.234291 12.982959, 80.23352559999999 12.9829993, 80.23311289999999 12.9830153, 80.232623 12.9831154, 80.232545 12.983072, 80.23166569999999 12.9834308, 80.2320508 12.9851215, 80.23223110000001 12.9868062, 80.2294977 12.9871979, 80.22759619999999 12.9871659, 80.22565640000001 12.9873499, 80.22316549999999 12.9875515, 80.2232037 12.9879396, 80.22329329999999 12.9891497, 80.22346779999999 12.9893822, 80.22376819999999 12.9895662, 80.2247552 12.9897585, 80.225262 12.9900392, 80.22555439999999 12.9906089, 80.2258738 12.9906327, 80.2259646 12.992523, 80.2290639 12.9931792, 80.2309231 12.9935845, 80.232804 12.9947276, 80.2337366 12.9952944, 80.2340296 12.9955798, 80.2344665 12.9959903, 80.2360111 12.9974416, 80.2375966 12.9990034, 80.2387842 13.0016821, 80.23926779999999 13.0028894, 80.23970780000001 13.0040368, 80.2400846 13.0049544, 80.2404107 13.0066617))",POINT (80.2358196 12.9924626),0.0,26523384.1,29,0.0,0.0
"College of Engineering, Guindy",1,24831558.0,,,college,,,"POLYGON ((80.2373922 13.0088894, 80.2373087 13.008244, 80.2372031 13.007547, 80.2329367 13.0083608, 80.2332275 13.0098765, 80.2373922 13.0088894))",POINT (80.235145 13.008676),74891.5,806124.7,5,80.61253957216,80.61253957216
IC&SR Building,2,27768531.0,,university,,,,"POLYGON ((80.23200490000001 12.9917267, 80.232063 12.991779, 80.2318995 12.9919609, 80.2321596 12.9921946, 80.2322838 12.9920564, 80.2321632 12.991948, 80.2322602 12.9918401, 80.2323348 12.9919072, 80.23241590000001 12.991817, 80.2323461 12.9917543, 80.23244149999999 12.9916481, 80.2322413 12.9914682, 80.2321293 12.9915929, 80.2320649 12.991535, 80.2319854 12.9916234, 80.23204749999999 12.9916793, 80.23200490000001 12.9917267))",POINT (80.2321706 12.9918107),2297.7,24731.7,28,28.9367172035136,2.4732236926080002
,3,27768533.0,,,,track,,"POLYGON ((80.23697420000001 12.9925599, 80.236807 12.9926018, 80.2366821 12.9925766, 80.236565 12.9924854, 80.23649090000001 12.9923443, 80.23631330000001 12.9915904, 80.23630919999999 12.9914826, 80.2363575 12.9913507, 80.23644950000001 12.9912683, 80.23662210000001 12.9912137, 80.2367788 12.9912383, 80.2369034 12.9913307, 80.23694860000001 12.9914212, 80.23714459999999 12.9922176, 80.2371393 12.9923711, 80.2370772 12.9924836, 80.23697420000001 12.9925599))",POINT (80.23672790000001 12.991906),10007.9,107724.5,29,10.772413889216,10.772413889216
Central Library,4,27768534.0,,yes,library,,,"POLYGON ((80.2339303 12.9912937, 80.234025 12.9911495, 80.2339097 12.9910754, 80.2338891 12.9908982, 80.2339509 12.9907994, 80.23401269999999 12.9907953, 80.234128 12.9908859, 80.2342268 12.9907541, 80.2340909 12.9906346, 80.2336502 12.9906305, 80.2337326 12.9911207, 80.23379439999999 12.9911948, 80.2339303 12.9912937))",POINT (80.2338838 12.9908765),2235.7,24065.1,28,24.06487448128,24.06487448128
KVIIT Secondary Block,5,27768546.0,,school,,,,"POLYGON ((80.23237020000001 12.9933555, 80.2323809 12.9932719, 80.2329522 12.9933242, 80.2335343 12.9933765, 80.2335289 12.9934601, 80.2329458 12.9934024, 80.2325994 12.9933768, 80.23237020000001 12.9933555))",POINT (80.2329507 12.993365),1139.6,12266.8,28,16.8051766398208,1.226655229184
IIT Kendriya Vdyalaya,6,27768551.0,,,school,,,"POLYGON ((80.23180720000001 12.9925595, 80.232066 12.9923454, 80.23267 12.991827, 80.23354519999999 12.9918508, 80.2336822 12.9918394, 80.2337967 12.9928125, 80.2338463 12.9930567, 80.2340478 12.9933933, 80.2324909 12.9937108, 80.2323169 12.9936528, 80.23180720000001 12.9925595))",POINT (80.23293409999999 12.9927602),35202.3,378913.9,28,37.891440307392,37.891440307392
Department of Managament Studies (DoMs),7,27768553.0,,university,,,,"POLYGON ((80.2347197 12.9917045, 80.2348617 12.9915192, 80.2344894 12.9912339, 80.2343474 12.9914193, 80.2347197 12.9917045))",POINT (80.2346045 12.9914692),1313.3,14136.4,28,16.5394049281344,1.413624352832
Central Workshop,8,27768757.0,,university,,,,"POLYGON ((80.23112810000001 12.9916567, 80.2311299 12.9915211, 80.23113480000001 12.9911515, 80.23096700000001 12.9911492, 80.23096200000001 12.9915225, 80.23082340000001 12.9915203, 80.23082839999999 12.9911445, 80.23067899999999 12.9911425, 80.23067399999999 12.9915181, 80.23054620000001 12.991516, 80.2305513 12.9911383, 80.2303867 12.9911361, 80.2303817 12.991516, 80.23025819999999 12.9915095, 80.2302633 12.9911272, 80.2301824 12.9911261, 80.2301057 12.9911251, 80.2301006 12.9915074, 80.2300996 12.9915824, 80.23009879999999 12.9916429, 80.2302474 12.9916459, 80.2302423 12.9920263, 80.23037220000001 12.992028, 80.2303773 12.9916481, 80.23048780000001 12.9916546, 80.2304828 12.9920236, 80.2306279 12.9920255, 80.2306329 12.9916524, 80.2307888 12.9916589, 80.23078390000001 12.9920258, 80.2309571 12.9920281, 80.23096200000001 12.9916567, 80.23112810000001 12.9916567))",POINT (80.23061060000001 12.9915495),6574.8,70770.9,28,82.80155297456639,7.077055809792
ELNET,9,28234106.0,,office,,,,"POLYGON ((80.2499777 12.9896897, 80.2504351 12.9896609, 80.25043530000001 12.9896163, 80.25072110000001 12.9895983, 80.2506925 12.9891444, 80.25039649999999 12.9891631, 80.2504005 12.9891127, 80.2499432 12.9891415, 80.2499777 12.9896897))",POINT (80.25031730000001 12.9893942),4595.7,49467.9,40,56.887858479071994,4.946770302528
