name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
Sardar Patel Road,0,22688331,0,1,1,47.73,2,80,1800,primary,3,"LINESTRING (80.2286092 13.0091943, 80.2290373 13.0090938)",walk;bike;auto,0,0,,
Sardar Patel Road,1,22688331,1,2,1,128.96,2,80,1800,primary,3,"LINESTRING (80.2290373 13.0090938, 80.2302027 13.0088616)",walk;bike;auto,0,0,,
Sardar Patel Road,2,22688331,2,3,1,100.5,2,80,1800,primary,3,"LINESTRING (80.2302027 13.0088616, 80.2311110 13.0086807)",walk;bike;auto,0,0,,
Sardar Patel Road,3,22688331,3,4,1,185.81,2,80,1800,primary,3,"LINESTRING (80.2311110 13.0086807, 80.2327932 13.0083611)",walk;bike;auto,0,0,,
Sardar Patel Road,4,22688331,4,5,1,222.92,2,80,1800,primary,3,"LINESTRING (80.2327932 13.0083611, 80.2334763 13.0082459, 80.2348091 13.0079679)",walk;bike;auto,0,0,,
Sardar Patel Road,5,22688331,5,6,1,30.87,2,80,1800,primary,3,"LINESTRING (80.2348091 13.0079679, 80.2350883 13.0079133)",walk;bike;auto,0,0,,
Sardar Patel Road,6,22688331,6,7,1,263.35,2,80,1800,primary,3,"LINESTRING (80.2350883 13.0079133, 80.2351425 13.0079027, 80.2374709 13.0074523)",walk;bike;auto,0,0,,
Velachery Bypass Road,7,22688386,8,9,1,227.54,2,50,1800,primary,3,"LINESTRING (80.2195955 12.9914634, 80.2192702 12.9905377, 80.2191108 12.9900326, 80.2189376 12.9895098)",walk;bike;auto,0,0,,
Velachery Bypass Road,8,22688386,9,10,1,57.88,2,50,1800,primary,3,"LINESTRING (80.2189376 12.9895098, 80.2187500 12.9890198)",walk;bike;auto,0,0,,
Velachery Bypass Road,9,22688386,10,11,1,51.4,2,50,1800,primary,3,"LINESTRING (80.2187500 12.9890198, 80.2186028 12.9885780)",walk;bike;auto,0,0,,
Velachery Bypass Road,10,22688386,11,12,1,31.96,2,50,1800,primary,3,"LINESTRING (80.2186028 12.9885780, 80.2185376 12.9882962)",walk;bike;auto,0,0,,
Velachery Bypass Road,11,22688386,12,1925,1,98.79,2,50,1800,primary,3,"LINESTRING (80.2185376 12.9882962, 80.2183539 12.9874212)",walk;bike;auto,0,0,,
Gandhi Mandapam Road,12,22922908,14,15,1,308.23,2,60,1600,secondary,4,"LINESTRING (80.2405383 13.0096865, 80.2405394 13.0096378, 80.2404892 13.0080398, 80.2403241 13.0069116)",walk;bike;auto,0,0,,
Taramani Road,14,22926955,1926,18,1,20.21,2,35,1200,tertiary,5,"LINESTRING (80.2517504 12.9862881, 80.2515745 12.9862277)",walk;bike;auto,0,0,,
Taramani Road,15,22926955,18,19,1,114.21,2,35,1200,tertiary,5,"LINESTRING (80.2515745 12.9862277, 80.2513032 12.9861915, 80.2505239 12.9861924)",walk;bike;auto,0,0,,
Taramani Road,16,22926955,19,20,1,69.04,2,35,1200,tertiary,5,"LINESTRING (80.2505239 12.9861924, 80.2498873 12.9861932)",walk;bike;auto,0,0,,
Taramani Road,17,22926955,20,21,1,42.91,2,35,1200,tertiary,5,"LINESTRING (80.2498873 12.9861932, 80.2494916 12.9861937)",walk;bike;auto,0,0,,
Taramani Road,18,22926955,21,22,1,91.04,2,35,1200,tertiary,5,"LINESTRING (80.2494916 12.9861937, 80.2486521 12.9861946)",walk;bike;auto,0,0,,
Taramani Road,19,22926955,22,23,1,143.69,2,35,1200,tertiary,5,"LINESTRING (80.2486521 12.9861946, 80.2473271 12.9861962)",walk;bike;auto,0,0,,
Taramani Road,20,22926955,23,24,1,64.07,2,35,1200,tertiary,5,"LINESTRING (80.2473271 12.9861962, 80.2468177 12.9861968, 80.2467363 12.9861969)",walk;bike;auto,0,0,,
Taramani Road,21,22926955,24,25,1,159.34,2,35,1200,tertiary,5,"LINESTRING (80.2467363 12.9861969, 80.2452672 12.9862171)",walk;bike;auto,0,0,,
Taramani Road,22,22926955,25,26,1,17.62,2,35,1200,tertiary,5,"LINESTRING (80.2452672 12.9862171, 80.2451048 12.9862133)",walk;bike;auto,0,0,,
Taramani Road,23,22926955,26,27,1,136.56,2,35,1200,tertiary,5,"LINESTRING (80.2451048 12.9862133, 80.2438456 12.9862113)",walk;bike;auto,0,0,,
Taramani Road,24,22926955,27,28,1,58.82,2,35,1200,tertiary,5,"LINESTRING (80.2438456 12.9862113, 80.2433032 12.9862105)",walk;bike;auto,0,0,,
,25,22926966,29,30,1,9.71,2,40,1200,tertiary,5,"LINESTRING (80.2433938 12.9812790, 80.2433928 12.9813668)",walk;bike;auto,1,0,,
,26,22926966,30,29,1,9.71,2,40,1200,tertiary,5,"LINESTRING (80.2434296 12.9813672, 80.2434306 12.9812794)",walk;bike;auto,1,0,,
,27,22926966,30,31,1,332.26,2,40,1200,tertiary,5,"LINESTRING (80.2433928 12.9813666, 80.2433198 12.9843703)",walk;bike;auto,1,0,,
,28,22926966,31,30,1,332.26,2,40,1200,tertiary,5,"LINESTRING (80.2433566 12.9843711, 80.2434296 12.9813674)",walk;bike;auto,1,0,,
,29,22926966,31,28,1,203.49,2,40,1200,tertiary,5,"LINESTRING (80.2433198 12.9843704, 80.2432848 12.9862102)",walk;bike;auto,1,0,,
,30,22926966,28,31,1,203.49,2,40,1200,tertiary,5,"LINESTRING (80.2433216 12.9862108, 80.2433566 12.9843710)",walk;bike;auto,1,0,,
RajaLaxmi Nagar 3rd main Road,31,23079581,32,33,1,56.16,1,40,1200,tertiary,5,"LINESTRING (80.2185770 12.9843236, 80.2190912 12.9843839)",walk;bike;auto,1,0,,
RajaLaxmi Nagar 3rd main Road,32,23079581,33,32,1,56.16,1,40,1200,tertiary,5,"LINESTRING (80.2190956 12.9843479, 80.2185814 12.9842876)",walk;bike;auto,1,0,,
RajaLaxmi Nagar 3rd main Road,33,23079581,33,34,1,92.4,1,40,1200,tertiary,5,"LINESTRING (80.2190913 12.9843839, 80.2191918 12.9843950, 80.2199402 12.9844553)",walk;bike;auto,1,0,,
RajaLaxmi Nagar 3rd main Road,34,23079581,34,33,1,92.28,1,40,1200,tertiary,5,"LINESTRING (80.2199432 12.9844193, 80.2191954 12.9843590, 80.2190955 12.9843479)",walk;bike;auto,1,0,,
RajaLaxmi Nagar 3rd main Road,35,23079581,34,35,1,50.06,1,40,1200,tertiary,5,"LINESTRING (80.2199425 12.9844554, 80.2204037 12.9844368)",walk;bike;auto,1,0,,
RajaLaxmi Nagar 3rd main Road,36,23079581,35,34,1,50.06,1,40,1200,tertiary,5,"LINESTRING (80.2204021 12.9844006, 80.2199409 12.9844192)",walk;bike;auto,1,0,,
RajaLaxmi Nagar 3rd main Road,37,23079581,35,36,1,22.4,1,40,1200,tertiary,5,"LINESTRING (80.2204064 12.9844365, 80.2206091 12.9843977)",walk;bike;auto,1,0,,
RajaLaxmi Nagar 3rd main Road,38,23079581,36,35,1,22.4,1,40,1200,tertiary,5,"LINESTRING (80.2206021 12.9843621, 80.2203994 12.9844009)",walk;bike;auto,1,0,,
Kasturibai Nagar 3rd Cross Street,41,23110059,1927,39,1,94.2,2,40,1200,tertiary,5,"LINESTRING (80.2517081 13.0066588, 80.2517002 13.0061231, 80.2516956 13.0058071)",walk;bike;auto,1,0,,
Kasturibai Nagar 3rd Cross Street,42,23110059,39,1927,1,94.2,2,40,1200,tertiary,5,"LINESTRING (80.2516588 13.0058077, 80.2516634 13.0061237, 80.2516713 13.0066594)",walk;bike;auto,1,0,,
Kasturibai Nagar 3rd Cross Street,43,23110059,39,40,1,86.44,2,40,1200,tertiary,5,"LINESTRING (80.2516956 13.0058072, 80.2516847 13.0050256)",walk;bike;auto,1,0,,
Kasturibai Nagar 3rd Cross Street,44,23110059,40,39,1,86.44,2,40,1200,tertiary,5,"LINESTRING (80.2516479 13.0050260, 80.2516588 13.0058076)",walk;bike;auto,1,0,,
Kasturibai Nagar 3rd Cross Street,45,23110059,40,41,1,85.31,2,40,1200,tertiary,5,"LINESTRING (80.2516847 13.0050259, 80.2516902 13.0042545)",walk;bike;auto,1,0,,
Kasturibai Nagar 3rd Cross Street,46,23110059,41,40,1,85.31,2,40,1200,tertiary,5,"LINESTRING (80.2516534 13.0042543, 80.2516479 13.0050257)",walk;bike;auto,1,0,,
Kasturibai Nagar 3rd Cross Street,47,23110059,41,42,1,66.2,2,40,1200,tertiary,5,"LINESTRING (80.2516901 13.0042566, 80.2517634 13.0036623)",walk;bike;auto,1,0,,
Kasturibai Nagar 3rd Cross Street,48,23110059,42,41,1,66.2,2,40,1200,tertiary,5,"LINESTRING (80.2517268 13.0036579, 80.2516535 13.0042522)",walk;bike;auto,1,0,,
Kasturibai Nagar 3rd Cross Street,49,23110059,42,43,1,57.5,2,40,1200,tertiary,5,"LINESTRING (80.2517631 13.0036642, 80.2518842 13.0031580)",walk;bike;auto,1,0,,
Kasturibai Nagar 3rd Cross Street,50,23110059,43,42,1,57.5,2,40,1200,tertiary,5,"LINESTRING (80.2518482 13.0031498, 80.2517271 13.0036560)",walk;bike;auto,1,0,,
Kasturibai Nagar 3rd Cross Street,51,23110059,43,44,1,61.03,2,40,1200,tertiary,5,"LINESTRING (80.2518844 13.0031566, 80.2519684 13.0026109)",walk;bike;auto,1,0,,
Kasturibai Nagar 3rd Cross Street,52,23110059,44,43,1,61.03,2,40,1200,tertiary,5,"LINESTRING (80.2519320 13.0026055, 80.2518480 13.0031512)",walk;bike;auto,1,0,,
Kasturibai Nagar 3rd Cross Street,53,23110059,44,45,1,74.5,2,40,1200,tertiary,5,"LINESTRING (80.2519686 13.0026098, 80.2520284 13.0019387)",walk;bike;auto,1,0,,
Kasturibai Nagar 3rd Cross Street,54,23110059,45,44,1,74.5,2,40,1200,tertiary,5,"LINESTRING (80.2519916 13.0019355, 80.2519318 13.0026066)",walk;bike;auto,1,0,,
Kasturibai Nagar 3rd Cross Street,55,23110059,45,46,1,68.01,2,40,1200,tertiary,5,"LINESTRING (80.2520284 13.0019374, 80.2520390 13.0013225)",walk;bike;auto,1,0,,
Kasturibai Nagar 3rd Cross Street,56,23110059,46,45,1,68.01,2,40,1200,tertiary,5,"LINESTRING (80.2520022 13.0013219, 80.2519916 13.0019368)",walk;bike;auto,1,0,,
Kasturibai Nagar 3rd Cross Street,57,23110059,46,47,1,54.3,2,40,1200,tertiary,5,"LINESTRING (80.2520390 13.0013227, 80.2520537 13.0008319)",walk;bike;auto,1,0,,
Kasturibai Nagar 3rd Cross Street,58,23110059,47,46,1,54.3,2,40,1200,tertiary,5,"LINESTRING (80.2520169 13.0008309, 80.2520022 13.0013217)",walk;bike;auto,1,0,,
