name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,30268464,,3,,,primary,0,80.2286092,13.0091943,,,
,1,2168628883,,3,,,primary,0,80.2290373,13.0090938,,,
,2,6497765183,,4,,,primary,0,80.2302027,13.0088616,,,
,3,2407564050,,4,,,primary,0,80.231111,13.0086807,,,
,4,1958425033,,4,,,primary,0,80.2327932,13.0083611,,,
,5,335996842,,4,,,primary,0,80.2348091,13.0079679,,,
,6,1645179383,,5,,,primary,0,80.2350883,13.0079133,,,
,7,268790432,,5,,,primary,0,80.2374709,13.0074523,,,
,8,249112798,,25,,,primary,0,80.2195955,12.9914634,,,
,9,325206177,,33,,,residential,0,80.2189376,12.9895098,,,
,10,300313019,,33,,,primary,0,80.21875,12.9890198,,,
,11,325206256,,33,,,primary,0,80.2186028,12.988578,,,
,12,277911477,,33,,,primary,0,80.2185376,12.9882962,,,
,14,6305081500,,6,,,service,0,80.2405383,13.0096865,,,
,15,2212827519,,6,,,secondary,0,80.2403241,13.0069116,,,
,18,1183430596,,40,,,tertiary,0,80.2515745,12.9862277,,,
,19,9179599606,,40,,,tertiary,0,80.2505239,12.9861924,,,
,20,6450947189,,39,,,tertiary,0,80.2498873,12.9861932,,,
,21,6755744711,,39,,,tertiary,0,80.2494916,12.9861937,,,
,22,6755744714,,39,,,tertiary,0,80.2486521,12.9861946,,,
,23,6450912576,,39,,,tertiary,0,80.2473271,12.9861962,,,
,24,1457521794,,39,,,tertiary,0,80.2467363,12.9861969,,,
,25,1676198346,,39,,,tertiary,0,80.2452672,12.9862171,,,
,26,1457521793,,39,,,tertiary,0,80.2451048,12.9862133,,,
,27,6970653042,,38,,,tertiary,0,80.2438456,12.9862113,,,
,28,1183430847,,38,,,tertiary,0,80.2433032,12.9862105,,,
,29,246866969,,46,,,tertiary,0,80.2434122,12.9812792,,,
,30,338470506,,46,,,tertiary,0,80.2434112,12.981367,,,
,31,338470486,,46,,,tertiary,0,80.2433382,12.9843707,,,
,32,4304449135,,41,,,tertiary,0,80.2185792,12.9843056,,,
,33,325207278,,41,,,tertiary,0,80.2190934,12.9843659,,,
,34,325207217,,41,,,tertiary,0,80.2199417,12.9844373,,,
,35,325207251,,42,,,tertiary,0,80.2204029,12.9844187,,,
,36,4300667149,,42,,,tertiary,0,80.2206056,12.9843799,,,
,39,257430052,,8,,,tertiary,0,80.2516772,13.0058074,,,
,40,257430053,,8,,,tertiary,0,80.2516663,13.0050258,,,
,41,257430060,,16,,,tertiary,0,80.2516718,13.0042544,,,
,42,312024792,,16,,,tertiary,0,80.2517451,13.0036601,,,
,43,312024966,,16,,,tertiary,0,80.2518662,13.0031539,,,
,44,257430061,,16,,,tertiary,0,80.2519502,13.0026082,,,
,45,257430062,,16,,,tertiary,0,80.25201,13.0019371,,,
,46,257430063,,16,,,tertiary,0,80.2520206,13.0013222,,,
,47,312025053,,16,,,tertiary,0,80.2520353,13.0008314,,,
,48,313774859,,16,,,tertiary,0,80.2520252,13.0004089,,,
,49,312025031,,16,,,tertiary,0,80.2520246,13.000301,,,
,50,313774864,,16,,,tertiary,0,80.2520234,13.0000771,,,
,51,257432748,,24,,,tertiary,0,80.2520203,12.9995361,,,
,52,249497606,,8,,,residential,0,80.2514706,13.006868,,,
,53,9179599579,,8,,,residential,0,80.2514917,13.0073332,,,
,54,249497607,,8,,,residential,0,80.2515102,13.0077426,,,
,55,9179599577,,8,,,residential,0,80.2515429,13.0082532,,,
,56,249497608,,8,,,residential,0,80.2515683,13.0086492,,,
,57,9179599583,,8,,,residential,0,80.2515982,13.0091838,,,
,58,249493617,,8,,,residential,0,80.2516219,13.0096084,,,
,59,249497604,,7,,,tertiary,0,80.2486514,13.0085486,,,
,60,249497605,,8,,,residential,0,80.2502396,13.0084631,,,
,61,249497602,,7,,,tertiary,0,80.248722,13.0091332,,,
,62,249497603,,8,,,residential,0,80.2502629,13.0090432,,,
,63,249497599,,8,,,residential,0,80.2502138,13.0078228,,,
,64,9179599575,,8,,,residential,0,80.2502343,13.0083317,,,
,65,249497598,,8,,,residential,0,80.2502472,13.008713,,,
,66,249497600,,8,,,residential,0,80.2502883,13.0096732,,,
,67,249497584,,7,,,tertiary,0,80.2485708,13.0078984,,,
,68,249497585,,8,,,residential,0,80.2544463,13.007617,,,
,69,249493619,,7,,,service,0,80.248907,13.0068017,,,
,70,249493618,,7,,,service,0,80.2489155,13.0069769,,,
,71,243051706,,8,,,residential,0,80.2543639,13.0066185,,,
,72,249493611,,8,,,residential,0,80.2544111,13.0067349,,,
,73,9179599582,,8,,,residential,0,80.25443,13.0072077,,,
,74,9179599578,,8,,,residential,0,80.254477,13.0081748,,,
,75,249493601,,8,,,residential,0,80.2544963,13.0085253,,,
,76,249493602,,8,,,residential,0,80.2545417,13.0094942,,,
,77,249493598,,7,,,residential,0,80.2488098,13.0097576,,,
,78,249497628,,8,,,residential,0,80.2526432,13.0095649,,,
,79,249497629,,8,,,residential,0,80.2536394,13.0095304,,,
,80,249497630,,8,,,residential,2,80.2535753,13.0099496,,,
,81,249497622,,8,,,residential,2,80.2525742,13.00992,,,
,82,257430080,,24,,,tertiary,2,80.2548168,12.9968237,,,
,83,257430081,,24,,,tertiary,0,80.254424,12.9966065,,,
,84,319489479,,24,,,tertiary,0,80.2537914,12.9959597,,,
,85,257430066,,24,,,tertiary,0,80.2523992,12.9950055,,,
,86,9179599558,,32,,,tertiary,0,80.252037,12.9949151,,,
,87,9179599563,,32,,,tertiary,0,80.2512697,12.9947235,,,
,88,4322752636,,32,,,tertiary,0,80.2509173,12.9946355,,,
,89,4413815190,,32,,,tertiary,0,80.2506783,12.9945742,,,
,90,1183401893,,32,,,tertiary,0,80.2504498,12.9945188,,,
,91,312025128,,16,,,unclassified,0,80.254619,13.0021591,,,
,92,257432730,,16,,,residential,0,80.2546197,13.0026092,,,
,93,312024958,,16,,,residential,0,80.2546272,13.00315,,,
,94,312024765,,16,,,residential,0,80.2546365,13.0037278,,,
,95,9179599567,,16,,,residential,0,80.2546257,13.0041452,,,
,96,312024810,,16,,,residential,0,80.2546221,13.0042819,,,
,97,257432729,,16,,,residential,0,80.2546285,13.0046846,,,
,98,312024921,,8,,,residential,0,80.2546508,13.0051274,,,
,99,312024930,,8,,,residential,0,80.2546699,13.0056012,,,
,100,9179599573,,8,,,residential,0,80.2546697,13.0060576,,,
,101,249497656,,8,,,residential,0,80.2546694,13.0065266,,,
,102,6446097872,,8,,,unclassified,0,80.2529249,13.0066058,,,
,103,257432741,,8,,,unclassified,0,80.2529333,13.0064591,,,
,104,9179599574,,8,,,unclassified,0,80.2529792,13.0060576,,,
,105,312024925,,8,,,unclassified,0,80.2530309,13.0056054,,,
,106,312024938,,8,,,unclassified,0,80.2530687,13.0052993,,,
,107,312024915,,8,,,unclassified,0,80.2531207,13.0050804,,,
,108,9179599572,,16,,,unclassified,0,80.2531512,13.0047298,,,
,109,257432742,,16,,,unclassified,0,80.2531896,13.0042884,,,
,110,312024804,,16,,,unclassified,0,80.2532889,13.0036709,,,
,111,312024971,,16,,,unclassified,0,80.2533593,13.0031289,,,
,112,257432740,,16,,,unclassified,0,80.2533814,13.0026083,,,
,113,312025126,,16,,,unclassified,0,80.2534851,13.0021938,,,
,114,257432743,,16,,,unclassified,0,80.25354,13.0018699,,,
