name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_FFTT1,VDF_cap1
Osborn Street,0,8614574,116,1705,1,5.552132298634225,1,40,,residential,6,"LINESTRING (-71.0953482 42.3624257, -71.0953547 42.362376)",walk;bike;auto,0,0,,
Osborn Street,1,8614574,1705,177,1,23.30267164276746,1,40,,residential,6,"LINESTRING (-71.0953547 42.362376, -71.09538190000001 42.3621674)",walk;bike;auto,0,0,,
Osborn Street,2,8614574,177,1220,1,24.173874674846093,1,40,,residential,6,"LINESTRING (-71.09538190000001 42.3621674, -71.0954101 42.361951)",walk;bike;auto,0,0,,
Osborn Street,3,8614574,1220,1346,1,93.98744880528282,1,40,,residential,6,"LINESTRING (-71.0954101 42.361951, -71.0954168 42.3618993, -71.0955273 42.3611102)",walk;bike;auto,0,0,,
Osborn Street,4,8614574,1346,88,1,8.138257165279574,1,40,,residential,6,"LINESTRING (-71.0955273 42.3611102, -71.09553750000001 42.3610374)",walk;bike;auto,0,0,,
Columbia Street,5,8614585,45,822,1,8.520540245640525,1,40,,tertiary,5,"LINESTRING (-71.099782 42.3634624, -71.0997957 42.3634707, -71.0998068 42.3634803, -71.09981500000001 42.363491, -71.099822 42.3635026, -71.0998262 42.363515, -71.0998287 42.363528)",walk;bike;auto,1,0,,
Columbia Street,6,8614585,822,45,1,8.520540245640523,1,40,,tertiary,5,"LINESTRING (-71.0998287 42.363528, -71.0998262 42.363515, -71.099822 42.3635026, -71.09981500000001 42.363491, -71.0998068 42.3634803, -71.0997957 42.3634707, -71.099782 42.3634624)",walk;bike;auto,1,0,,
Columbia Street,7,8614585,822,1794,1,68.69345694601223,1,40,,tertiary,5,"LINESTRING (-71.0998287 42.363528, -71.09982890000001 42.3635425, -71.0998263 42.3635572, -71.0998177 42.3635743, -71.0995188 42.3641)",walk;bike;auto,1,0,,
Columbia Street,8,8614585,1794,822,1,68.69345694601223,1,40,,tertiary,5,"LINESTRING (-71.0995188 42.3641, -71.0998177 42.3635743, -71.0998263 42.3635572, -71.09982890000001 42.3635425, -71.0998287 42.363528)",walk;bike;auto,1,0,,
Cherry Street,9,8614788,96,1688,1,10.93552807537982,1,40,,residential,6,"LINESTRING (-71.09751110000001 42.3632629, -71.0975017 42.363361)",walk;bike;auto,0,0,,
Cherry Street,10,8614788,1688,17,1,23.76593363502444,1,40,,residential,6,"LINESTRING (-71.0975017 42.363361, -71.0974813 42.3635742)",walk;bike;auto,0,0,,
Cherry Street,11,8614788,17,1661,1,35.2511154792508,1,40,,residential,6,"LINESTRING (-71.0974813 42.3635742, -71.09746199999999 42.3638909)",walk;bike;auto,0,0,,
Cherry Street,12,8614788,1661,100,1,3.7956703960577616,1,40,,residential,6,"LINESTRING (-71.09746199999999 42.3638909, -71.0974599 42.363925)",walk;bike;auto,0,0,,
Cherry Street,13,8614788,100,1654,1,5.142054229483504,1,40,,residential,6,"LINESTRING (-71.0974599 42.363925, -71.097448 42.3639704)",walk;bike;auto,0,0,,
Cherry Street,14,8614788,1654,1795,1,14.677545533618119,1,40,,residential,6,"LINESTRING (-71.097448 42.3639704, -71.09741409999999 42.3641)",walk;bike;auto,0,0,,
Amesbury Street,15,8614808,1796,249,1,5.39406493034127,1,30,,unclassified,11,"LINESTRING (-71.10480080000001 42.3543, -71.1048195 42.3543465)",auto,1,0,,
Amesbury Street,16,8614808,249,1796,1,5.39406493034127,1,30,,unclassified,11,"LINESTRING (-71.1048195 42.3543465, -71.10480080000001 42.3543)",auto,1,0,,
Amesbury Street,17,8614808,249,1797,1,41.80211621459589,1,30,,unclassified,11,"LINESTRING (-71.1048195 42.3543465, -71.10486880000001 42.3544624, -71.10491620000001 42.3545558, -71.1049618 42.3546378, -71.105 42.3546975)",auto,1,0,,
