mvmt_id,timing_phase_id,timing_plan_id,green_time_window,signal_phase_num,min_green,max_green,start_green_time,end_green_time,extension,clearance,walk_time,cycle_length,ped_clearance,mvmt_txt_id,ring,barrier,stage_no,position,capacity,v_over_c,osm_web_address,geometry
8,1,0,000000_000130,2,90,90,0,90,,,0,90,,SBT,1,1,1,,3884.4444444444443,0.15961098398169338,http://openstreetmap.org/node/325207488,"LINESTRING (80.2183688 12.9874921, 80.2183372 12.9873507)"
119,1,0,000000_000130,6,90,90,0,90,,,0,90,,NBT,2,1,1,,3884.4444444444443,0.15961098398169338,http://openstreetmap.org/node/338406694,"LINESTRING (80.2182401 12.9873781, 80.2182716 12.9875195)"
197,1,0,000000_000130,2,90,90,0,90,,,0,90,,SBT,1,1,1,,3884.4444444444443,0.15961098398169338,http://openstreetmap.org/node/338406779,"LINESTRING (80.2195259 12.9916855, 80.2195823 12.9916077)"
200,1,0,000000_000130,2,90,90,0,90,,,0,90,,SBT,1,1,1,,1942.2222222222222,0.15961098398169338,http://openstreetmap.org/node/7111954112,"LINESTRING (80.2196146 12.9915675, 80.2197052 12.9914533)"
201,1,0,000000_000130,2,90,90,0,90,,,0,90,,SBR,1,1,1,,1942.2222222222222,0.05663615560640732,http://openstreetmap.org/node/7111954112,"LINESTRING (80.2196146 12.9915675, 80.2196023 12.9914684)"
202,1,0,000000_000130,6,90,90,0,90,,,0,90,,NBT,2,1,1,,3884.4444444444443,0.15961098398169338,http://openstreetmap.org/node/2142536482,"LINESTRING (80.2196907 12.9913440, 80.2196000 12.9914580)"
208,1,0,000000_000130,6,90,90,0,90,,,0,90,,NBT,2,1,1,,3884.4444444444443,0.15961098398169338,http://openstreetmap.org/node/338406792,"LINESTRING (80.2195282 12.9915454, 80.2194477 12.9916666)"
220,1,0,000000_000111,6,71,71,0,71,,,19,90,,WBT,2,1,1,,3095.7651991614252,0.2002735866944768,http://openstreetmap.org/node/268789820,"LINESTRING (80.2402798 13.0067277, 80.2401351 13.0067560)"
219,1,0,000000_000111,6,71,71,0,71,,,19,90,,WBR,2,1,1,,1547.8825995807126,0.07106482108513694,http://openstreetmap.org/node/268789820,"LINESTRING (80.2402798 13.0067277, 80.2402095 13.0068140)"
218,2,0,000111_000130,4,19,19,71,90,,,0,90,,SBR,1,2,2,,436.56184486373155,0.25196888205916257,http://openstreetmap.org/node/268789820,"LINESTRING (80.2402486 13.0068017, 80.2401351 13.0067560)"
257,2,0,000059_000114,3,15,15,59,74,,,16,90,,EBL,1,2,2,,356.3954505686789,0.2946165553809898,http://openstreetmap.org/node/319489540_1183430691_246866721,"LINESTRING (80.2516486 12.9863420, 80.2517004 12.9864315)"
256,3,0,000114_000129,4,15,15,74,89,,,1,90,,EBR,1,2,3,,371.35608048993873,0.2962116571643971,http://openstreetmap.org/node/319489540_1183430691_246866721,"LINESTRING (80.2516486 12.9863420, 80.2516808 12.9862642)"
