movement_code,signal_node_code,signal_link,stageNo_in_Order,osm_node_id,node_id,groupNo,directionNo,ib_link_id,ob_link_id,ib_osm_node_id,ob_osm_node_id,lanes,mvmt_txt_id,volume,geometry
EBR|no_Treatment|NEMA_Phase_2|Ring_1|Barrier_1,T|↔|L2|T2|R3|,,1,1454664555_4113412285_338470503_1454664553,153,2,1,59,103,338466259,1454664548,1,EBR,110.0,"LINESTRING (80.2430801 12.9813695, 80.2432704 12.9812079)"
WBL|perm|NEMA_Phase_5|Ring_2|Barrier_1,T|↔|L2|T2|R3|,,1,1454664555_4113412285_338470503_1454664553,153,1,2,62,103,246866969,1454664548,1,WBL,105.0,"LINESTRING (80.2433411 12.9812797, 80.2432704 12.9812079)"
WBT|no_Treatment|NEMA_Phase_6|Ring_2|Barrier_1,T|↔|L2|T2|R3|,,1,1454664555_4113412285_338470503_1454664553,153,2,2,62,104,246866969,251296646,1,WBT,310.0,"LINESTRING (80.2433411 12.9812797, 80.2430877 12.9812815)"
WBR|no_Treatment|NEMA_Phase_6|Ring_2|Barrier_1,T|↔|L2|T2|R3|,,1,1454664555_4113412285_338470503_1454664553,153,2,2,62,105,246866969,338470506,1,WBR,110.0,"LINESTRING (80.2433411 12.9812797, 80.2433390 12.9813686)"
NBL|prot|NEMA_Phase_7|Ring_2|Barrier_2,T|↔|L2|T2|R3|,,2,1454664555_4113412285_338470503_1454664553,153,1,3,20,104,1454664551,251296646,1,NBL,105.0,"LINESTRING (80.2431658 12.9812049, 80.2430877 12.9812815)"
NBR|no_Treatment|NEMA_Phase_8|Ring_2|Barrier_2,T|↔|L2|T2|R3|,,3,1454664555_4113412285_338470503_1454664553,153,2,3,20,103,1454664551,1454664548,1,NBR,110.0,"LINESTRING (80.2431658 12.9812049, 80.2432704 12.9812079)"
EBT|no_Treatment|NEMA_Phase_2|Ring_1|Barrier_1,T|↔|L1|T2|R2|,,1,310102870_312031374,154,2,1,205,139,243051152,1183401857,1,EBT,310.0,"LINESTRING (80.2473906 13.0067701, 80.2475380 13.0067705)"
EBR|no_Treatment|NEMA_Phase_2|Ring_1|Barrier_1,T|↔|L1|T2|R2|,,1,310102870_312031374,154,2,1,205,92,243051152,6816790397,1,EBR,110.0,"LINESTRING (80.2473906 13.0067701, 80.2473796 13.0066475)"
WBL|perm|NEMA_Phase_5|Ring_2|Barrier_1,T|↔|L1|T2|R2|,,1,310102870_312031374,154,1,2,91,46,6816790401,6816790398,1,WBL,105.0,"LINESTRING (80.2475270 13.0066519, 80.2474531 13.0065754)"
WBT|no_Treatment|NEMA_Phase_6|Ring_2|Barrier_1,T|↔|L1|T2|R2|,,1,310102870_312031374,154,2,2,91,92,6816790401,6816790397,1,WBT,310.0,"LINESTRING (80.2475270 13.0066519, 80.2473796 13.0066475)"
WBR|no_Treatment|NEMA_Phase_6|Ring_2|Barrier_1,T|↔|L1|T2|R2|,,1,310102870_312031374,154,2,2,91,139,6816790401,1183401857,1,WBR,110.0,"LINESTRING (80.2475270 13.0066519, 80.2475380 13.0067705)"
WBL|prot|NEMA_Phase_7|Ring_2|Barrier_2,T|↕|L2|T2|R3|,,2,310535870_30268467_310102882,155,1,2,84,138,1676204892,1676204874,1,WBL,105.0,"LINESTRING (80.2515119 12.9878324, 80.2514590 12.9877604)"
WBR|no_Treatment|NEMA_Phase_8|Ring_2|Barrier_2,T|↕|L2|T2|R3|,,3,310535870_30268467_310102882,155,2,2,84,134,1676204892,5562486549,1,WBR,110.0,"LINESTRING (80.2515119 12.9878324, 80.2513067 12.9879115)"
NBT|no_Treatment|NEMA_Phase_6|Ring_2|Barrier_1,T|↕|L2|T2|R3|,,1,310535870_30268467_310102882,155,2,3,217,134,319489540_1183430691_246866721,5562486549,1,NBT,310.0,"LINESTRING (80.2513423 12.9877711, 80.2513067 12.9879115)"
NBR|no_Treatment|NEMA_Phase_6|Ring_2|Barrier_1,T|↕|L2|T2|R3|,,1,310535870_30268467_310102882,155,2,3,217,138,319489540_1183430691_246866721,1676204874,1,NBR,110.0,"LINESTRING (80.2513423 12.9877711, 80.2514590 12.9877604)"
SBL|perm|NEMA_Phase_1|Ring_1|Barrier_1,T|↕|L2|T2|R3|,,1,310535870_30268467_310102882,155,1,4,48,140,5562486548,1183401849,1,SBL,105.0,"LINESTRING (80.2514010 12.9879891, 80.2514915 12.9879301)"
SBT|no_Treatment|NEMA_Phase_2|Ring_1|Barrier_1,T|↕|L2|T2|R3|,,1,310535870_30268467_310102882,155,2,4,48,138,5562486548,1676204874,1,SBT,310.0,"LINESTRING (80.2514010 12.9879891, 80.2514590 12.9877604)"
SBR|no_Treatment|NEMA_Phase_2|Ring_1|Barrier_1,T|↕|L2|T2|R3|,,1,310535870_30268467_310102882,155,2,4,48,134,5562486548,5562486549,1,SBR,110.0,"LINESTRING (80.2514010 12.9879891, 80.2513067 12.9879115)"
