signal_phase_mvmt_id,controller_id,mvmt_txt_id,signal_phase_num,stage_no,timing_plan_id,mvmt_id,node_id,osm_node_id,ib_link_id,ob_link_id,ib_osm_node_id,ob_osm_node_id,protection,osm_web_address,geometry
0,,SBT,2,1,0,8,3,325207488,1,192,249112798,4265654365,protected,http://openstreetmap.org/node/325207488,"LINESTRING (80.2183688 12.9874921, 80.2183372 12.9873507)"
0,,NBT,6,1,0,119,51,338406694,56,115,338406637,9370418225,protected,http://openstreetmap.org/node/338406694,"LINESTRING (80.2182401 12.9873781, 80.2182716 12.9875195)"
0,,SBT,2,1,0,197,107,338406779,209,116,2157511345,7111954111,protected,http://openstreetmap.org/node/338406779,"LINESTRING (80.2195259 12.9916855, 80.2195823 12.9916077)"
0,,SBT,2,1,0,200,109,7111954112,117,198,7111954111,9368672356,protected,http://openstreetmap.org/node/7111954112,"LINESTRING (80.2196146 12.9915675, 80.2197052 12.9914533)"
1,,SBR,2,1,0,201,109,7111954112,117,199,7111954111,249112798,protected,http://openstreetmap.org/node/7111954112,"LINESTRING (80.2196146 12.9915675, 80.2196023 12.9914684)"
0,,NBT,6,1,0,202,110,2142536482,118,119,9368672356,249112798,protected,http://openstreetmap.org/node/2142536482,"LINESTRING (80.2196907 12.9913440, 80.2196000 12.9914580)"
0,,NBT,6,1,0,208,114,338406792,122,212,7111954110,338406760,protected,http://openstreetmap.org/node/338406792,"LINESTRING (80.2195282 12.9915454, 80.2194477 12.9916666)"
0,,WBT,6,1,0,220,122,268789820,219,144,268789818,1971877227,protected,http://openstreetmap.org/node/268789820,"LINESTRING (80.2402798 13.0067277, 80.2401351 13.0067560)"
1,,WBR,6,1,0,219,122,268789820,219,132,268789818,2212827520,protected,http://openstreetmap.org/node/268789820,"LINESTRING (80.2402798 13.0067277, 80.2402095 13.0068140)"
2,,SBR,4,2,0,218,122,268789820,200,144,2212827519,1971877227,protected,http://openstreetmap.org/node/268789820,"LINESTRING (80.2402486 13.0068017, 80.2401351 13.0067560)"
0,,EBL,3,2,0,257,151,319489540_1183430691_246866721,96,217,6450947190,310535870_30268467_310102882,protected,http://openstreetmap.org/node/319489540_1183430691_246866721,"LINESTRING (80.2516486 12.9863420, 80.2517004 12.9864315)"
1,,EBR,4,3,0,256,151,319489540_1183430691_246866721,96,4,6450947190,6450947189,protected,http://openstreetmap.org/node/319489540_1183430691_246866721,"LINESTRING (80.2516486 12.9863420, 80.2516808 12.9862642)"
2,,NBL,5,1,0,253,151,319489540_1183430691_246866721,76,4,246866725,6450947189,permissive,http://openstreetmap.org/node/319489540_1183430691_246866721,"LINESTRING (80.2517678 12.9862178, 80.2516808 12.9862642)"
3,,NBT,6,1,0,254,151,319489540_1183430691_246866721,76,217,246866725,310535870_30268467_310102882,protected,http://openstreetmap.org/node/319489540_1183430691_246866721,"LINESTRING (80.2517678 12.9862178, 80.2517004 12.9864315)"
4,,NBR,6,1,0,252,151,319489540_1183430691_246866721,76,210,246866725,319489535,protected,http://openstreetmap.org/node/319489540_1183430691_246866721,"LINESTRING (80.2517678 12.9862178, 80.2518161 12.9863828)"
5,,SBT,2,1,0,249,151,319489540_1183430691_246866721,215,210,1676204874,319489535,protected,http://openstreetmap.org/node/319489540_1183430691_246866721,"LINESTRING (80.2517818 12.9865235, 80.2518161 12.9863828)"
6,,SBR,2,1,0,251,151,319489540_1183430691_246866721,215,217,1676204874,310535870_30268467_310102882,protected,http://openstreetmap.org/node/319489540_1183430691_246866721,"LINESTRING (80.2517818 12.9865235, 80.2517004 12.9864315)"
0,,EBT,2,1,0,258,152,243051703_312031412,87,88,249493615,249493599,protected,http://openstreetmap.org/node/243051703_312031412,"LINESTRING (80.2515624 13.0068108, 80.2517065 13.0067800)"
1,,EBR,2,1,0,260,152,243051703_312031412,87,42,249493615,1183401915,protected,http://openstreetmap.org/node/243051703_312031412,"LINESTRING (80.2515624 13.0068108, 80.2516175 13.0066742)"
2,,WBL,5,1,0,264,152,243051703_312031412,41,14,249497656,257432748,permissive,http://openstreetmap.org/node/243051703_312031412,"LINESTRING (80.2517606 13.0066391, 80.2516886 13.0065868)"
3,,WBT,6,1,0,265,152,243051703_312031412,41,42,249497656,1183401915,protected,http://openstreetmap.org/node/243051703_312031412,"LINESTRING (80.2517606 13.0066391, 80.2516175 13.0066742)"
4,,WBR,6,1,0,263,152,243051703_312031412,41,88,249497656,249493599,protected,http://openstreetmap.org/node/243051703_312031412,"LINESTRING (80.2517606 13.0066391, 80.2517065 13.0067800)"
5,,NBL,7,2,0,262,152,243051703_312031412,15,42,257432748,1183401915,protected,http://openstreetmap.org/node/243051703_312031412,"LINESTRING (80.2516886 13.0065868, 80.2516175 13.0066742)"
6,,NBR,8,3,0,261,152,243051703_312031412,15,88,257432748,249493599,protected,http://openstreetmap.org/node/243051703_312031412,"LINESTRING (80.2516886 13.0065868, 80.2517065 13.0067800)"
0,,EBT,2,1,0,270,153,1454664555_4113412285_338470503_1454664553,59,105,338466259,338470506,protected,http://openstreetmap.org/node/1454664555_4113412285_338470503_1454664553,"LINESTRING (80.2430801 12.9813695, 80.2433390 12.9813686)"
1,,EBR,2,1,0,271,153,1454664555_4113412285_338470503_1454664553,59,103,338466259,1454664548,protected,http://openstreetmap.org/node/1454664555_4113412285_338470503_1454664553,"LINESTRING (80.2430801 12.9813695, 80.2432704 12.9812079)"
2,,WBL,5,1,0,274,153,1454664555_4113412285_338470503_1454664553,62,103,246866969,1454664548,permissive,http://openstreetmap.org/node/1454664555_4113412285_338470503_1454664553,"LINESTRING (80.2433411 12.9812797, 80.2432704 12.9812079)"
3,,WBT,6,1,0,272,153,1454664555_4113412285_338470503_1454664553,62,104,246866969,251296646,protected,http://openstreetmap.org/node/1454664555_4113412285_338470503_1454664553,"LINESTRING (80.2433411 12.9812797, 80.2430877 12.9812815)"
4,,WBR,6,1,0,273,153,1454664555_4113412285_338470503_1454664553,62,105,246866969,338470506,protected,http://openstreetmap.org/node/1454664555_4113412285_338470503_1454664553,"LINESTRING (80.2433411 12.9812797, 80.2433390 12.9813686)"
5,,NBL,7,2,0,266,153,1454664555_4113412285_338470503_1454664553,20,104,1454664551,251296646,protected,http://openstreetmap.org/node/1454664555_4113412285_338470503_1454664553,"LINESTRING (80.2431658 12.9812049, 80.2430877 12.9812815)"
6,,NBR,8,3,0,268,153,1454664555_4113412285_338470503_1454664553,20,103,1454664551,1454664548,protected,http://openstreetmap.org/node/1454664555_4113412285_338470503_1454664553,"LINESTRING (80.2431658 12.9812049, 80.2432704 12.9812079)"
0,,EBT,2,1,0,275,154,310102870_312031374,205,139,243051152,1183401857,protected,http://openstreetmap.org/node/310102870_312031374,"LINESTRING (80.2473906 13.0067701, 80.2475380 13.0067705)"
1,,EBR,2,1,0,277,154,310102870_312031374,205,92,243051152,6816790397,protected,http://openstreetmap.org/node/310102870_312031374,"LINESTRING (80.2473906 13.0067701, 80.2473796 13.0066475)"
2,,WBL,5,1,0,279,154,310102870_312031374,91,46,6816790401,6816790398,permissive,http://openstreetmap.org/node/310102870_312031374,"LINESTRING (80.2475270 13.0066519, 80.2474531 13.0065754)"
3,,WBT,6,1,0,280,154,310102870_312031374,91,92,6816790401,6816790397,protected,http://openstreetmap.org/node/310102870_312031374,"LINESTRING (80.2475270 13.0066519, 80.2473796 13.0066475)"
4,,WBR,6,1,0,278,154,310102870_312031374,91,139,6816790401,1183401857,protected,http://openstreetmap.org/node/310102870_312031374,"LINESTRING (80.2475270 13.0066519, 80.2475380 13.0067705)"
0,,WBL,7,2,0,289,155,310535870_30268467_310102882,84,138,1676204892,1676204874,protected,http://openstreetmap.org/node/310535870_30268467_310102882,"LINESTRING (80.2515119 12.9878324, 80.2514590 12.9877604)"
1,,WBR,8,3,0,288,155,310535870_30268467_310102882,84,134,1676204892,5562486549,protected,http://openstreetmap.org/node/310535870_30268467_310102882,"LINESTRING (80.2515119 12.9878324, 80.2513067 12.9879115)"
