mvmt_id,osm_node_id,node_id,ib_link_id,ob_link_id,ib_osm_node_id,ob_osm_node_id,signal_phase_num,ring,barrier,stage_no,timing_plan_id,green_time_window,green_time,cycle_length,start_green_time,end_green_time,red_time,capacity,v_over_c,mvmt_txt_id,protection,osm_web_address,geometry
8,325207488,3,1,192,249112798,4265654365,2,1,1,1,0,000000_000130,90,90,0,90,0,3884.444444444444,0.1596109839816933,SBT,protected,http://openstreetmap.org/node/325207488,"LINESTRING (80.2183688 12.9874921, 80.2183372 12.9873507)"
119,338406694,51,56,115,338406637,9370418225,6,2,1,1,0,000000_000130,90,90,0,90,0,3884.444444444444,0.1596109839816933,NBT,protected,http://openstreetmap.org/node/338406694,"LINESTRING (80.2182401 12.9873781, 80.2182716 12.9875195)"
197,338406779,107,209,116,2157511345,7111954111,2,1,1,1,0,000000_000130,90,90,0,90,0,3884.444444444444,0.1596109839816933,SBT,protected,http://openstreetmap.org/node/338406779,"LINESTRING (80.2195259 12.9916855, 80.2195823 12.9916077)"
200,7111954112,109,117,198,7111954111,9368672356,2,1,1,1,0,000000_000130,90,90,0,90,0,1942.2222222222224,0.1596109839816933,SBT,protected,http://openstreetmap.org/node/7111954112,"LINESTRING (80.2196146 12.9915675, 80.2197052 12.9914533)"
201,7111954112,109,117,199,7111954111,249112798,2,1,1,1,0,000000_000130,90,90,0,90,0,1942.2222222222224,0.0566361556064073,SBR,protected,http://openstreetmap.org/node/7111954112,"LINESTRING (80.2196146 12.9915675, 80.2196023 12.9914684)"
202,2142536482,110,118,119,9368672356,249112798,6,2,1,1,0,000000_000130,90,90,0,90,0,3884.444444444444,0.1596109839816933,NBT,protected,http://openstreetmap.org/node/2142536482,"LINESTRING (80.2196907 12.9913440, 80.2196000 12.9914580)"
208,338406792,114,122,212,7111954110,338406760,6,2,1,1,0,000000_000130,90,90,0,90,0,3884.444444444444,0.1596109839816933,NBT,protected,http://openstreetmap.org/node/338406792,"LINESTRING (80.2195282 12.9915454, 80.2194477 12.9916666)"
220,268789820,122,219,144,268789818,1971877227,6,2,1,1,0,000000_000111,71,90,0,71,19,3095.765199161425,0.2002735866944768,WBT,protected,http://openstreetmap.org/node/268789820,"LINESTRING (80.2402798 13.0067277, 80.2401351 13.0067560)"
219,268789820,122,219,132,268789818,2212827520,6,2,1,1,0,000000_000111,71,90,0,71,19,1547.8825995807126,0.0710648210851369,WBR,protected,http://openstreetmap.org/node/268789820,"LINESTRING (80.2402798 13.0067277, 80.2402095 13.0068140)"
218,268789820,122,200,144,2212827519,1971877227,4,1,2,2,0,000111_000130,19,90,71,90,0,436.5618448637316,0.2519688820591625,SBR,protected,http://openstreetmap.org/node/268789820,"LINESTRING (80.2402486 13.0068017, 80.2401351 13.0067560)"
