name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,30268464,,,,,primary,0,80.2286092,13.0091943,,,
,1,268790432,,,,,primary,0,80.2374709,13.0074523,,,
,2,249112798,,,,,primary,0,80.2195955,12.9914634,,,
,3,325207488,traffic_signals,,signal,,primary,0,80.2183539,12.9874212,,,
,4,6305081500,,4,,,secondary,1,80.2405383,13.0096865,,,
,5,2212827519,,,,,secondary,0,80.2403241,13.0069116,,,
,8,6450947189,,,,,tertiary,0,80.2498873,12.9861932,,,
,9,1183430847,,,,,tertiary,0,80.2433032,12.9862105,,,
,10,246866969,,,,,tertiary,0,80.2434122,12.9812792,,,
,11,338470506,,,,,tertiary,0,80.2434112,12.981367,,,
,12,4304449135,,,,,tertiary,0,80.2185792,12.9843056,,,
,13,4300667149,,,,,tertiary,0,80.2206056,12.9843799,,,
,16,257432748,,,,,tertiary,0,80.2520203,12.9995361,,,
,17,257430080,,17,,,tertiary,2,80.2548168,12.9968237,,,
,18,257430066,,,,,tertiary,0,80.2523992,12.9950055,,,
,19,1183401893,,,,,tertiary,0,80.2504498,12.9945188,,,
,20,1454664551,,20,,,secondary,1,80.2431723,12.9811005,,,
,23,310535931,,,,,secondary,0,80.2549417,12.9835975,,,
,24,257439279,,,,,secondary,0,80.254893,12.9836513,,,
,25,268789823,,,,,primary,0,80.2427147,13.0066507,,,
,26,257532684,,,,,primary,0,80.2429431,13.0067136,,,
,27,2212827520,,,,,primary,0,80.240213,13.0069328,,,
,28,277911463,,,,,tertiary,0,80.2308021,12.9838348,,,
,29,277911466,,,,,tertiary,0,80.2308471,12.9855409,,,
,30,257430075,,30,,,tertiary,2,80.2544692,12.9907966,,,
,31,257430065,,,,,tertiary,0,80.2514058,12.9986617,,,
,32,299883320,,32,,,secondary,2,80.2210282,12.9810784,,,
,33,300195629,,,,,secondary,0,80.2218538,12.9825674,,,
,34,325207106,,,,,secondary,0,80.2226639,12.9840511,,,
,35,277911472,,,,,secondary,0,80.2230567,12.9870692,,,
Guru Nanak College,36,9368672356,,,,,secondary,0,80.2200208,12.9909775,,,
,37,249497656,,37,,,primary,1,80.2546694,13.0065266,,,
,38,1183401915,,,,,primary,0,80.2480458,13.0066601,,,
,39,268790436,,,,,primary,0,80.2393389,13.0070287,,,
,42,6816790398,,,,,primary,0,80.2474526,13.0064211,,,
,43,5562486548,,,,,primary,0,80.2497973,12.9943661,,,
,46,6865169774,,46,,,tertiary,2,80.2176559,13.0087706,,,
,47,365988855,,,,,tertiary,0,80.2207073,13.0066872,,,
,48,365988848,,,,,tertiary,0,80.2208168,13.0066958,,,
,49,300196199,,49,,,tertiary,2,80.2252743,12.9825724,,,
,50,338406637,,50,,,primary,1,80.2180859,12.9810547,,,
,51,338406694,traffic_signals,,signal,,primary,0,80.2182553,12.9874489,,,
,52,338406760,,,,,primary,0,80.2194312,12.9916905,,,
,53,2157593527,,,,,primary,0,80.2177732,12.9939784,,,
,54,338466283,,,,,primary,0,80.2359496,12.9811703,,,
,55,338461524,,,,,primary,0,80.2342115,12.9812176,,,
,56,338466259,,,,,primary,0,80.241401,12.9813659,,,
,58,1453588806,,58,,,primary,1,80.2454511,12.9810448,,,
,60,319489535,,,,,primary,0,80.2526658,12.9827548,,,
,61,416838241,,,,,secondary,0,80.2527526,12.9818163,,,
,62,1183401913,,,,,secondary,0,80.2532446,12.981856,,,
,63,291192573,,63,,,tertiary,2,80.2536578,12.9995082,,,
,64,1183401807,,,,,secondary,0,80.2536663,12.9818396,,,
,65,257432778,,65,,,secondary,-1,80.2549505,12.983879,,,
,66,243051061,,,,,primary,0,80.2473018,13.004825,,,
,67,6816790397,,,,,primary,0,80.2472788,13.0066472,,,
,68,243051152,,,,,primary,0,80.2472834,13.0067745,,,
,69,268789815,,,,,primary,0,80.2436375,13.0066045,,,
,70,6799326136,,,,,primary,0,80.2429189,13.0065948,,,
,71,268789816,,,,,primary,0,80.2425929,13.0065953,,,
,72,246866725,,72,,,primary,1,80.2525865,12.9819928,,,
,74,319489548,,,,,primary,0,80.2520856,12.987914,,,
,75,1183401926,,,,,primary,0,80.2518527,12.987871,,,
,76,1183401857,,,,,primary,0,80.2477253,13.0067588,,,
,77,1183401887,,,,,primary,0,80.248075,13.0067609,,,
,78,1183401855,,,,,secondary,0,80.2536582,12.981938,,,
,79,1183401894,,,,,secondary,0,80.2532672,12.9817673,,,
,80,1183430695,,80,,,secondary,-1,80.2527649,12.9814265,,,
,81,1183401849,,,,,primary,0,80.251803,12.9879862,,,
,82,310535896,,,,,primary,0,80.252071,12.9880483,,,
,83,1183401843,,,,,primary,0,80.2477357,13.0066639,,,
,84,1676204892,,,,,primary,0,80.2516888,12.9878387,,,
,86,249493615,,,,,primary,0,80.2483802,13.0067672,,,
,87,249493599,,87,,,primary,-1,80.2547091,13.0066685,,,
,88,6816790401,,,,,primary,0,80.2476619,13.0066597,,,
,89,268789822,,,,,primary,0,80.24615,13.0066442,,,
,90,246867074,,,,,tertiary,0,80.2432971,12.9863017,,,
,91,6450947190,,,,,tertiary,0,80.2498899,12.9862867,,,
,92,5458023327,,,,,primary,0,80.2533327,12.9879629,,,
,93,2166973529,,93,,,primary,1,80.2535429,12.9878162,,,
,94,313774904,,,,,tertiary,0,80.2499077,12.9943856,,,
,95,1454664548,,95,,,secondary,-1,80.2432739,12.9811246,,,
,96,251296646,,,,,primary,0,80.2401055,12.9812829,,,
,97,338470509,,97,,,primary,-1,80.2456076,12.981116,,,
,98,330653536,,,,,tertiary,0,80.2411166,12.9862239,,,
Taramani,99,7424295245,,,,,tertiary,0,80.2406319,12.9854059,,,
,100,277911188,,,,,tertiary,0,80.2395844,12.9822405,,,
,101,277911182,,,,,tertiary,0,80.2396549,12.9813419,,,
,102,338461507,,,,,tertiary,0,80.2396535,12.9812629,,,
,103,1676204874,,,,,primary,0,80.251625,12.9872076,,,
,104,1971877227,,,,,primary,0,80.2368208,13.0074334,,,
,105,2198054401,,,,,primary,0,80.2283395,13.0091482,,,
,106,9370418225,,,,,primary,0,80.2194581,12.9913407,,,
,107,338406779,traffic_signals,,signal,,primary,0,80.2195683,12.9916263,,,
,108,7111954111,,,,,primary,0,80.2195964,12.9915892,,,
,109,7111954112,traffic_signals,,signal,,primary,0,80.2196615,12.9915116,,,
,110,2142536482,traffic_signals,,signal,,secondary,0,80.2196466,12.991402,,,
,111,7111954110,,,,,primary,0,80.219533,12.9915378,,,
,112,1184617250,,,,,primary,0,80.2171871,12.9947733,,,
,113,366081887,,113,,,primary,-1,80.2170765,12.9949248,,,
,114,338406792,traffic_signals,,signal,,primary,0,80.219489,12.9916067,,,
,115,4314770660,,115,,,primary,1,80.2177247,13.0003399,,,
