name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_FFTT1,VDF_cap1
,0,11653205,0,168,1,54.739111637711645,1,30,,service,7,"LINESTRING (-79.9406197 40.4442419, -79.9405596 40.4443511, -79.940448 40.4444033, -79.94009579999999 40.4443455)",walk;bike,1,0,,
,1,11653205,168,0,1,54.739111637711645,1,30,,service,7,"LINESTRING (-79.94009579999999 40.4443455, -79.940448 40.4444033, -79.9405596 40.4443511, -79.9406197 40.4442419)",walk;bike,1,0,,
,2,11653205,168,1,1,34.89925767334935,1,30,,service,7,"LINESTRING (-79.94009579999999 40.4443455, -79.93969269999999 40.4442792)",walk;bike,1,0,,
,3,11653205,1,168,1,34.89925767334935,1,30,,service,7,"LINESTRING (-79.93969269999999 40.4442792, -79.94009579999999 40.4443455)",walk;bike,1,0,,
,4,11653205,1,1,1,183.92690350471776,1,30,,service,7,"LINESTRING (-79.93969269999999 40.4442792, -79.93879149999999 40.4441159, -79.9387227 40.4441347, -79.93870510000001 40.4442065, -79.938768 40.4442401, -79.9395645 40.4443733, -79.9396412 40.4443446, -79.93969269999999 40.4442792)",walk;bike,1,0,,
,5,11653205,1,1,1,183.92690350471776,1,30,,service,7,"LINESTRING (-79.93969269999999 40.4442792, -79.9396412 40.4443446, -79.9395645 40.4443733, -79.938768 40.4442401, -79.93870510000001 40.4442065, -79.9387227 40.4441347, -79.93879149999999 40.4441159, -79.93969269999999 40.4442792)",walk;bike,1,0,,
Frew Street Extension,6,11653556,522,2,1,62.45541705475962,1,32,,service,7,"LINESTRING (-79.948956 40.4397, -79.94893449999999 40.4397549, -79.9488881 40.4399556, -79.9488454 40.4400856, -79.9487549 40.4402373)",walk;bike,1,0,,
Frew Street Extension,7,11653556,2,522,1,62.45541705475962,1,32,,service,7,"LINESTRING (-79.9487549 40.4402373, -79.9488454 40.4400856, -79.9488881 40.4399556, -79.94893449999999 40.4397549, -79.948956 40.4397)",walk;bike,1,0,,
Schenley Road,8,11672170,523,3,1,3.617890439136291,1,30,,service,7,"LINESTRING (-79.937208 40.4397, -79.9371968 40.4397314)",walk;bike,1,0,,
Schenley Road,9,11672170,3,523,1,3.617890439136291,1,30,,service,7,"LINESTRING (-79.9371968 40.4397314, -79.937208 40.4397)",walk;bike,1,0,,
Morewood Place,10,11672244,4,181,1,90.64067074948373,1,30,,residential,6,"LINESTRING (-79.9419585 40.4444714, -79.9417514 40.4448056, -79.94171830000001 40.4448606, -79.94159809999999 40.4448606, -79.9415295 40.4449782, -79.9414608 40.4451023, -79.9414448 40.4451301)",auto;walk;bike,0,0,,
Morewood Place,11,11672244,181,38,1,170.95258045117941,1,30,,residential,6,"LINESTRING (-79.9414448 40.4451301, -79.9411604 40.4456183, -79.94137499999999 40.445873, -79.9416239 40.4459841, -79.9418127 40.4460037, -79.9422545 40.4460027)",auto;walk;bike,0,0,,
,12,11680951,5,518,1,27.38840966510608,1,30,,residential,6,"LINESTRING (-79.9374519 40.4465608, -79.93736180000001 40.4465475, -79.9373125 40.4465198, -79.93729639999999 40.4464815, -79.9372941 40.4463919)",auto;walk;bike,1,0,,
,13,11680951,518,5,1,27.38840966510608,1,30,,residential,6,"LINESTRING (-79.9372941 40.4463919, -79.93729639999999 40.4464815, -79.9373125 40.4465198, -79.93736180000001 40.4465475, -79.9374519 40.4465608)",auto;walk;bike,1,0,,
Robin Way,14,11685539,524,6,1,2.2786582849637385,1,30,,residential,6,"LINESTRING (-79.9363 40.4437911, -79.9363249 40.4437833)",auto;walk;bike,1,0,,
Robin Way,15,11685539,6,524,1,2.2786582849637385,1,30,,residential,6,"LINESTRING (-79.9363249 40.4437833, -79.9363 40.4437911)",auto;walk;bike,1,0,,
Unger Lane,16,11685703,7,525,1,135.51630122011605,1,30,,residential,6,"LINESTRING (-79.93664099999999 40.4448637, -79.936802 40.4450997, -79.9368219 40.4451788, -79.9368262 40.4454824, -79.93677630000001 40.445614, -79.9366624 40.4456875, -79.9363 40.4458459)",auto;walk;bike,1,0,,
Unger Lane,17,11685703,525,7,1,135.51630122011608,1,30,,residential,6,"LINESTRING (-79.9363 40.4458459, -79.9366624 40.4456875, -79.93677630000001 40.445614, -79.9368262 40.4454824, -79.9368219 40.4451788, -79.936802 40.4450997, -79.93664099999999 40.4448637)",auto;walk;bike,1,0,,
Holyrood Road,18,11685963,8,339,1,11.266065665518656,1,30,,residential,6,"LINESTRING (-79.9391116 40.4456878, -79.93898900000001 40.4456483)",auto;walk;bike,1,0,,
Holyrood Road,19,11685963,339,8,1,11.266065665518656,1,30,,residential,6,"LINESTRING (-79.93898900000001 40.4456483, -79.9391116 40.4456878)",auto;walk;bike,1,0,,
