link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,cost,geometry,macro_node_id,macro_link_id,mvmt_txt_id
0,0,100,,1,3.19,1,1000,30,residential,6,,"LINESTRING (-111.9303716 33.4231908, -111.9303643 33.4232189)",,0,
1,101,1,,1,2.79,1,1000,30,residential,6,,"LINESTRING (-111.9304388 33.4232285, -111.9304453 33.4232039)",,1,
2,102,200,,1,164.45,1,1000,30,residential,6,,"LINESTRING (-111.9303371 33.4233611, -111.9302737 33.4236834, -111.9302605 33.4237464, -111.9302459 33.4237931, -111.9302114 33.4238492, -111.9301863 33.4238748, -111.9301431 33.4239040, -111.9300963 33.4239248, -111.9296717 33.4240719, -111.9296489 33.4240797, -111.9292065 33.4242272, -111.9291481 33.4242448)",,2,
3,201,103,,1,171.91,1,1000,30,residential,6,,"LINESTRING (-111.9291735 33.4243042, -111.9292331 33.4242862, -111.9296771 33.4241383, -111.9297003 33.4241303, -111.9301283 33.4239820, -111.9301847 33.4239570, -111.9302395 33.4239200, -111.9302746 33.4238842, -111.9303167 33.4238159, -111.9303341 33.4237598, -111.9303479 33.4236940, -111.9304113 33.4233713)",,3,
4,300,400,,1,35.89,1,1000,40,residential,6,,"LINESTRING (-111.9411803 33.4243073, -111.9407942 33.4243090)",,4,
5,401,301,,1,35.89,1,1000,40,residential,6,,"LINESTRING (-111.9407945 33.4243721, -111.9411806 33.4243704)",,5,
6,402,236700,,1,42.54,1,1000,40,residential,6,,"LINESTRING (-111.9406220 33.4243097, -111.9401645 33.4243117)",,6,
7,236701,403,,1,42.54,1,1000,40,residential,6,,"LINESTRING (-111.9401649 33.4243749, -111.9406224 33.4243729)",,7,
8,600,700,,1,3.67,1,1000,40,residential,6,,"LINESTRING (-111.9376111 33.4243255, -111.9375717 33.4243262)",,8,
9,701,601,,1,3.67,1,1000,40,residential,6,,"LINESTRING (-111.9375732 33.4243893, -111.9376126 33.4243886)",,9,
10,702,800,,1,13.92,1,1000,40,residential,6,,"LINESTRING (-111.9375293 33.4243266, -111.9373796 33.4243267)",,10,
11,801,703,,1,13.92,1,1000,40,residential,6,,"LINESTRING (-111.9373797 33.4243898, -111.9375294 33.4243897)",,11,
12,802,900,,1,39.86,1,1000,40,residential,6,,"LINESTRING (-111.9372720 33.4243268, -111.9368432 33.4243273)",,12,
13,901,803,,1,39.86,1,1000,40,residential,6,,"LINESTRING (-111.9368433 33.4243905, -111.9372721 33.4243900)",,13,
14,902,1000,,1,4.48,1,1000,40,residential,6,,"LINESTRING (-111.9367356 33.4243275, -111.9366874 33.4243275)",,14,
15,1001,903,,1,4.48,1,1000,40,residential,6,,"LINESTRING (-111.9366876 33.4243906, -111.9367358 33.4243906)",,15,
16,1002,1100,,1,5.81,1,1000,40,residential,6,,"LINESTRING (-111.9366442 33.4243277, -111.9365817 33.4243280)",,16,
17,1101,1003,,1,5.81,1,1000,40,residential,6,,"LINESTRING (-111.9365823 33.4243911, -111.9366448 33.4243908)",,17,
18,1102,1200,,1,14.37,1,1000,40,residential,6,,"LINESTRING (-111.9364742 33.4243287, -111.9363196 33.4243296)",,18,
19,1201,1103,,1,14.37,1,1000,40,residential,6,,"LINESTRING (-111.9363201 33.4243927, -111.9364747 33.4243918)",,19,
20,1202,1300,,1,19.11,1,1000,40,residential,6,,"LINESTRING (-111.9361475 33.4243306, -111.9359419 33.4243318)",,20,
21,1301,1203,,1,19.11,1,1000,40,residential,6,,"LINESTRING (-111.9359424 33.4243950, -111.9361480 33.4243938)",,21,
22,1302,1400,,1,16.38,1,1000,40,residential,6,,"LINESTRING (-111.9357698 33.4243329, -111.9355936 33.4243339)",,22,
23,1401,1303,,1,16.38,1,1000,40,residential,6,,"LINESTRING (-111.9355941 33.4243970, -111.9357703 33.4243960)",,23,
24,1402,1500,,1,6.85,1,1000,40,residential,6,,"LINESTRING (-111.9354964 33.4243309, -111.9354251 33.4243154)",,24,
25,1501,1403,,1,6.85,1,1000,40,residential,6,,"LINESTRING (-111.9354062 33.4243765, -111.9354775 33.4243920)",,25,
26,1502,1600,,1,12.33,1,1000,40,residential,6,,"LINESTRING (-111.9353141 33.4243011, -111.9353110 33.4243008, -111.9351815 33.4243033)",,26,
27,1601,1503,,1,11.29,1,1000,40,residential,6,,"LINESTRING (-111.9351833 33.4243665, -111.9353047 33.4243641)",,27,
28,1602,1700,,1,6.74,1,1000,40,residential,6,,"LINESTRING (-111.9350757 33.4243047, -111.9350032 33.4243034)",,28,
