name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,0,170502471,motorway_junction,,,,,,-78.928137,36.006699,,,
,1,170502497,,,,,,,-78.930251,36.007909,,,
,2,170502518,,,,,,,-78.9317544,36.0090588,,,
,3,170502696,,,,,,,-78.9359931,36.0129665,,,
,4,170502699,,,,,,,-78.9350471,36.0121132,,,
,5,170502700,,,,,,,-78.934565,36.0116605,,,
,6,170502712,,,,,,,-78.9333735,36.0104539,,,
,8,170503550,,,,,,,-78.9207863,36.0037359,,,
,9,170503649,,,,,,,-78.9221161,36.0034969,,,
,10,170507013,motorway_junction,,,,,,-78.9135326,35.9994989,,,
,11,170507027,,,,,,,-78.912764,35.997884,,,
,12,170507033,traffic_signals,,signal,,,,-78.9129708,35.9969071,,,
,13,170507035,,,,,,,-78.9129997,35.9966051,,,
,14,170508912,,,,,,,-78.9131905,35.9994653,,,
,15,170510006,motorway_junction,,,,,,-78.9177632,36.0022809,,,
,16,170510023,,,,,,,-78.9197516,36.0036801,,,
,17,170510030,traffic_signals,,signal,,,,-78.9204718,36.0041119,,,
,18,170510449,,,,,,,-78.9335443,36.0090588,,,
,19,170510461,,,,,,,-78.9323556,36.0084524,,,
,20,170510463,,,,,,,-78.931011,36.007673,,,
,21,170513794,motorway_junction,,,,,,-78.9331323,36.0104414,,,
,22,170516187,,,,,,,-78.9130569,35.995504,,,
,23,170516191,,,,,,,-78.9131511,35.9955019,,,
,24,170516194,,,,,,,-78.9143101,35.995504,,,
,25,170516203,,,,,,,-78.915097,35.995514,,,
,26,170516208,,,,,,,-78.915773,35.995516,,,
,27,170516211,,,,,,,-78.916987,35.995515,,,
,28,170516222,,,,,,,-78.9185313,35.9952406,,,
,29,170516225,,,,,,,-78.919513,35.995472,,,
,30,170516230,,,,,,,-78.920373,35.9956802,,,
,31,170516237,,,,,,,-78.921489,35.99521,,,
,32,170516246,,,,,,,-78.9228576,35.9953184,,,
,33,170516250,,,,,,,-78.923975,35.995444,,,
,34,170519403,,,,,,,-78.921119,35.9966921,,,
,35,170519406,,,,,,,-78.922277,35.996794,,,
,36,170519414,,,,,,,-78.9235388,35.9970127,,,
,37,170519417,,,,,,,-78.924304,35.997205,,,
,38,170519425,,,,,,,-78.927173,35.997957,,,
,39,170519433,,,,,,,-78.9279632,35.9981019,,,
,40,170519450,traffic_signals,,signal,,,,-78.9302881,35.9983957,,,
,41,170519473,,,,,,,-78.933178,35.99745,,,
,42,170519475,,,,,,,-78.934395,35.99699,,,
,43,170519488,,,,,,,-78.935617,35.99632,,,
,44,170519529,,,,,,,-78.938749,35.993553,,,
,45,170519549,traffic_signals,,signal,,,,-78.940646,35.991505,,,
,46,170521538,traffic_signals,,signal,,,,-78.9129277,36.0022873,,,
,47,170521544,traffic_signals,,signal,,,,-78.9148026,36.00345,,,
,48,170521550,,,,,,,-78.9163401,36.0042422,,,
,49,170521554,,,,,,,-78.9165633,36.0043602,,,
,50,170521571,traffic_signals,,signal,,,,-78.91982,36.005943,,,
,51,170521578,,,,,,,-78.921046,36.006336,,,
,52,170521590,traffic_signals,,signal,,,,-78.922248,36.006553,,,
,53,170521603,,,,,,,-78.925474,36.006884,,,
,54,170521609,,,,,,,-78.9280545,36.0075945,,,
,55,170521615,traffic_signals,,signal,,,,-78.929254,36.008154,,,
,56,170521627,,,,,,,-78.9309094,36.0092917,,,
,57,170521640,,,,,,,-78.93212,36.010651,,,
,58,170521647,,,,,,,-78.9331625,36.0120852,,,
