name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,0,405883199,,yes,,,"POLYGON ((-78.91271209999999 35.9938916, -78.9127136 35.9937924, -78.9128394 35.9937937, -78.9128379 35.9938928, -78.91271209999999 35.9938916))",POINT (-78.9127757 35.9938426),124.3,1338.1
,1,339861515,,apartments,,,"POLYGON ((-78.92186 35.9965429, -78.92158689999999 35.9965126, -78.9216078 35.9963898, -78.9218809 35.9964202, -78.92186 35.9965429))",POINT (-78.92173390000001 35.9964664),340.8,3668.7
,2,820305566,,yes,,,"POLYGON ((-78.922877 35.990705, -78.922802 35.990787, -78.922867 35.990826, -78.92294200000001 35.990744, -78.922877 35.990705))",POINT (-78.922872 35.9907655),82.3,885.9
,3,820305414,,yes,,,"POLYGON ((-78.92115699999999 35.990399, -78.921159 35.990321, -78.921105 35.99032, -78.92110599999999 35.990273, -78.920956 35.990271, -78.920953 35.990396, -78.92115699999999 35.990399))",POINT (-78.9210482 35.9903391),230.6,2482.5
Erwin Mill,4,28000954,,yes,,,"POLYGON ((-78.92343870000001 36.0069688, -78.923761 36.0070178, -78.92368279999999 36.0073546, -78.9237677 36.0073675, -78.92373670000001 36.0075011, -78.923649 36.0074877, -78.923283 36.0090629, -78.92295679999999 36.0090134, -78.92297189999999 36.0089485, -78.92303320000001 36.0089578, -78.9232714 36.0079324, -78.9232129 36.0079235, -78.9232282 36.0078576, -78.9232786 36.0078652, -78.9234706 36.0070389, -78.923424 36.0070319, -78.92343870000001 36.0069688))",POINT (-78.9233919 36.0079996),5930.4,63834.1
,5,75583897,,yes,,,"POLYGON ((-78.9160978 36.0104139, -78.9160735 36.0104127, -78.9160801 36.010326, -78.9161045 36.0103272, -78.9161048 36.0103232, -78.9162173 36.0103288, -78.91621720000001 36.0103295, -78.9162584 36.0103316, -78.9162554 36.0103702, -78.91621429999999 36.0103682, -78.91621000000001 36.0104234, -78.91609750000001 36.0104178, -78.9160978 36.0104139))",POINT (-78.91615609999999 36.0103702),144.1,1550.5
Thomas A. Langford Building,6,44073311,,yes,,,"POLYGON ((-78.93957469999999 36.0020927, -78.939549 36.0021344, -78.9394631 36.0021483, -78.9394889 36.0022593, -78.93940310000001 36.0023774, -78.9394889 36.002426, -78.939549 36.0024121, -78.93962620000001 36.0024815, -78.9396005 36.0025371, -78.9394631 36.0025788, -78.9394202 36.0025649, -78.9394374 36.0025371, -78.93924 36.0024468, -78.93920559999999 36.0023913, -78.9393086 36.0022593, -78.9393001 36.0021691, -78.93926570000001 36.0021691, -78.93924 36.0021552, -78.93927429999999 36.0021066, -78.939446 36.0020858, -78.9394717 36.0020372, -78.9394966 36.002051, -78.93956 36.0020795, -78.93957469999999 36.0020927))",POINT (-78.9394059 36.0023244),1086.5,11694.8
,7,776591604,,,parking,,"POLYGON ((-78.9184309 35.9908597, -78.91843609999999 35.9906972, -78.9186413 35.9907104, -78.9186413 35.9907458, -78.91880519999999 35.9907479, -78.9187907 35.9908729, -78.9184309 35.9908597))",POINT (-78.9186042 35.9907927),524.1,5641.5
,8,405883168,,yes,,,"POLYGON ((-78.912837 35.9933793, -78.9128307 35.9933793, -78.91283079999999 35.9933355, -78.9128734 35.9933355, -78.9128734 35.993331, -78.91298279999999 35.993331, -78.91298279999999 35.9933837, -78.9129717 35.9933837, -78.91297160000001 35.9934525, -78.9129045 35.9934524, -78.9129045 35.993443, -78.9128138 35.9934429, -78.9128139 35.9934, -78.912837 35.9934001, -78.912837 35.9933793))",POINT (-78.91290290000001 35.9933902),174.3,1876.4
,9,75649357,,yes,,,"POLYGON ((-78.9129571 36.0106416, -78.91295289999999 36.0106886, -78.9128726 36.0106839, -78.9128767 36.010637, -78.9129571 36.0106416))",POINT (-78.9129148 36.0106628),37.9,407.7
