name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
Physical Science E Wing,16,30406865,,yes,,,"POLYGON ((-111.9318358 33.421569, -111.9318356 33.4215189, -111.9318353 33.421495, -111.9322674 33.4214909, -111.9322682 33.4215487, -111.9323655 33.4215464, -111.9324855 33.421546, -111.9325592 33.4215467, -111.93256 33.4217808, -111.9322714 33.4217815, -111.9317245 33.4217828, -111.9317241 33.4216751, -111.9317238 33.4215886, -111.93177 33.4215885, -111.9317699 33.4215692, -111.9318358 33.421569))",POINT (-111.9321378 33.4216503),2232.3,24027.8
,17,592897276,,yes,,,"POLYGON ((-111.9219263 33.4159013, -111.9218994 33.4159237, -111.9218342 33.4158981, -111.9217681 33.4158309, -111.9217374 33.4157797, -111.9217633 33.415758, -111.9217777 33.4157645, -111.9218544 33.4157364, -111.9218381 33.4157132, -111.9218726 33.4156852, -111.921909 33.4156844, -111.9220087 33.4157669, -111.9219809 33.4157869, -111.9219176 33.4158885, -111.9219263 33.4159013))",POINT (-111.9218751 33.4157992),358.3,3856.2
,18,552420570,,,fountain,,"POLYGON ((-111.9395387 33.4177622, -111.939544 33.4177561, -111.9395574 33.4177472, -111.939569 33.4177434, -111.9395815 33.4177421, -111.9395906 33.4177428, -111.9395995 33.4177449, -111.93961 33.4177496, -111.9396189 33.4177562, -111.939627 33.4177668, -111.9396302 33.417775, -111.9396313 33.4177835, -111.9396305 33.4177909, -111.9396282 33.4177981, -111.939621 33.417809, -111.9396135 33.4178155, -111.9396046 33.4178205, -111.9395955 33.4178236, -111.9395859 33.4178251, -111.9395752 33.417825, -111.9395647 33.4178229, -111.9395538 33.4178183, -111.9395446 33.4178117, -111.9395369 33.4178023, -111.9395325 33.4177915, -111.9395318 33.4177802, -111.9395348 33.417769, -111.9395387 33.4177622))",POINT (-111.9395815 33.4177837),66.5,716.0
Governor Benjamin B. Moeur House,19,230587092,,yes,,,"POLYGON ((-111.9384346 33.4233876, -111.9382916 33.423386, -111.9382873 33.4236572, -111.9384303 33.4236587, -111.9384346 33.4233876))",POINT (-111.9383609 33.4235224),399.1,4295.7
Psychology Building,20,29216715,,yes,,,"POLYGON ((-111.9291944 33.419733, -111.9299208 33.4197181, -111.9299255 33.4198787, -111.9299706 33.4198944, -111.9299715 33.4199498, -111.9297912 33.4199518, -111.9297905 33.4200419, -111.9293121 33.4200454, -111.9293107 33.4199562, -111.9291395 33.4199581, -111.9291386 33.4199011, -111.9291987 33.4198787, -111.9291944 33.419733))",POINT (-111.9295583 33.419874),2222.4,23921.9
Danforth Chapel,21,28822660,,yes,,,"POLYGON ((-111.9353821 33.4185737, -111.9353821 33.4184734, -111.9352448 33.4184734, -111.9352448 33.4185737, -111.9353821 33.4185737))",POINT (-111.9353134 33.4185236),141.0,1517.4
Business Administration,22,28821988,,yes,,,"POLYGON ((-111.9342417 33.4166609, -111.9342432 33.4162508, -111.9347947 33.4162521, -111.9347933 33.4166664, -111.9345741 33.4166658, -111.9345729 33.4170029, -111.9343074 33.4170023, -111.9343086 33.416661, -111.9342417 33.4166609))",POINT (-111.9344966 33.4165642),3275.5,35257.1
,23,544152085,,,parking,,"POLYGON ((-111.9252329 33.4169435, -111.9252294 33.4173918, -111.9252262 33.4178072, -111.9254254 33.4178089, -111.9254274 33.4174066, -111.9253551 33.4174041, -111.9253641 33.4169472, -111.9252329 33.4169435))",POINT (-111.9253136 33.4174228),1433.8,15433.1
,24,294245648,,apartments,,,"POLYGON ((-111.9224079 33.4198681, -111.9223929 33.4200253, -111.9227189 33.4200469, -111.9227339 33.4198897, -111.9224079 33.4198681))",POINT (-111.9225634 33.4199575),530.6,5711.1
,25,257007826,,yes,,,"POLYGON ((-111.9284162 33.4136937, -111.928405 33.4129938, -111.9282771 33.4129952, -111.9282784 33.4130786, -111.9283438 33.4130779, -111.9283453 33.4131698, -111.9282179 33.4131712, -111.928219 33.4132394, -111.9283227 33.4132382, -111.9283234 33.413285, -111.9282204 33.4132861, -111.9282217 33.413364, -111.9283408 33.4133626, -111.9283421 33.4134447, -111.9282748 33.4134455, -111.928276 33.4135181, -111.9283381 33.4135174, -111.9283399 33.4136254, -111.9282313 33.4136266, -111.9282324 33.4136957, -111.9284162 33.4136937))",POINT (-111.9283396 33.4133508),869.6,9360.3
