name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_FFTT1,VDF_cap1
,2156,544161308,756,754,1,26.56560292,1,30,,service,7,"LINESTRING (-111.9387914 33.419444, -111.9390776 33.4194402)",walk;bike,1,0,,
,2157,544161308,756,755,1,45.21338387,1,30,,service,7,"LINESTRING (-111.9387914 33.419444, -111.9383043 33.4194504)",walk;bike,1,0,,
,2158,544161308,755,756,1,45.21338387,1,30,,service,7,"LINESTRING (-111.9383043 33.4194504, -111.9387914 33.419444)",walk;bike,1,0,,
,2159,544161309,756,757,1,21.80532709,1,30,,service,7,"LINESTRING (-111.9387914 33.419444, -111.9387913 33.4192479)",walk;bike,1,0,,
,2160,544161309,757,756,1,21.80532709,1,30,,service,7,"LINESTRING (-111.9387913 33.4192479, -111.9387914 33.419444)",walk;bike,1,0,,
,2161,544161309,757,1353,1,9.273656882,1,30,,service,7,"LINESTRING (-111.9387913 33.4192479, -111.9387913 33.4191645)",walk;bike,1,0,,
,2162,544161309,1353,757,1,9.273656882,1,30,,service,7,"LINESTRING (-111.9387913 33.4191645, -111.9387913 33.4192479)",walk;bike,1,0,,
,2163,544161309,1353,758,1,10.74143392,1,30,,service,7,"LINESTRING (-111.9387913 33.4191645, -111.9387912 33.4190679)",walk;bike,1,0,,
,2164,544161309,758,1353,1,10.74143392,1,30,,service,7,"LINESTRING (-111.9387912 33.4190679, -111.9387913 33.4191645)",walk;bike,1,0,,
,2165,544161310,759,1352,1,9.644619996,1,30,,service,7,"LINESTRING (-111.9394839 33.4192463, -111.9394809 33.4191596)",walk;bike,1,0,,
,2166,544161310,1352,759,1,9.644619996,1,30,,service,7,"LINESTRING (-111.9394809 33.4191596, -111.9394839 33.4192463)",walk;bike,1,0,,
,2167,544161310,1352,760,1,11.33541836,1,30,,service,7,"LINESTRING (-111.9394809 33.4191596, -111.9394774 33.4190577)",walk;bike,1,0,,
,2168,544161310,760,1352,1,11.33541836,1,30,,service,7,"LINESTRING (-111.9394774 33.4190577, -111.9394809 33.4191596)",walk;bike,1,0,,
,2169,544161312,760,1356,1,8.217310321,1,30,,service,7,"LINESTRING (-111.9394774 33.4190577, -111.9394773 33.4189838)",walk;bike,1,0,,
,2170,544161312,1356,760,1,8.217310321,1,30,,service,7,"LINESTRING (-111.9394773 33.4189838, -111.9394774 33.4190577)",walk;bike,1,0,,
,2171,544161312,1356,761,1,6.226915893,1,30,,service,7,"LINESTRING (-111.9394773 33.4189838, -111.9394773 33.4189278)",walk;bike,1,0,,
,2172,544161312,761,1356,1,6.226915893,1,30,,service,7,"LINESTRING (-111.9394773 33.4189278, -111.9394773 33.4189838)",walk;bike,1,0,,
,2173,544161312,761,762,1,15.01131797,1,30,,service,7,"LINESTRING (-111.9394773 33.4189278, -111.9394772 33.4187928)",walk;bike,1,0,,
,2174,544161312,762,761,1,15.01131797,1,30,,service,7,"LINESTRING (-111.9394772 33.4187928, -111.9394773 33.4189278)",walk;bike,1,0,,
,2175,544161312,762,763,1,25.77499068,1,30,,service,7,"LINESTRING (-111.9394772 33.4187928, -111.939477 33.418561)",walk;bike,1,0,,
,2176,544161312,763,762,1,25.77499068,1,30,,service,7,"LINESTRING (-111.939477 33.418561, -111.9394772 33.4187928)",walk;bike,1,0,,
,2177,544161312,763,761,1,73.09959574,1,30,,service,7,"LINESTRING (-111.939477 33.418561, -111.939477 33.418543, -111.939563 33.418505, -111.9396355 33.4185434, -111.939639 33.4188787, -111.9395612 33.4189274, -111.9394773 33.4189278)",walk;bike,1,0,,
,2178,544161312,761,763,1,73.09959574,1,30,,service,7,"LINESTRING (-111.9394773 33.4189278, -111.9395612 33.4189274, -111.939639 33.4188787, -111.9396355 33.4185434, -111.939563 33.418505, -111.939477 33.418543, -111.939477 33.418561)",walk;bike,1,0,,
,2179,544161313,762,763,1,34.75168269,1,30,,service,7,"LINESTRING (-111.9394772 33.4187928, -111.9393914 33.4187583, -111.9393892 33.4186183, -111.939477 33.418561)",walk;bike,1,0,,
,2180,544161313,763,762,1,34.75168269,1,30,,service,7,"LINESTRING (-111.939477 33.418561, -111.9393892 33.4186183, -111.9393914 33.4187583, -111.9394772 33.4187928)",walk;bike,1,0,,
,2181,544161314,764,1350,1,4.276965873,1,30,,service,7,"LINESTRING (-111.9398457 33.4184381, -111.9397997 33.4184404)",walk;bike,1,0,,
,2182,544161314,1350,764,1,4.276965873,1,30,,service,7,"LINESTRING (-111.9397997 33.4184404, -111.9398457 33.4184381)",walk;bike,1,0,,
,2183,544161314,1350,765,1,96.05218492,1,30,,service,7,"LINESTRING (-111.9397997 33.4184404, -111.9388979 33.4184468, -111.9387922 33.4183793)",walk;bike,1,0,,
,2184,544161314,765,1350,1,96.05218492,1,30,,service,7,"LINESTRING (-111.9387922 33.4183793, -111.9388979 33.4184468, -111.9397997 33.4184404)",walk;bike,1,0,,
,2185,544161316,94,1376,1,77.46783543,1,5,,footway,9,"LINESTRING (-111.9366603 33.4183708, -111.9374947 33.4183527)",walk,0,0,,
,2186,544161316,1376,1373,1,15.02219265,1,5,,footway,9,"LINESTRING (-111.9374947 33.4183527, -111.9376565 33.4183491)",walk,0,0,,
,2187,544161316,1373,766,1,64.24703737,1,5,,footway,9,"LINESTRING (-111.9376565 33.4183491, -111.9383485 33.4183341)",walk,0,0,,
,2188,544161316,766,765,1,52.32219752,1,5,,footway,9,"LINESTRING (-111.9383485 33.4183341, -111.9385787 33.4185012, -111.9387922 33.4183793)",walk,0,0,,
,2189,544161319,767,1914,1,16.70693337,1,30,,service,7,"LINESTRING (-111.9332263 33.421973, -111.9332217 33.4218228)",walk;bike,1,0,,
,2190,544161319,1914,767,1,16.70693337,1,30,,service,7,"LINESTRING (-111.9332217 33.4218228, -111.9332263 33.421973)",walk;bike,1,0,,
,2191,544161319,1914,836,1,69.1751893,1,30,,service,7,"LINESTRING (-111.9332217 33.4218228, -111.9332208 33.4217941, -111.9333012 33.4216587, -111.9333254 33.4214997, -111.9333238 33.4212177)",walk;bike,1,0,,
,2192,544161319,836,1914,1,69.1751893,1,30,,service,7,"LINESTRING (-111.9333238 33.4212177, -111.9333254 33.4214997, -111.9333012 33.4216587, -111.9332208 33.4217941, -111.9332217 33.4218228)",walk;bike,1,0,,
,2193,544161319,836,771,1,7.038736754,1,30,,service,7,"LINESTRING (-111.9333238 33.4212177, -111.9333234 33.4211544)",walk;bike,1,0,,
,2194,544161319,771,836,1,7.038736754,1,30,,service,7,"LINESTRING (-111.9333234 33.4211544, -111.9333238 33.4212177)",walk;bike,1,0,,
,2195,544161319,771,768,1,13.13228153,1,30,,service,7,"LINESTRING (-111.9333234 33.4211544, -111.9333227 33.4210363)",walk;bike,1,0,,
,2196,544161319,768,771,1,13.13228153,1,30,,service,7,"LINESTRING (-111.9333227 33.4210363, -111.9333234 33.4211544)",walk;bike,1,0,,
,2197,544161320,768,769,1,58.37659438,1,30,,service,7,"LINESTRING (-111.9333227 33.4210363, -111.9333227 33.4208673, -111.9328962 33.4208639)",walk;bike,1,0,,
,2198,544161320,769,768,1,58.37659438,1,30,,service,7,"LINESTRING (-111.9328962 33.4208639, -111.9333227 33.4208673, -111.9333227 33.4210363)",walk;bike,1,0,,
,2199,544161321,768,770,1,30.36714421,1,30,,service,7,"LINESTRING (-111.9333227 33.4210363, -111.9329955 33.4210352)",walk;bike,1,0,,
,2200,544161321,770,768,1,30.36714421,1,30,,service,7,"LINESTRING (-111.9329955 33.4210352, -111.9333227 33.4210363)",walk;bike,1,0,,
,2201,544161322,290,1307,1,10.93317305,1,5,,footway,9,"LINESTRING (-111.9338104 33.4211509, -111.9336926 33.4211517)",walk,0,0,,
,2202,544161322,1307,1310,1,14.44157906,1,5,,footway,9,"LINESTRING (-111.9336926 33.4211517, -111.933537 33.4211529)",walk,0,0,,
