link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,cost,geometry,macro_node_id,macro_link_id,mvmt_txt_id
0,2,100,,1,1932.53,2,2300,120,motorway,1,,"LINESTRING (-96.7859400 43.4926501, -96.7880329 43.4922495, -96.7884422 43.4921573, -96.7890378 43.4920233, -96.7898435 43.4918389, -96.7908807 43.4915817, -96.7929360 43.4910266, -96.7939069 43.4907716, -96.7941990 43.4906910, -96.7944210 43.4906271, -96.7945976 43.4905754, -96.7947788 43.4905123, -96.7949668 43.4904465, -96.7951492 43.4903766, -96.7953488 43.4902908, -96.7955379 43.4902108, -96.7957127 43.4901237, -96.7959095 43.4900170, -96.7961227 43.4898984, -96.7963148 43.4897835, -96.7965165 43.4896547, -96.7967294 43.4895124, -96.7969169 43.4893727, -96.7971220 43.4892056, -96.7972568 43.4890829, -96.7973988 43.4889521, -96.7975389 43.4888136, -96.7976969 43.4886450, -96.7978464 43.4884662, -96.7979977 43.4882727, -96.7981466 43.4880604, -96.7982562 43.4878747, -96.7983593 43.4876916, -96.7984562 43.4874974, -96.7985477 43.4872974, -96.7986153 43.4871160, -96.7986824 43.4869058, -96.7987449 43.4866686, -96.7987875 43.4864553, -96.7988161 43.4862148, -96.7988334 43.4860145, -96.7988403 43.4857445, -96.7988296 43.4855045, -96.7988009 43.4852514, -96.7987532 43.4850060, -96.7987019 43.4847896, -96.7986398 43.4845986, -96.7985550 43.4843610, -96.7978720 43.4827600, -96.7974534 43.4817900, -96.7972112 43.4812248)",,0,
1,201,300,,1,494.89,2,2300,120,motorway,1,,"LINESTRING (-96.7625959 43.4983602, -96.7635698 43.4980320, -96.7644598 43.4977456, -96.7650898 43.4975563, -96.7656249 43.4974224, -96.7660916 43.4973310, -96.7666914 43.4972401, -96.7675151 43.4971531, -96.7684072 43.4970703)",,1,
2,401,500,,1,610.44,4,2300,120,motorway,1,,"LINESTRING (-96.7775797 43.4936766, -96.7768704 43.4937453, -96.7763936 43.4937845, -96.7759840 43.4938166, -96.7757106 43.4938365, -96.7754039 43.4938513, -96.7751476 43.4938575, -96.7749077 43.4938590, -96.7746460 43.4938531, -96.7744139 43.4938411, -96.7741993 43.4938239, -96.7739911 43.4938027, -96.7737874 43.4937792, -96.7735674 43.4937497, -96.7733166 43.4937113, -96.7731114 43.4936731, -96.7728822 43.4936233, -96.7726318 43.4935627, -96.7723779 43.4934955, -96.7721013 43.4934111, -96.7717857 43.4933055, -96.7713002 43.4931447, -96.7710194 43.4930559, -96.7708668 43.4930109, -96.7706533 43.4929553, -96.7704648 43.4929212, -96.7702678 43.4928966)",,2,
3,2,602,,1,727.55,4,2300,120,motorway,1,,"LINESTRING (-96.7859400 43.4926501, -96.7877286 43.4923595, -96.7880090 43.4923195, -96.7882522 43.4923060, -96.7884438 43.4922980, -96.7886503 43.4923020, -96.7888428 43.4923237, -96.7890325 43.4923468, -96.7893205 43.4924041, -96.7895261 43.4924572, -96.7897469 43.4925320, -96.7899549 43.4926146, -96.7901342 43.4927065, -96.7903379 43.4928217, -96.7905053 43.4929437, -96.7906641 43.4930793, -96.7908081 43.4932170, -96.7909126 43.4933391, -96.7909911 43.4934523, -96.7910730 43.4935838, -96.7911340 43.4936920, -96.7911990 43.4938431, -96.7912423 43.4939752, -96.7912736 43.4940982, -96.7912912 43.4942305, -96.7913001 43.4943772, -96.7912892 43.4945412, -96.7912731 43.4946539, -96.7912304 43.4948401, -96.7911704 43.4950119, -96.7907931 43.4957501)",,3,
4,701,201,,1,534.12,3,2300,104,motorway,1,,"LINESTRING (-96.7567394 43.5005860, -96.7580132 43.5001004, -96.7590771 43.4996974, -96.7611529 43.4989034, -96.7613267 43.4988371, -96.7625959 43.4983602)",,4,
5,801,901,,1,179.64,2,2300,104,motorway,1,,"LINESTRING (-96.7864300 43.4920749, -96.7855449 43.4922412, -96.7850641 43.4923494, -96.7844327 43.4924889, -96.7842937 43.4925179)",,5,
6,901,401,,1,558.11,2,2300,104,motorway,1,,"LINESTRING (-96.7842937 43.4925179, -96.7838460 43.4926114, -96.7832880 43.4927234, -96.7827731 43.4928272, -96.7823124 43.4929151, -96.7818837 43.4929956, -96.7814709 43.4930696, -96.7810767 43.4931356, -96.7804669 43.4932378, -96.7795862 43.4933751, -96.7790387 43.4934591, -96.7785585 43.4935314, -96.7780740 43.4936063, -96.7775797 43.4936766)",,6,
7,401,1000,,1,677.34,2,2300,104,motorway,1,,"LINESTRING (-96.7775797 43.4936766, -96.7765485 43.4938273, -96.7754759 43.4939882, -96.7748591 43.4940772, -96.7743630 43.4941559, -96.7738821 43.4942423, -96.7735010 43.4943184, -96.7730938 43.4944019, -96.7726543 43.4945029, -96.7721693 43.4946254, -96.7716622 43.4947602, -96.7711261 43.4949150, -96.7703686 43.4951506, -96.7695811 43.4954128)",,7,
8,1101,1200,,1,364.47,4,2300,120,motorway,1,,"LINESTRING (-96.7802392 43.5375938, -96.7799715 43.5397422, -96.7798657 43.5408641)",,8,
9,1300,1402,,1,16.38,4,2300,120,motorway,1,,"LINESTRING (-96.7116439 43.5158204, -96.7116882 43.5158263, -96.7117574 43.5158211, -96.7118403 43.5157996)",,9,
