mvmt_id,node_id,osm_node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,lanes,ib_osm_node_id,ob_osm_node_id,type,penalty,capacity,ctrl_type,mvmt_txt_id,geometry,volume,free_speed,allowed_uses,generated_by_osm2gmns,notes
0,0,30268464,,131,1,2,0,1,2,2,2198054401,268790432,thru,,,,EBT,"LINESTRING (80.2285368 13.0092084, 80.2286809 13.0091775)",620.0,,auto,1,volume set by default
1,0,30268464,,183,2,3,0,1,2,2,256035585,268790432,thru,,,,SBT,"LINESTRING (80.2285410 13.0092218, 80.2286809 13.0091775)",620.0,,auto,1,volume set by default
2,1,268790432,,0,1,1,25,1,1,1,30268464,2212827520,thru,,,,EBT,"LINESTRING (80.2373985 13.0074663, 80.2375434 13.0074387)",310.0,,auto,1,volume set by default
3,1,268790432,,0,2,2,220,2,2,1,30268464,268790436,thru,,,,EBT,"LINESTRING (80.2373985 13.0074663, 80.2375425 13.0074350)",310.0,,auto,1,volume set by default
4,2,249112798,,119,1,1,1,1,1,1,2142536482,325207488,left,,,,NBL,"LINESTRING (80.2196421 12.9914074, 80.2195715 12.9913950)",105.0,,auto,1,volume set by default
5,2,249112798,,119,2,2,120,2,2,1,2142536482,7111954110,thru,,,,NBT,"LINESTRING (80.2196421 12.9914074, 80.2195486 12.9915192)",310.0,,auto,1,volume set by default
6,2,249112798,,199,1,2,1,1,2,2,7111954112,325207488,thru,,,,WBT,"LINESTRING (80.2196547 12.9915066, 80.2195715 12.9913950)",620.0,,auto,1,volume set by default
7,2,249112798,,199,3,3,120,2,2,1,7111954112,7111954110,right,,,,WBR,"LINESTRING (80.2196547 12.9915066, 80.2195486 12.9915192)",110.0,,auto,1,volume set by default
8,3,325207488,,1,1,2,192,1,2,2,249112798,4265654365,thru,,,,SBT,"LINESTRING (80.2183688 12.9874921, 80.2183372 12.9873507)",620.0,,auto,1,volume set by default
9,5,2212827519,,2,2,2,200,2,2,1,6305081500,268789820,thru,,,,SBT,"LINESTRING (80.2403346 13.0069832, 80.2402829 13.0068516)",310.0,,auto,1,volume set by default
10,5,2212827519,,2,1,1,201,1,1,1,6305081500,257532684,left,,,,SBL,"LINESTRING (80.2403346 13.0069832, 80.2403965 13.0068978)",105.0,,auto,1,volume set by default
11,5,2212827519,,26,3,3,200,2,2,1,2212827520,268789820,right,,,,EBR,"LINESTRING (80.2402517 13.0069254, 80.2402829 13.0068516)",110.0,,auto,1,volume set by default
12,5,2212827519,,26,1,2,201,1,2,2,2212827520,257532684,thru,,,,EBT,"LINESTRING (80.2402517 13.0069254, 80.2403965 13.0068978)",620.0,,auto,1,volume set by default
13,8,6450947189,,4,2,2,5,2,2,1,319489540_1183430691_246866721,1183430847,thru,,,,WBT,"LINESTRING (80.2499611 12.9861931, 80.2498135 12.9861933)",310.0,,auto,1,volume set by default
14,8,6450947189,,4,2,2,189,2,2,1,319489540_1183430691_246866721,6450947190,right,,,,WBR,"LINESTRING (80.2499611 12.9861931, 80.2498893 12.9862655)",110.0,,auto,1,volume set by default
15,8,6450947189,,4,1,1,207,1,1,1,319489540_1183430691_246866721,9179599608,left,,,,WBL,"LINESTRING (80.2499611 12.9861931, 80.2498842 12.9861209)",105.0,,auto,1,volume set by default
16,8,6450947189,,188,2,2,5,2,2,1,6450947190,1183430847,right,,,,SBR,"LINESTRING (80.2498893 12.9862655, 80.2498135 12.9861933)",110.0,,auto,1,volume set by default
17,8,6450947189,,188,1,1,207,1,1,1,6450947190,9179599608,thru,,,,SBT,"LINESTRING (80.2498893 12.9862655, 80.2498842 12.9861209)",310.0,,auto,1,volume set by default
18,8,6450947189,,206,1,1,5,1,1,1,9179599608,1183430847,left,,,,NBL,"LINESTRING (80.2498842 12.9861209, 80.2498135 12.9861933)",105.0,,auto,1,volume set by default
