mvmt_id,node_id,osm_node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,lanes,ib_osm_node_id,ob_osm_node_id,type,penalty,capacity,ctrl_type,mvmt_txt_id,geometry,volume,free_speed,allowed_uses,generated_by_osm2gmns,notes
19,8,6450947189,,206,2,2,189,2,2,1,9179599608,6450947190,thru,,,,NBT,"LINESTRING (80.2498842 12.9861209, 80.2498893 12.9862655)",310.0,,auto,1,volume set by default
20,9,1183430847,,5,1,1,9,1,1,1,6450947189,338470506,left,,,,WBL,"LINESTRING (80.2433770 12.9862106, 80.2433046 12.9861382)",105.0,,auto,1,volume set by default
21,9,1183430847,,5,2,2,164,2,2,1,6450947189,330653536,thru,,,,WBT,"LINESTRING (80.2433770 12.9862106, 80.2432294 12.9862104)",310.0,,auto,1,volume set by default
22,9,1183430847,,5,2,2,166,2,2,1,6450947189,246867074,right,,,,WBR,"LINESTRING (80.2433770 12.9862106, 80.2432984 12.9862827)",110.0,,auto,1,volume set by default
23,9,1183430847,,8,1,1,164,1,1,1,338470506,330653536,left,,,,NBL,"LINESTRING (80.2433046 12.9861382, 80.2432294 12.9862104)",105.0,,auto,1,volume set by default
24,9,1183430847,,8,2,2,166,2,2,1,338470506,246867074,thru,,,,NBT,"LINESTRING (80.2433046 12.9861382, 80.2432984 12.9862827)",310.0,,auto,1,volume set by default
25,9,1183430847,,167,1,1,9,1,1,1,246867074,338470506,thru,,,,SBT,"LINESTRING (80.2432984 12.9862827, 80.2433046 12.9861382)",310.0,,auto,1,volume set by default
26,9,1183430847,,167,2,2,164,2,2,1,246867074,330653536,right,,,,SBR,"LINESTRING (80.2432984 12.9862827, 80.2432294 12.9862104)",110.0,,auto,1,volume set by default
27,10,246866969,,7,1,2,62,1,2,2,338470506,1454664555_4113412285_338470503_1454664553,right,,,,SBR,"LINESTRING (80.2434114 12.9813515, 80.2433384 12.9812797)",220.0,,auto,1,volume set by default
28,10,246866969,,61,3,3,6,2,2,1,1453588806,338470506,right,,,,WBR,"LINESTRING (80.2434855 12.9812708, 80.2434114 12.9813515)",110.0,,auto,1,volume set by default
29,10,246866969,,61,1,2,62,1,2,2,1453588806,1454664555_4113412285_338470503_1454664553,thru,,,,WBT,"LINESTRING (80.2434855 12.9812708, 80.2433384 12.9812797)",620.0,,auto,1,volume set by default
30,11,338470506,,6,1,1,8,1,1,1,246866969,1183430847,thru,,,,NBT,"LINESTRING (80.2434120 12.9812947, 80.2434094 12.9814393)",310.0,,auto,1,volume set by default
31,11,338470506,,6,2,2,106,3,3,1,246866969,338470509,right,,,,NBR,"LINESTRING (80.2434120 12.9812947, 80.2434848 12.9813628)",110.0,,auto,1,volume set by default
32,11,338470506,,9,2,2,7,2,2,1,1183430847,246866969,thru,,,,SBT,"LINESTRING (80.2434094 12.9814393, 80.2434120 12.9812947)",310.0,,auto,1,volume set by default
33,11,338470506,,9,1,1,106,1,1,1,1183430847,338470509,left,,,,SBL,"LINESTRING (80.2434094 12.9814393, 80.2434848 12.9813628)",105.0,,auto,1,volume set by default
34,11,338470506,,105,3,3,7,2,2,1,1454664555_4113412285_338470503_1454664553,246866969,right,,,,EBR,"LINESTRING (80.2433375 12.9813686, 80.2434120 12.9812947)",110.0,,auto,1,volume set by default
35,11,338470506,,105,1,1,8,1,1,1,1454664555_4113412285_338470503_1454664553,1183430847,left,,,,EBL,"LINESTRING (80.2433375 12.9813686, 80.2434094 12.9814393)",105.0,,auto,1,volume set by default
36,11,338470506,,105,2,2,106,3,3,1,1454664555_4113412285_338470503_1454664553,338470509,thru,,,,EBT,"LINESTRING (80.2433375 12.9813686, 80.2434848 12.9813628)",310.0,,auto,1,volume set by default
37,12,4304449135,,11,1,1,178,1,1,1,4300667149,2623043962,thru,,,,WBT,"LINESTRING (80.2186524 12.9843142, 80.2185058 12.9842984)",310.0,,auto,1,volume set by default
38,12,4304449135,,177,1,1,10,1,1,1,2623043962,4300667149,thru,,,,EBT,"LINESTRING (80.2185058 12.9842984, 80.2186524 12.9843142)",310.0,,auto,1,volume set by default
39,13,4300667149,,10,1,1,175,1,1,1,4304449135,249112805,thru,,,,EBT,"LINESTRING (80.2205332 12.9843938, 80.2206783 12.9843677)",310.0,,auto,1,volume set by default
40,13,4300667149,,176,1,1,11,1,1,1,249112805,4304449135,thru,,,,WBT,"LINESTRING (80.2206783 12.9843677, 80.2205332 12.9843938)",310.0,,auto,1,volume set by default
41,16,257432748,,14,2,2,67,2,2,1,243051703_312031412,257430065,thru,,,,SBT,"LINESTRING (80.2520207 12.9996084, 80.2519997 12.9994666)",310.0,,auto,1,volume set by default
42,16,257432748,,14,1,1,68,1,1,1,243051703_312031412,291192573,left,,,,SBL,"LINESTRING (80.2520207 12.9996084, 80.2520941 12.9995348)",105.0,,auto,1,volume set by default
43,16,257432748,,66,1,1,15,1,1,1,257430065,243051703_312031412,thru,,,,NBT,"LINESTRING (80.2519997 12.9994666, 80.2520207 12.9996084)",310.0,,auto,1,volume set by default
44,16,257432748,,66,2,2,68,2,2,1,257430065,291192573,right,,,,NBR,"LINESTRING (80.2519997 12.9994666, 80.2520941 12.9995348)",110.0,,auto,1,volume set by default
45,16,257432748,,69,2,2,15,2,2,1,291192573,243051703_312031412,right,,,,WBR,"LINESTRING (80.2520941 12.9995348, 80.2520207 12.9996084)",110.0,,auto,1,volume set by default
46,16,257432748,,69,1,1,67,1,1,1,291192573,257430065,left,,,,WBL,"LINESTRING (80.2520941 12.9995348, 80.2519997 12.9994666)",105.0,,auto,1,volume set by default
47,18,257430066,,16,1,1,18,1,1,1,257430080,1183401893,thru,,,,WBT,"LINESTRING (80.2524681 12.9950314, 80.2523277 12.9949877)",310.0,,auto,1,volume set by default
48,18,257430066,,16,1,1,30,1,1,1,257430080,257430075,left,,,,WBL,"LINESTRING (80.2524681 12.9950314, 80.2524179 12.9949355)",105.0,,auto,1,volume set by default
49,18,257430066,,16,1,1,31,2,2,1,257430080,257430065,right,,,,WBR,"LINESTRING (80.2524681 12.9950314, 80.2523784 12.9950749)",110.0,,auto,1,volume set by default
50,18,257430066,,19,1,1,17,1,1,1,1183401893,257430080,thru,,,,EBT,"LINESTRING (80.2523277 12.9949877, 80.2524681 12.9950314)",310.0,,auto,1,volume set by default
51,18,257430066,,19,1,1,30,2,2,1,1183401893,257430075,right,,,,EBR,"LINESTRING (80.2523277 12.9949877, 80.2524179 12.9949355)",110.0,,auto,1,volume set by default
52,18,257430066,,19,1,1,31,1,1,1,1183401893,257430065,left,,,,EBL,"LINESTRING (80.2523277 12.9949877, 80.2523784 12.9950749)",105.0,,auto,1,volume set by default
53,18,257430066,,29,2,2,17,1,1,1,257430075,257430080,right,,,,NBR,"LINESTRING (80.2524179 12.9949355, 80.2524681 12.9950314)",110.0,,auto,1,volume set by default
54,18,257430066,,29,1,1,18,1,1,1,257430075,1183401893,left,,,,NBL,"LINESTRING (80.2524179 12.9949355, 80.2523277 12.9949877)",105.0,,auto,1,volume set by default
55,18,257430066,,29,2,2,31,2,2,1,257430075,257430065,thru,,,,NBT,"LINESTRING (80.2524179 12.9949355, 80.2523784 12.9950749)",310.0,,auto,1,volume set by default
56,18,257430066,,32,1,1,17,1,1,1,257430065,257430080,left,,,,SBL,"LINESTRING (80.2523784 12.9950749, 80.2524681 12.9950314)",105.0,,auto,1,volume set by default
57,18,257430066,,32,2,2,18,1,1,1,257430065,1183401893,right,,,,SBR,"LINESTRING (80.2523784 12.9950749, 80.2523277 12.9949877)",110.0,,auto,1,volume set by default
58,18,257430066,,32,2,2,30,2,2,1,257430065,257430075,thru,,,,SBT,"LINESTRING (80.2523784 12.9950749, 80.2524179 12.9949355)",310.0,,auto,1,volume set by default
59,19,1183401893,,18,1,1,100,1,1,1,257430066,313774904,thru,,,,WBT,"LINESTRING (80.2505214 12.9945362, 80.2503782 12.9945012)",310.0,,auto,1,volume set by default
60,19,1183401893,,101,1,1,19,1,1,1,313774904,257430066,thru,,,,EBT,"LINESTRING (80.2503782 12.9945012, 80.2505214 12.9945362)",310.0,,auto,1,volume set by default
61,23,310535931,,23,1,2,70,1,2,2,257439279,1183401807,right,,,,SBR,"LINESTRING (80.2549174 12.9836244, 80.2549224 12.9835277)",220.0,,auto,1,volume set by default
62,24,257439279,,22,1,2,71,1,2,2,310535931,257432778,right,,,,NBR,"LINESTRING (80.2549174 12.9836244, 80.2549107 12.9837215)",220.0,,auto,1,volume set by default
63,24,257439279,,89,2,2,23,2,2,1,1183401855,310535931,right,,,,NBR,"LINESTRING (80.2548731 12.9835816, 80.2549174 12.9836244)",110.0,,auto,1,volume set by default
64,24,257439279,,89,1,1,71,1,1,1,1183401855,257432778,thru,,,,NBT,"LINESTRING (80.2548731 12.9835816, 80.2549107 12.9837215)",310.0,,auto,1,volume set by default
65,25,268789823,,43,1,3,24,1,3,3,268790436,257532684,thru,,,,EBT,"LINESTRING (80.2426409 13.0066512, 80.2427857 13.0066703)",930.0,,auto,1,volume set by default
66,25,268789823,,195,3,3,24,3,3,1,6799326136,257532684,right,,,,WBR,"LINESTRING (80.2427858 13.0066312, 80.2427857 13.0066703)",110.0,,auto,1,volume set by default
67,25,268789823,,195,1,2,44,1,2,2,6799326136,268790436,thru,,,,WBT,"LINESTRING (80.2427858 13.0066312, 80.2426409 13.0066512)",620.0,,auto,1,volume set by default
68,26,257532684,,24,1,3,204,1,3,3,268789823,243051152,thru,,,,EBT,"LINESTRING (80.2428721 13.0066940, 80.2430169 13.0067149)",930.0,,auto,1,volume set by default
69,26,257532684,,201,1,3,204,1,3,3,2212827519,243051152,thru,,,,EBT,"LINESTRING (80.2428693 13.0067138, 80.2430169 13.0067149)",930.0,,auto,1,volume set by default
70,27,2212827520,,25,3,3,26,3,3,1,268790432,2212827519,thru,,,,EBT,"LINESTRING (80.2401406 13.0069466, 80.2402854 13.0069190)",310.0,,auto,1,volume set by default
71,27,2212827520,,25,1,2,133,1,2,2,268790432,1812533141,left,,,,EBL,"LINESTRING (80.2401406 13.0069466, 80.2402238 13.0070044)",210.0,,auto,1,volume set by default
72,27,2212827520,,132,2,2,26,3,3,1,268789820,2212827519,right,,,,NBR,"LINESTRING (80.2402109 13.0068605, 80.2402854 13.0069190)",110.0,,auto,1,volume set by default
73,27,2212827520,,132,1,1,133,1,1,1,268789820,1812533141,thru,,,,NBT,"LINESTRING (80.2402109 13.0068605, 80.2402238 13.0070044)",310.0,,auto,1,volume set by default
74,28,277911463,,28,1,2,169,1,2,2,277911466,251172939,thru,,,,SBT,"LINESTRING (80.2308064 12.9839070, 80.2308668 12.9838000)",620.0,,auto,1,volume set by default
75,28,277911463,,168,1,2,27,1,2,2,251172939,277911466,thru,,,,NBT,"LINESTRING (80.2308668 12.9838000, 80.2308064 12.9839070)",620.0,,auto,1,volume set by default
76,29,277911466,,27,1,2,128,1,2,2,277911463,300312789,left,,,,NBL,"LINESTRING (80.2308774 12.9854750, 80.2307787 12.9855676)",210.0,,auto,1,volume set by default
77,29,277911466,,129,1,2,28,1,2,2,300312789,277911463,right,,,,EBR,"LINESTRING (80.2307787 12.9855676, 80.2308774 12.9854750)",220.0,,auto,1,volume set by default
78,31,257430065,,31,1,2,66,1,2,2,257430066,257432748,right,,,,NBR,"LINESTRING (80.2514248 12.9985918, 80.2514515 12.9987185)",220.0,,auto,1,volume set by default
79,31,257430065,,67,1,2,32,1,2,2,257432748,257430066,left,,,,SBL,"LINESTRING (80.2514515 12.9987185, 80.2514248 12.9985918)",210.0,,auto,1,volume set by default
80,33,300195629,,33,1,1,35,1,1,1,299883320,325207106,thru,,,,NBT,"LINESTRING (80.2218374 12.9824969, 80.2218701 12.9826380)",310.0,,auto,1,volume set by default
81,33,300195629,,33,1,1,55,2,2,1,299883320,300196199,right,,,,NBR,"LINESTRING (80.2218374 12.9824969, 80.2219270 12.9825588)",110.0,,auto,1,volume set by default
82,33,300195629,,36,1,1,34,1,1,1,325207106,299883320,thru,,,,SBT,"LINESTRING (80.2218701 12.9826380, 80.2218374 12.9824969)",310.0,,auto,1,volume set by default
83,33,300195629,,36,1,1,55,1,1,1,325207106,300196199,left,,,,SBL,"LINESTRING (80.2218701 12.9826380, 80.2219270 12.9825588)",105.0,,auto,1,volume set by default
84,33,300195629,,54,1,1,34,1,1,1,300196199,299883320,left,,,,WBL,"LINESTRING (80.2219270 12.9825588, 80.2218374 12.9824969)",105.0,,auto,1,volume set by default
85,33,300195629,,54,2,2,35,1,1,1,300196199,325207106,right,,,,WBR,"LINESTRING (80.2219270 12.9825588, 80.2218701 12.9826380)",110.0,,auto,1,volume set by default
86,34,325207106,,35,1,1,37,1,1,1,300195629,277911472,thru,,,,NBT,"LINESTRING (80.2226255 12.9839894, 80.2227031 12.9841124)",310.0,,auto,1,volume set by default
87,34,325207106,,35,1,1,149,1,1,1,300195629,325207131,left,,,,NBL,"LINESTRING (80.2226255 12.9839894, 80.2225911 12.9840626)",105.0,,auto,1,volume set by default
88,34,325207106,,38,1,1,36,1,1,1,277911472,300195629,thru,,,,SBT,"LINESTRING (80.2227031 12.9841124, 80.2226255 12.9839894)",310.0,,auto,1,volume set by default
89,34,325207106,,38,1,1,149,2,2,1,277911472,325207131,right,,,,SBR,"LINESTRING (80.2227031 12.9841124, 80.2225911 12.9840626)",110.0,,auto,1,volume set by default
90,34,325207106,,148,2,2,36,1,1,1,325207131,300195629,right,,,,EBR,"LINESTRING (80.2225911 12.9840626, 80.2226255 12.9839894)",110.0,,auto,1,volume set by default
91,34,325207106,,148,1,1,37,1,1,1,325207131,277911472,left,,,,EBL,"LINESTRING (80.2225911 12.9840626, 80.2227031 12.9841124)",105.0,,auto,1,volume set by default
92,35,277911472,,37,1,1,39,1,1,1,325207106,9368672356,thru,,,,NBT,"LINESTRING (80.2230465 12.9869975, 80.2230646 12.9871411)",310.0,,auto,1,volume set by default
93,35,277911472,,37,1,1,153,1,1,1,325207106,300312789,right,,,,NBR,"LINESTRING (80.2230465 12.9869975, 80.2231262 12.9870448)",110.0,,auto,1,volume set by default
94,35,277911472,,40,1,1,38,1,1,1,9368672356,325207106,thru,,,,SBT,"LINESTRING (80.2230646 12.9871411, 80.2230465 12.9869975)",310.0,,auto,1,volume set by default
95,35,277911472,,40,1,1,153,1,1,1,9368672356,300312789,thru,,,,SBT,"LINESTRING (80.2230646 12.9871411, 80.2231262 12.9870448)",310.0,,auto,1,volume set by default
96,35,277911472,,152,1,1,38,1,1,1,300312789,325207106,left,,,,WBL,"LINESTRING (80.2231262 12.9870448, 80.2230465 12.9869975)",105.0,,auto,1,volume set by default
97,35,277911472,,152,1,1,39,1,1,1,300312789,9368672356,thru,,,,WBT,"LINESTRING (80.2231262 12.9870448, 80.2230646 12.9871411)",310.0,,auto,1,volume set by default
98,36,9368672356,,39,1,1,118,1,1,1,277911472,2142536482,thru,,,,NBT,"LINESTRING (80.2200635 12.9909185, 80.2199607 12.9910194)",310.0,,auto,1,volume set by default
99,36,9368672356,,198,1,1,40,1,1,1,7111954112,277911472,thru,,,,SBT,"LINESTRING (80.2200000 12.9910469, 80.2200635 12.9909185)",310.0,,auto,1,volume set by default
100,36,9368672356,,198,2,2,118,2,2,1,7111954112,2142536482,right,,,,SBR,"LINESTRING (80.2200000 12.9910469, 80.2199607 12.9910194)",110.0,,auto,1,volume set by default
101,38,1183401915,,42,1,3,83,1,3,3,243051703_312031412,1183401843,thru,,,,WBT,"LINESTRING (80.2481195 13.0066628, 80.2479720 13.0066610)",930.0,,auto,1,volume set by default
102,39,268790436,,220,1,2,43,1,2,2,268790432,268789823,thru,,,,EBT,"LINESTRING (80.2392668 13.0070442, 80.2394114 13.0070154)",620.0,,auto,1,volume set by default
103,42,6816790398,,46,1,3,47,1,3,3,310102870_312031374,5562486548,thru,,,,SBT,"LINESTRING (80.2474529 13.0064934, 80.2474521 13.0063488)",930.0,,auto,1,volume set by default
104,42,6816790398,,196,1,3,47,1,3,3,6816790401,5562486548,left,,,,SBL,"LINESTRING (80.2474876 13.0064848, 80.2474521 13.0063488)",315.0,,auto,1,volume set by default
105,43,5562486548,,47,3,3,48,3,3,1,6816790398,310535870_30268467_310102882,thru,,,,SBT,"LINESTRING (80.2497796 12.9944363, 80.2498150 12.9942959)",310.0,,auto,1,volume set by default
106,43,5562486548,,47,1,2,185,1,2,2,6816790398,313774904,left,,,,SBL,"LINESTRING (80.2497796 12.9944363, 80.2498699 12.9943789)",210.0,,auto,1,volume set by default
107,43,5562486548,,184,3,3,48,3,3,1,5562486549,310535870_30268467_310102882,right,,,,EBR,"LINESTRING (80.2497257 12.9943485, 80.2498150 12.9942959)",110.0,,auto,1,volume set by default
108,43,5562486548,,184,1,2,185,1,2,2,5562486549,313774904,thru,,,,EBT,"LINESTRING (80.2497257 12.9943485, 80.2498699 12.9943789)",620.0,,auto,1,volume set by default
109,47,365988855,,50,2,2,52,2,2,1,6865169774,365988848,thru,,,,EBT,"LINESTRING (80.2206364 13.0066749, 80.2207808 13.0066930)",310.0,,auto,1,volume set by default
110,47,365988855,,50,1,1,125,1,1,1,6865169774,6444634790,left,,,,EBL,"LINESTRING (80.2206364 13.0066749, 80.2207327 13.0067551)",105.0,,auto,1,volume set by default
111,47,365988855,,53,1,1,51,1,1,1,365988848,6865169774,thru,,,,WBT,"LINESTRING (80.2207808 13.0066930, 80.2206364 13.0066749)",310.0,,auto,1,volume set by default
112,47,365988855,,53,2,2,125,2,2,1,365988848,6444634790,right,,,,WBR,"LINESTRING (80.2207808 13.0066930, 80.2207327 13.0067551)",110.0,,auto,1,volume set by default
113,47,365988855,,124,1,1,51,1,1,1,300195704,6865169774,left,,,,NBL,"LINESTRING (80.2206904 13.0066168, 80.2206364 13.0066749)",105.0,,auto,1,volume set by default
114,47,365988855,,124,2,2,52,2,2,1,300195704,365988848,right,,,,NBR,"LINESTRING (80.2206904 13.0066168, 80.2207808 13.0066930)",110.0,,auto,1,volume set by default
115,47,365988855,,124,2,2,125,2,2,1,300195704,6444634790,thru,,,,NBT,"LINESTRING (80.2206904 13.0066168, 80.2207327 13.0067551)",310.0,,auto,1,volume set by default
116,48,365988848,,52,1,2,181,1,2,2,365988855,366081876,right,,,,EBR,"LINESTRING (80.2207433 13.0066900, 80.2208004 13.0066253)",220.0,,auto,1,volume set by default
117,48,365988848,,180,2,2,53,2,2,1,6444634789,365988855,right,,,,SBR,"LINESTRING (80.2208516 13.0067596, 80.2207433 13.0066900)",110.0,,auto,1,volume set by default
118,48,365988848,,180,1,1,181,1,1,1,6444634789,366081876,thru,,,,SBT,"LINESTRING (80.2208516 13.0067596, 80.2208004 13.0066253)",310.0,,auto,1,volume set by default
119,51,338406694,,56,1,2,115,1,2,2,338406637,9370418225,thru,,,,NBT,"LINESTRING (80.2182401 12.9873781, 80.2182716 12.9875195)",620.0,,auto,1,volume set by default
120,52,338406760,,208,1,2,57,1,2,2,9370418225,2157593527,thru,,,,NBT,"LINESTRING (80.2194510 12.9916208, 80.2193886 12.9917496)",620.0,,auto,1,volume set by default
121,52,338406760,,212,1,2,57,1,2,2,338406792,2157593527,thru,,,,NBT,"LINESTRING (80.2194725 12.9916306, 80.2193886 12.9917496)",620.0,,auto,1,volume set by default
122,53,2157593527,,57,2,2,127,1,1,1,338406760,1184617250,thru,,,,NBT,"LINESTRING (80.2178161 12.9939195, 80.2177300 12.9940370)",310.0,,auto,1,volume set by default
123,54,338466283,,155,1,2,58,1,2,2,338461507,338461524,thru,,,,WBT,"LINESTRING (80.2360234 12.9811717, 80.2358759 12.9811683)",620.0,,auto,1,volume set by default
124,55,338461524,,58,2,2,172,1,1,1,338466283,338461488,right,,,,WBR,"LINESTRING (80.2342833 12.9812010, 80.2342069 12.9812527)",110.0,,auto,1,volume set by default
125,55,338461524,,58,1,1,174,1,1,1,338466283,338461580,thru,,,,WBT,"LINESTRING (80.2342833 12.9812010, 80.2341424 12.9812429)",310.0,,auto,1,volume set by default
126,55,338461524,,173,1,1,174,1,1,1,338461488,338461580,right,,,,SBR,"LINESTRING (80.2342069 12.9812527, 80.2341424 12.9812429)",110.0,,auto,1,volume set by default
127,56,338466259,,157,1,2,59,1,2,2,277911182,1454664555_4113412285_338470503_1454664553,thru,,,,EBT,"LINESTRING (80.2413272 12.9813647, 80.2414748 12.9813651)",620.0,,auto,1,volume set by default
128,60,319489535,,210,1,2,64,1,2,2,319489540_1183430691_246866721,416838241,thru,,,,SBT,"LINESTRING (80.2526581 12.9828267, 80.2527024 12.9826920)",620.0,,auto,1,volume set by default
129,60,319489535,,210,3,3,211,3,3,1,319489540_1183430691_246866721,319489538,thru,,,,SBT,"LINESTRING (80.2526581 12.9828267, 80.2526684 12.9826825)",310.0,,auto,1,volume set by default
130,61,416838241,,64,1,1,65,1,1,1,319489535,1183401913,left,,,,SBL,"LINESTRING (80.2527541 12.9818886, 80.2528263 12.9818142)",105.0,,auto,1,volume set by default
131,61,416838241,,64,2,2,197,2,2,1,319489535,1183430695,thru,,,,SBT,"LINESTRING (80.2527541 12.9818886, 80.2527549 12.9817440)",310.0,,auto,1,volume set by default
132,62,1183401913,,65,1,2,80,1,2,2,416838241,1183401855,thru,,,,EBT,"LINESTRING (80.2531715 12.9818463, 80.2533169 12.9818703)",620.0,,auto,1,volume set by default
133,64,1183401807,,70,1,2,94,1,2,2,310535931,1183401894,thru,,,,SBT,"LINESTRING (80.2537369 12.9818607, 80.2535938 12.9818265)",620.0,,auto,1,volume set by default
134,66,243051061,,135,3,3,72,3,3,1,5562486549,6816790397,thru,,,,NBT,"LINESTRING (80.2473097 13.0047531, 80.2473004 13.0048973)",310.0,,auto,1,volume set by default
135,66,243051061,,135,1,2,136,1,2,2,5562486549,268789822,thru,,,,NBT,"LINESTRING (80.2473097 13.0047531, 80.2472894 13.0048963)",620.0,,auto,1,volume set by default
136,67,6816790397,,72,3,3,73,3,3,1,243051061,243051152,thru,,,,NBT,"LINESTRING (80.2472774 13.0065749, 80.2472814 13.0067195)",310.0,,auto,1,volume set by default
137,67,6816790397,,72,1,2,93,1,2,2,243051061,268789822,left,,,,NBL,"LINESTRING (80.2472774 13.0065749, 80.2472051 13.0066446)",210.0,,auto,1,volume set by default
138,67,6816790397,,92,3,3,73,3,3,1,310102870_312031374,243051152,right,,,,WBR,"LINESTRING (80.2473526 13.0066474, 80.2472814 13.0067195)",110.0,,auto,1,volume set by default
139,67,6816790397,,92,1,2,93,1,2,2,310102870_312031374,268789822,thru,,,,WBT,"LINESTRING (80.2473526 13.0066474, 80.2472051 13.0066446)",620.0,,auto,1,volume set by default
140,68,243051152,,73,1,3,205,1,3,3,6816790397,310102870_312031374,right,,,,NBR,"LINESTRING (80.2472808 13.0067022, 80.2473571 13.0067714)",330.0,,auto,1,volume set by default
141,68,243051152,,204,1,3,205,1,3,3,257532684,310102870_312031374,thru,,,,EBT,"LINESTRING (80.2472096 13.0067735, 80.2473571 13.0067714)",930.0,,auto,1,volume set by default
142,69,268789815,,99,1,3,74,1,3,3,268789822,6799326136,thru,,,,WBT,"LINESTRING (80.2437112 13.0066065, 80.2435637 13.0066035)",930.0,,auto,1,volume set by default
143,70,6799326136,,74,1,2,75,1,2,2,268789815,268789816,thru,,,,WBT,"LINESTRING (80.2429927 13.0065958, 80.2428451 13.0065949)",620.0,,auto,1,volume set by default
144,70,6799326136,,74,3,3,195,3,3,1,268789815,268789823,thru,,,,WBT,"LINESTRING (80.2429927 13.0065958, 80.2428478 13.0066143)",310.0,,auto,1,volume set by default
145,71,268789816,,75,1,3,147,1,3,3,6799326136,268789818,thru,,,,WBT,"LINESTRING (80.2426667 13.0065952, 80.2425191 13.0065947)",930.0,,auto,1,volume set by default
146,74,319489548,,98,1,3,78,1,3,3,2166973529,1183401926,thru,,,,WBT,"LINESTRING (80.2521592 12.9879188, 80.2520131 12.9879006)",930.0,,auto,1,volume set by default
